Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.000748,-195.093445,-0.005394,-0.005350,-0.135894,-0.003326,-0.000169,-1.358943,-195.093445,-0.135703,0.000000
0.120000,0.003349,-195.048965,-0.005398,-0.005350,-0.135894,0.014898,0.000759,-1.358943,-195.048965,-0.135703,0.000000
0.130000,-0.002235,-195.004486,-0.005402,-0.005350,-0.135894,-0.009944,-0.000507,-1.358943,-195.004486,-0.135703,0.000000
0.140000,-0.011169,-195.093445,-0.005389,-0.005350,-0.135894,-0.049684,-0.002531,-1.358943,-195.093445,-0.135703,0.000000
0.150000,0.002235,-195.004486,-0.005394,-0.005350,-0.135894,0.009944,0.000507,-1.358943,-195.004486,-0.135703,0.000000
0.160000,-0.016754,-195.004486,-0.005407,-0.005350,-0.135894,-0.074526,-0.003797,-1.358943,-195.004486,-0.135703,0.000000
0.170000,-0.003723,-195.048965,-0.005415,-0.005350,-0.135894,-0.016561,-0.000844,-1.358943,-195.048965,-0.135703,0.000000
0.180000,-0.004097,-195.004486,-0.005381,-0.005350,-0.135894,-0.018224,-0.000928,-1.358943,-195.004486,-0.135703,0.000000
0.190000,-0.007072,-195.048965,-0.005407,-0.005350,-0.135894,-0.031460,-0.001603,-1.358943,-195.048965,-0.135703,0.000000
0.200000,-0.011543,-194.960007,-0.005389,-0.005350,-0.135894,-0.051347,-0.002616,-1.358943,-194.960007,-0.135703,0.000000
0.210000,-0.007820,-195.093445,-0.005389,-0.005350,-0.135894,-0.034786,-0.001772,-1.358943,-195.093445,-0.135703,0.000000
0.220000,-0.007446,-195.004486,-0.005398,-0.005350,-0.135894,-0.033123,-0.001687,-1.358943,-195.004486,-0.135703,0.000000
0.230000,-0.010796,-195.093445,-0.005385,-0.005350,-0.135894,-0.048021,-0.002446,-1.358943,-195.093445,-0.135703,0.000000
0.240000,-0.010056,-195.093445,-0.005402,-0.005350,-0.135894,-0.044729,-0.002279,-1.358943,-195.093445,-0.135703,0.000000
0.250000,-0.011543,-195.004486,-0.005389,-0.005350,-0.135894,-0.051347,-0.002616,-1.358943,-195.004486,-0.135703,0.000000
0.260000,-0.006706,-195.093445,-0.005394,-0.005350,-0.135894,-0.029831,-0.001520,-1.358943,-195.093445,-0.135703,0.000000
