Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.210000,-0.011169,-1293.239136,-0.008063,-0.005069,-0.128758,-0.049684,-0.002531,-1.287576,-1293.239136,-0.128602,0.000000
0.220000,-0.000748,-1293.283691,-0.008067,-0.005069,-0.128758,-0.003326,-0.000169,-1.287576,-1293.283691,-0.128602,0.000000
0.230000,-0.010056,-1293.328125,-0.008075,-0.005069,-0.128758,-0.044729,-0.002279,-1.287576,-1293.328125,-0.128602,0.000000
0.240000,-0.003349,-1293.239136,-0.008067,-0.005069,-0.128758,-0.014898,-0.000759,-1.287576,-1293.239136,-0.128602,0.000000
0.250000,-0.007820,-1293.328125,-0.008067,-0.005069,-0.128758,-0.034786,-0.001772,-1.287576,-1293.328125,-0.128602,0.000000
0.260000,0.002609,-1293.239136,-0.008067,-0.005069,-0.128758,0.011607,0.000591,-1.287576,-1293.239136,-0.128602,0.000000
0.270000,0.004845,-1293.283691,-0.008067,-0.005069,-0.128758,0.021550,0.001098,-1.287576,-1293.283691,-0.128602,0.000000
0.280000,-0.003349,-1293.194702,-0.008071,-0.005069,-0.128758,-0.014898,-0.000759,-1.287576,-1293.194702,-0.128602,0.000000
0.290000,-0.006332,-1293.239136,-0.008080,-0.005069,-0.128758,-0.028168,-0.001435,-1.287576,-1293.239136,-0.128602,0.000000
0.300000,0.000374,-1293.283691,-0.008080,-0.005069,-0.128758,0.001663,0.000085,-1.287576,-1293.283691,-0.128602,0.000000
0.310000,-0.002235,-1293.239136,-0.008067,-0.005069,-0.128758,-0.009944,-0.000507,-1.287576,-1293.239136,-0.128602,0.000000
0.320000,0.000748,-1293.283691,-0.008075,-0.005069,-0.128758,0.003326,0.000169,-1.287576,-1293.283691,-0.128602,0.000000
0.330000,-0.008934,-1293.283691,-0.008067,-0.005069,-0.128758,-0.039741,-0.002024,-1.287576,-1293.283691,-0.128602,0.000000
0.340000,-0.007446,-1293.239136,-0.008067,-0.005069,-0.128758,-0.033123,-0.001687,-1.287576,-1293.239136,-0.128602,0.000000
0.350000,-0.004837,-1293.283691,-0.008080,-0.005069,-0.128758,-0.021516,-0.001096,-1.287576,-1293.283691,-0.128602,0.000000
0.360000,-0.001114,-1293.283691,-0.008075,-0.005069,-0.128758,-0.004955,-0.000252,-1.287576,-1293.283691,-0.128602,0.000000
0.370000,-0.005211,-1293.283691,-0.008075,-0.005069,-0.128758,-0.023179,-0.001181,-1.287576,-1293.283691,-0.128602,0.000000
0.380000,-0.001488,-1293.239136,-0.008084,-0.005069,-0.128758,-0.006618,-0.000337,-1.287576,-1293.239136,-0.128602,0.000000
0.390000,-0.002609,-1293.239136,-0.008080,-0.005069,-0.128758,-0.011607,-0.000591,-1.287576,-1293.239136,-0.128602,0.000000
0.400000,-0.006332,-1293.283691,-0.008080,-0.005069,-0.128758,-0.028168,-0.001435,-1.287576,-1293.283691,-0.128602,0.000000
0.410000,-0.001862,-1293.194702,-0.008084,-0.005069,-0.128758,-0.008281,-0.000422,-1.287576,-1293.194702,-0.128602,0.000000
0.420000,-0.001862,-1293.328125,-0.008071,-0.005069,-0.128758,-0.008281,-0.000422,-1.287576,-1293.328125,-0.128514,0.000000
0.430000,-0.010796,-1293.283691,-0.008097,-0.005067,-0.128714,-0.048021,-0.002446,-1.287137,-1293.283691,-0.128358,0.000000
0.440000,0.007072,-1293.239136,-0.008075,-0.005064,-0.128636,0.031460,0.001603,-1.286365,-1293.239136,-0.128185,0.000000
0.450000,0.016388,-1293.283691,-0.008080,-0.005059,-0.128497,0.072897,0.003714,-1.284972,-1293.283691,-0.128011,0.000000
0.460000,-0.000748,-1293.239136,-0.008075,-0.005053,-0.128341,-0.003326,-0.000169,-1.283412,-1293.239136,-0.127855,0.000000
0.470000,0.003349,-1293.328125,-0.008080,-0.005047,-0.128185,0.014898,0.000759,-1.281853,-1293.328125,-0.127683,0.000000
0.480000,-0.009682,-1293.283691,-0.008071,-0.005040,-0.128020,-0.043066,-0.002194,-1.280203,-1293.283691,-0.127525,0.000000
0.490000,-0.008194,-1293.239136,-0.008050,-0.005034,-0.127864,-0.036449,-0.001857,-1.278643,-1293.239136,-0.127353,0.000000
0.500000,-0.005959,-1293.328125,-0.008071,-0.005029,-0.127734,-0.026505,-0.001350,-1.277341,-1293.328125,-0.127179,0.000000
0.510000,-0.005959,-1293.283691,-0.008075,-0.005023,-0.127587,-0.026505,-0.001350,-1.275873,-1293.283691,-0.127023,0.000000
0.520000,0.002609,-1293.283691,-0.008063,-0.005016,-0.127413,0.011607,0.000591,-1.274132,-1293.283691,-0.126850,0.000000
0.530000,0.008934,-1293.239136,-0.008075,-0.005009,-0.127239,0.039741,0.002024,-1.272391,-1293.239136,-0.126694,0.000000
0.540000,0.007446,-1293.239136,-0.008058,-0.005004,-0.127092,0.033123,0.001687,-1.270922,-1293.239136,-0.126520,0.000000
0.550000,0.010796,-1293.372559,-0.008063,-0.004999,-0.126962,0.048021,0.002446,-1.269620,-1293.372559,-0.126346,0.000000
0.560000,0.010796,-1293.239136,-0.008075,-0.004994,-0.126850,0.048021,0.002446,-1.268500,-1293.239136,-0.126190,0.000000
0.570000,0.020851,-1293.328125,-0.008058,-0.004989,-0.126720,0.092750,0.004725,-1.267198,-1293.328125,-0.126017,0.000000
0.580000,0.001862,-1293.283691,-0.008075,-0.004983,-0.126564,0.008281,0.000422,-1.265639,-1293.283691,-0.125861,0.000000
0.590000,-0.021973,-1293.194702,-0.008063,-0.004977,-0.126415,-0.097739,-0.004979,-1.264155,-1293.194702,-0.125687,0.000000
0.600000,-0.023834,-1293.328125,-0.008071,-0.004973,-0.126303,-0.106020,-0.005401,-1.263035,-1293.328125,-0.125515,0.000000
0.610000,-0.029793,-1293.239136,-0.008075,-0.004969,-0.126225,-0.132525,-0.006751,-1.262247,-1293.239136,-0.125357,0.000000
0.620000,-0.021225,-1293.239136,-0.008080,-0.004966,-0.126138,-0.094413,-0.004810,-1.261384,-1293.239136,-0.125185,0.000000
0.630000,-0.026070,-1293.239136,-0.008075,-0.004963,-0.126060,-0.115964,-0.005907,-1.260597,-1293.239136,-0.125029,0.000000
0.640000,-0.037613,-1293.239136,-0.008075,-0.004959,-0.125948,-0.167311,-0.008523,-1.259477,-1293.239136,-0.124855,0.000000
0.650000,-0.031281,-1293.372559,-0.008080,-0.004954,-0.125827,-0.139143,-0.007088,-1.258266,-1293.372559,-0.124682,0.000000
0.660000,-0.019363,-1293.239136,-0.008084,-0.004948,-0.125671,-0.086133,-0.004388,-1.256706,-1293.239136,-0.124526,0.000000
0.670000,-0.013779,-1293.328125,-0.008067,-0.004939,-0.125453,-0.061291,-0.003122,-1.254526,-1293.328125,-0.124352,0.000000
0.680000,-0.017876,-1293.283691,-0.008088,-0.004930,-0.125210,-0.079515,-0.004051,-1.252104,-1293.283691,-0.124196,0.000000
0.690000,-0.019363,-1293.239136,-0.008071,-0.004921,-0.124994,-0.086133,-0.004388,-1.249939,-1293.239136,-0.124022,0.000000
0.700000,-0.005585,-1293.239136,-0.008080,-0.004916,-0.124855,-0.024842,-0.001266,-1.248546,-1293.239136,-0.123849,0.000000
0.710000,0.010796,-1293.283691,-0.008058,-0.004911,-0.124743,0.048021,0.002446,-1.247426,-1293.283691,-0.123693,0.000000
0.720000,0.005959,-1293.283691,-0.008050,-0.004909,-0.124682,0.026505,0.001350,-1.246820,-1293.283691,-0.123519,0.000000
0.730000,-0.005211,-1293.283691,-0.008058,-0.004907,-0.124638,-0.023179,-0.001181,-1.246381,-1293.283691,-0.123363,0.000000
0.740000,-0.004837,-1293.283691,-0.008054,-0.004903,-0.124543,-0.021516,-0.001096,-1.245427,-1293.283691,-0.123189,0.000000
0.750000,-0.012657,-1293.239136,-0.008063,-0.004897,-0.124387,-0.056302,-0.002868,-1.243868,-1293.239136,-0.123017,0.000000
0.760000,-0.012291,-1293.239136,-0.008050,-0.004887,-0.124117,-0.054673,-0.002785,-1.241173,-1293.239136,-0.122861,0.000000
0.770000,-0.011917,-1293.194702,-0.008019,-0.004877,-0.123875,-0.053010,-0.002700,-1.238751,-1293.194702,-0.122687,0.000000
0.780000,0.000748,-1293.328125,-0.008037,-0.004871,-0.123736,0.003326,0.000169,-1.237358,-1293.328125,-0.122514,0.000000
0.790000,-0.008934,-1293.239136,-0.008024,-0.004867,-0.123615,-0.039741,-0.002024,-1.236147,-1293.239136,-0.122357,0.000000
0.800000,-0.019737,-1293.328125,-0.008032,-0.004860,-0.123441,-0.087796,-0.004473,-1.234406,-1293.328125,-0.122184,0.000000
0.810000,-0.036491,-1293.239136,-0.007994,-0.004853,-0.123268,-0.162322,-0.008269,-1.232680,-1293.239136,-0.122028,0.000000
0.820000,-0.038727,-1293.283691,-0.008002,-0.004847,-0.123112,-0.172265,-0.008776,-1.231120,-1293.283691,-0.121854,0.000000
0.830000,-0.037979,-1293.283691,-0.008006,-0.004841,-0.122973,-0.168940,-0.008606,-1.229728,-1293.283691,-0.121681,0.000000
0.840000,-0.039841,-1293.239136,-0.008006,-0.004835,-0.122800,-0.177220,-0.009028,-1.228002,-1293.239136,-0.121525,0.000000
0.850000,-0.042450,-1293.328125,-0.007981,-0.004829,-0.122661,-0.188827,-0.009619,-1.226609,-1293.328125,-0.121351,0.000000
0.860000,-0.024948,-1293.283691,-0.007981,-0.004826,-0.122575,-0.110975,-0.005653,-1.225746,-1293.283691,-0.121195,0.000000
0.870000,-0.017876,-1293.328125,-0.007972,-0.004821,-0.122452,-0.079515,-0.004051,-1.224519,-1293.328125,-0.121021,0.000000
0.880000,-0.017502,-1293.283691,-0.007963,-0.004812,-0.122219,-0.077852,-0.003966,-1.222188,-1293.283691,-0.120849,0.000000
0.890000,-0.018616,-1293.283691,-0.007955,-0.004800,-0.121914,-0.082807,-0.004218,-1.219145,-1293.283691,-0.120693,0.000000
0.900000,-0.011543,-1293.328125,-0.007955,-0.004790,-0.121672,-0.051347,-0.002616,-1.216723,-1293.328125,-0.120519,0.000000
0.910000,0.020111,-1293.239136,-0.007938,-0.004783,-0.121491,0.089459,0.004557,-1.214906,-1293.239136,-0.120363,0.000000
0.920000,0.012657,-1293.239136,-0.007946,-0.004779,-0.121377,0.056302,0.002868,-1.213770,-1293.239136,-0.120189,0.000000
0.930000,0.008194,-1293.283691,-0.007929,-0.004774,-0.121265,0.036449,0.001857,-1.212650,-1293.283691,-0.120016,0.000000
0.940000,-0.011169,-1293.239136,-0.007929,-0.004768,-0.121100,-0.049684,-0.002531,-1.211000,-1293.239136,-0.119860,0.000000
0.950000,-0.022339,-1293.283691,-0.007929,-0.004759,-0.120874,-0.099368,-0.005062,-1.208744,-1293.283691,-0.119686,0.000000
0.960000,-0.019363,-1293.239136,-0.007894,-0.004749,-0.120623,-0.086133,-0.004388,-1.206231,-1293.239136,-0.119530,0.000000
