Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.017876,-459.132385,-0.008567,-0.003874,-0.098395,-0.079515,-0.004051,-0.983952,-459.132385,-0.098144,0.000000
0.120000,-0.009682,-459.043427,-0.008554,-0.003874,-0.098395,-0.043066,-0.002194,-0.983952,-459.043427,-0.098144,0.000000
0.130000,0.001862,-459.043427,-0.008558,-0.003874,-0.098395,0.008281,0.000422,-0.983952,-459.043427,-0.098144,0.000000
0.140000,-0.009308,-459.087891,-0.008567,-0.003874,-0.098395,-0.041403,-0.002109,-0.983952,-459.087891,-0.098144,0.000000
0.150000,-0.013779,-459.132385,-0.008580,-0.003874,-0.098395,-0.061291,-0.003122,-0.983952,-459.132385,-0.098144,0.000000
0.160000,-0.011543,-459.176849,-0.008584,-0.003874,-0.098395,-0.051347,-0.002616,-0.983952,-459.176849,-0.098144,0.000000
0.170000,-0.009308,-459.087891,-0.008558,-0.003874,-0.098395,-0.041403,-0.002109,-0.983952,-459.087891,-0.098144,0.000000
0.180000,-0.006332,-459.087891,-0.008545,-0.003874,-0.098395,-0.028168,-0.001435,-0.983952,-459.087891,-0.098144,0.000000
0.190000,-0.007446,-459.176849,-0.008571,-0.003874,-0.098395,-0.033123,-0.001687,-0.983952,-459.176849,-0.098144,0.000000
0.200000,-0.002983,-459.087891,-0.008528,-0.003874,-0.098395,-0.013269,-0.000676,-0.983952,-459.087891,-0.098144,0.000000
0.210000,-0.006332,-459.132385,-0.008554,-0.003874,-0.098395,-0.028168,-0.001435,-0.983952,-459.132385,-0.098144,0.000000
0.220000,-0.005211,-459.087891,-0.008554,-0.003874,-0.098395,-0.023179,-0.001181,-0.983952,-459.087891,-0.098144,0.000000
0.230000,-0.007072,-459.043427,-0.008580,-0.003874,-0.098395,-0.031460,-0.001603,-0.983952,-459.043427,-0.098144,0.000000
