Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.021973,-63.518799,-0.008537,-0.008414,-0.213728,0.097739,0.004979,-2.137278,-63.518799,-0.213502,0.000000
0.120000,0.030167,-63.474316,-0.008554,-0.008414,-0.213728,0.134188,0.006836,-2.137278,-63.474316,-0.213502,0.000000
0.130000,0.032028,-63.563278,-0.008541,-0.008414,-0.213728,0.142469,0.007258,-2.137278,-63.563278,-0.213502,0.000000
0.140000,0.016754,-63.518799,-0.008550,-0.008414,-0.213728,0.074526,0.003797,-2.137278,-63.518799,-0.213502,0.000000
0.150000,0.019737,-63.607761,-0.008550,-0.008414,-0.213728,0.087796,0.004473,-2.137278,-63.607761,-0.213502,0.000000
0.160000,0.012665,-63.518799,-0.008541,-0.008414,-0.213728,0.056336,0.002870,-2.137278,-63.518799,-0.213502,0.000000
0.170000,0.027184,-63.563278,-0.008554,-0.008414,-0.213728,0.120918,0.006160,-2.137278,-63.563278,-0.213502,0.000000
0.180000,0.023087,-63.607761,-0.008541,-0.008414,-0.213728,0.102694,0.005231,-2.137278,-63.607761,-0.213502,0.000000
0.190000,0.010803,-63.518799,-0.008554,-0.008414,-0.213728,0.048055,0.002448,-2.137278,-63.518799,-0.213502,0.000000
0.200000,0.015640,-63.563278,-0.008541,-0.008414,-0.213728,0.069571,0.003544,-2.137278,-63.563278,-0.213502,0.000000
0.210000,0.009308,-63.518799,-0.008550,-0.008414,-0.213728,0.041403,0.002109,-2.137278,-63.518799,-0.213502,0.000000
0.220000,0.027184,-63.563278,-0.008528,-0.008414,-0.213728,0.120918,0.006160,-2.137278,-63.563278,-0.213502,0.000000
0.230000,0.018623,-63.563278,-0.008545,-0.008414,-0.213728,0.082841,0.004220,-2.137278,-63.563278,-0.213502,0.000000
0.240000,0.019737,-63.474316,-0.008554,-0.008414,-0.213728,0.087796,0.004473,-2.137278,-63.474316,-0.213502,0.000000
0.250000,0.027557,-63.563278,-0.008545,-0.008414,-0.213728,0.122581,0.006245,-2.137278,-63.563278,-0.213502,0.000000
0.260000,0.021973,-63.518799,-0.008554,-0.008414,-0.213728,0.097739,0.004979,-2.137278,-63.518799,-0.213502,0.000000
0.270000,0.027931,-63.518799,-0.008558,-0.008414,-0.213728,0.124244,0.006329,-2.137278,-63.518799,-0.213502,0.000000
0.280000,0.033516,-63.607761,-0.008545,-0.008414,-0.213728,0.149086,0.007595,-2.137278,-63.607761,-0.213502,0.000000
0.290000,0.029793,-63.518799,-0.008541,-0.008414,-0.213728,0.132525,0.006751,-2.137278,-63.518799,-0.213502,0.000000
0.300000,0.023834,-63.607761,-0.008545,-0.008414,-0.213728,0.106020,0.005401,-2.137278,-63.607761,-0.213502,0.000000
0.310000,0.029419,-63.563278,-0.008545,-0.008414,-0.213728,0.130862,0.006666,-2.137278,-63.563278,-0.213502,0.000000
0.320000,0.032028,-63.474316,-0.008550,-0.008414,-0.213728,0.142469,0.007258,-2.137278,-63.474316,-0.213502,0.000000
0.330000,0.017128,-63.652241,-0.008541,-0.008414,-0.213728,0.076189,0.003881,-2.137278,-63.652241,-0.213502,0.000000
0.340000,0.018990,-63.563278,-0.008537,-0.008414,-0.213728,0.084470,0.004303,-2.137278,-63.563278,-0.213502,0.000000
0.350000,0.025696,-63.518799,-0.008545,-0.008414,-0.213728,0.114301,0.005823,-2.137278,-63.518799,-0.213502,0.000000
0.360000,0.033516,-63.563278,-0.008550,-0.008414,-0.213728,0.149086,0.007595,-2.137278,-63.563278,-0.213468,0.000000
0.370000,0.028305,-63.518799,-0.008528,-0.008414,-0.213719,0.125907,0.006414,-2.137191,-63.518799,-0.213294,0.000000
0.380000,0.042824,-63.563278,-0.008554,-0.008412,-0.213667,0.190490,0.009704,-2.136671,-63.563278,-0.213138,0.000000
0.390000,0.018623,-63.563278,-0.008537,-0.008409,-0.213589,0.082841,0.004220,-2.135890,-63.563278,-0.212965,0.000000
0.400000,0.039474,-63.607761,-0.008554,-0.008404,-0.213459,0.175591,0.008945,-2.134589,-63.607761,-0.212791,0.000000
0.410000,0.048782,-63.563278,-0.008545,-0.008398,-0.213320,0.216995,0.011054,-2.133202,-63.563278,-0.212635,0.000000
0.420000,0.038353,-63.518799,-0.008537,-0.008392,-0.213147,0.170603,0.008691,-2.131467,-63.518799,-0.212462,0.000000
0.430000,0.042450,-63.607761,-0.008550,-0.008384,-0.212965,0.188827,0.009619,-2.129646,-63.607761,-0.212306,0.000000
0.440000,0.049896,-63.518799,-0.008532,-0.008378,-0.212791,0.221950,0.011307,-2.127912,-63.518799,-0.212132,0.000000
0.450000,0.052879,-63.607761,-0.008545,-0.008371,-0.212626,0.235219,0.011983,-2.126264,-63.607761,-0.211959,0.000000
0.460000,0.062561,-63.607761,-0.008550,-0.008366,-0.212488,0.278285,0.014177,-2.124876,-63.607761,-0.211803,0.000000
0.470000,0.051018,-63.563278,-0.008550,-0.008362,-0.212384,0.226938,0.011561,-2.123836,-63.563278,-0.211629,0.000000
0.480000,0.030907,-63.563278,-0.008545,-0.008358,-0.212306,0.137480,0.007004,-2.123055,-63.563278,-0.211473,0.000000
0.490000,0.032028,-63.563278,-0.008558,-0.008355,-0.212210,0.142469,0.007258,-2.122101,-63.563278,-0.211300,0.000000
0.500000,0.046547,-63.563278,-0.008532,-0.008350,-0.212089,0.207051,0.010548,-2.120887,-63.563278,-0.211126,0.000000
0.510000,0.039848,-63.474316,-0.008537,-0.008344,-0.211933,0.177254,0.009030,-2.119326,-63.474316,-0.210970,0.000000
0.520000,0.015640,-63.563278,-0.008541,-0.008338,-0.211777,0.069571,0.003544,-2.117765,-63.563278,-0.210797,0.000000
0.530000,0.000748,-63.563278,-0.008545,-0.008332,-0.211638,0.003326,0.000169,-2.116378,-63.563278,-0.210640,0.000000
0.540000,0.001862,-63.563278,-0.008554,-0.008327,-0.211516,0.008281,0.000422,-2.115164,-63.563278,-0.210467,0.000000
0.550000,0.004097,-63.607761,-0.008532,-0.008322,-0.211378,0.018224,0.000928,-2.113776,-63.607761,-0.210294,0.000000
0.560000,0.002235,-63.607761,-0.008563,-0.008316,-0.211222,0.009944,0.000507,-2.112215,-63.607761,-0.210137,0.000000
0.570000,0.009308,-63.563278,-0.008554,-0.008310,-0.211083,0.041403,0.002109,-2.110827,-63.563278,-0.209964,0.000000
0.580000,0.013031,-63.607761,-0.008532,-0.008305,-0.210944,0.057965,0.002953,-2.109440,-63.607761,-0.209808,0.000000
0.590000,0.030907,-63.563278,-0.008550,-0.008299,-0.210788,0.137480,0.007004,-2.107879,-63.563278,-0.209634,0.000000
0.600000,0.027931,-63.607761,-0.008554,-0.008293,-0.210649,0.124244,0.006329,-2.106491,-63.607761,-0.209461,0.000000
0.610000,0.031654,-63.652241,-0.008541,-0.008288,-0.210519,0.140806,0.007173,-2.105191,-63.652241,-0.209305,0.000000
0.620000,0.031281,-63.563278,-0.008537,-0.008283,-0.210389,0.139143,0.007088,-2.103890,-63.563278,-0.209131,0.000000
0.630000,0.033890,-63.607761,-0.008515,-0.008278,-0.210259,0.150749,0.007680,-2.102589,-63.607761,-0.208958,0.000000
0.640000,0.035004,-63.563278,-0.008524,-0.008271,-0.210077,0.155704,0.007932,-2.100768,-63.563278,-0.208802,0.000000
0.650000,0.055855,-63.607761,-0.008515,-0.008263,-0.209877,0.248455,0.012657,-2.098773,-63.607761,-0.208628,0.000000
0.660000,0.053253,-63.563278,-0.008507,-0.008257,-0.209721,0.236882,0.012067,-2.097212,-63.563278,-0.208472,0.000000
0.670000,0.048782,-63.607761,-0.008511,-0.008252,-0.209591,0.216995,0.011054,-2.095911,-63.607761,-0.208299,0.000000
0.680000,0.048035,-63.652241,-0.008502,-0.008246,-0.209452,0.213669,0.010885,-2.094523,-63.652241,-0.208126,0.000000
0.690000,0.046547,-63.563278,-0.008472,-0.008239,-0.209270,0.207051,0.010548,-2.092702,-63.563278,-0.207969,0.000000
0.700000,0.045433,-63.652241,-0.008489,-0.008230,-0.209053,0.202096,0.010295,-2.090534,-63.652241,-0.207796,0.000000
0.710000,0.043198,-63.563278,-0.008472,-0.008222,-0.208837,0.192153,0.009789,-2.088366,-63.563278,-0.207640,0.000000
0.720000,0.050270,-63.563278,-0.008451,-0.008214,-0.208628,0.223612,0.011391,-2.086285,-63.563278,-0.207466,0.000000
0.730000,0.023460,-63.696720,-0.008459,-0.008206,-0.208429,0.104357,0.005316,-2.084290,-63.696720,-0.207293,0.000000
0.740000,0.017128,-63.607761,-0.008446,-0.008199,-0.208256,0.076189,0.003881,-2.082556,-63.607761,-0.207137,0.000000
0.750000,0.016388,-63.696720,-0.008451,-0.008193,-0.208091,0.072897,0.003714,-2.080908,-63.696720,-0.206963,0.000000
0.760000,0.010056,-63.607761,-0.008442,-0.008188,-0.207969,0.044729,0.002279,-2.079694,-63.607761,-0.206807,0.000000
0.770000,0.014893,-63.607761,-0.008438,-0.008183,-0.207848,0.066245,0.003375,-2.078480,-63.607761,-0.206634,0.000000
0.780000,0.022346,-63.652241,-0.008425,-0.008177,-0.207701,0.099402,0.005064,-2.077006,-63.652241,-0.206460,0.000000
0.790000,0.022346,-63.652241,-0.008407,-0.008171,-0.207553,0.099402,0.005064,-2.075531,-63.652241,-0.206304,0.000000
0.800000,0.011917,-63.607761,-0.008403,-0.008166,-0.207406,0.053010,0.002700,-2.074057,-63.607761,-0.206131,0.000000
0.810000,0.009308,-63.607761,-0.008420,-0.008159,-0.207241,0.041403,0.002109,-2.072409,-63.607761,-0.205975,0.000000
0.820000,0.024208,-63.607761,-0.008407,-0.008151,-0.207041,0.107683,0.005486,-2.070415,-63.607761,-0.205801,0.000000
0.830000,0.036865,-63.652241,-0.008386,-0.008144,-0.206859,0.163985,0.008354,-2.068594,-63.652241,-0.205628,0.000000
0.840000,0.067398,-63.607761,-0.008390,-0.008137,-0.206669,0.299802,0.015273,-2.066686,-63.607761,-0.205472,0.000000
0.850000,0.056602,-63.607761,-0.008364,-0.008129,-0.206486,0.251780,0.012826,-2.064864,-63.607761,-0.205298,0.000000
0.860000,0.059952,-63.607761,-0.008373,-0.008124,-0.206348,0.266679,0.013585,-2.063477,-63.607761,-0.205142,0.000000
0.870000,0.058838,-63.607761,-0.008373,-0.008119,-0.206218,0.261724,0.013333,-2.062176,-63.607761,-0.204969,0.000000
0.880000,0.054367,-63.652241,-0.008356,-0.008114,-0.206096,0.241837,0.012320,-2.060962,-63.652241,-0.204795,0.000000
0.890000,0.052132,-63.563278,-0.008356,-0.008111,-0.206009,0.231893,0.011813,-2.060095,-63.563278,-0.204639,0.000000
0.900000,0.055855,-63.607761,-0.008351,-0.008108,-0.205931,0.248455,0.012657,-2.059314,-63.607761,-0.204466,0.000000
0.910000,0.067772,-63.607761,-0.008351,-0.008103,-0.205810,0.301465,0.015357,-2.058100,-63.607761,-0.204310,0.000000
0.920000,0.058838,-63.607761,-0.008347,-0.008096,-0.205645,0.261724,0.013333,-2.056453,-63.607761,-0.204136,0.000000
0.930000,0.061813,-63.607761,-0.008330,-0.008087,-0.205411,0.274960,0.014007,-2.054111,-63.607761,-0.203963,0.000000
0.940000,0.033142,-63.607761,-0.008330,-0.008075,-0.205099,0.147423,0.007510,-2.050989,-63.607761,-0.203807,0.000000
0.950000,0.012291,-63.696720,-0.008313,-0.008063,-0.204804,0.054673,0.002785,-2.048040,-63.696720,-0.203633,0.000000
0.960000,0.026070,-63.607761,-0.008300,-0.008056,-0.204613,0.115964,0.005907,-2.046132,-63.607761,-0.203477,0.000000
0.970000,0.044312,-63.607761,-0.008300,-0.008051,-0.204500,0.197107,0.010041,-2.045005,-63.607761,-0.203304,0.000000
0.980000,0.028305,-63.741203,-0.008295,-0.008047,-0.204405,0.125907,0.006414,-2.044051,-63.741203,-0.203130,0.000000
0.990000,0.017876,-63.652241,-0.008304,-0.008041,-0.204249,0.079515,0.004051,-2.042490,-63.652241,-0.202974,0.000000
1.000000,0.020851,-63.607761,-0.008282,-0.008035,-0.204102,0.092750,0.004725,-2.041016,-63.607761,-0.202801,0.000000
1.010000,0.030533,-63.607761,-0.008274,-0.008029,-0.203945,0.135817,0.006919,-2.039455,-63.607761,-0.202627,0.000000
1.020000,0.029793,-63.652241,-0.008257,-0.008023,-0.203781,0.132525,0.006751,-2.037807,-63.652241,-0.202471,0.000000
1.030000,0.035004,-63.652241,-0.008252,-0.008016,-0.203599,0.155704,0.007932,-2.035986,-63.652241,-0.202298,0.000000
