Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.018990,-84.380363,-0.013219,-0.008390,-0.213103,-0.084470,-0.004303,-2.131034,-84.380363,-0.212852,0.000000
0.120000,-0.031654,-84.469330,-0.013223,-0.008390,-0.213103,-0.140806,-0.007173,-2.131034,-84.469330,-0.212852,0.000000
0.130000,-0.020103,-84.380363,-0.013232,-0.008390,-0.213103,-0.089425,-0.004556,-2.131034,-84.380363,-0.212852,0.000000
0.140000,-0.019363,-84.424843,-0.013236,-0.008390,-0.213103,-0.086133,-0.004388,-2.131034,-84.424843,-0.212852,0.000000
0.150000,-0.023087,-84.380363,-0.013236,-0.008390,-0.213103,-0.102694,-0.005231,-2.131034,-84.380363,-0.212852,0.000000
0.160000,-0.016380,-84.380363,-0.013236,-0.008390,-0.213103,-0.072863,-0.003712,-2.131034,-84.380363,-0.212852,0.000000
0.170000,-0.017502,-84.424843,-0.013236,-0.008390,-0.213103,-0.077852,-0.003966,-2.131034,-84.424843,-0.212852,0.000000
0.180000,-0.016380,-84.335884,-0.013223,-0.008390,-0.213103,-0.072863,-0.003712,-2.131034,-84.335884,-0.212852,0.000000
0.190000,-0.017502,-84.380363,-0.013228,-0.008390,-0.213103,-0.077852,-0.003966,-2.131034,-84.380363,-0.212852,0.000000
0.200000,-0.027924,-84.424843,-0.013245,-0.008390,-0.213103,-0.124210,-0.006328,-2.131034,-84.424843,-0.212852,0.000000
0.210000,-0.032768,-84.380363,-0.013228,-0.008390,-0.213103,-0.145760,-0.007425,-2.131034,-84.380363,-0.212852,0.000000
0.220000,-0.021599,-84.469330,-0.013254,-0.008390,-0.213103,-0.096076,-0.004894,-2.131034,-84.469330,-0.212852,0.000000
0.230000,-0.017128,-84.335884,-0.013241,-0.008390,-0.213103,-0.076189,-0.003881,-2.131034,-84.335884,-0.212852,0.000000
0.240000,-0.022713,-84.424843,-0.013228,-0.008390,-0.213103,-0.101031,-0.005147,-2.131034,-84.424843,-0.212852,0.000000
0.250000,-0.030159,-84.380363,-0.013254,-0.008390,-0.213103,-0.134154,-0.006834,-2.131034,-84.380363,-0.212852,0.000000
0.260000,-0.024574,-84.380363,-0.013228,-0.008390,-0.213103,-0.109312,-0.005569,-2.131034,-84.380363,-0.212852,0.000000
0.270000,-0.018990,-84.469330,-0.013232,-0.008390,-0.213103,-0.084470,-0.004303,-2.131034,-84.469330,-0.212852,0.000000
0.280000,-0.020103,-84.380363,-0.013236,-0.008390,-0.213103,-0.089425,-0.004556,-2.131034,-84.380363,-0.212852,0.000000
0.290000,-0.019363,-84.513809,-0.013249,-0.008390,-0.213103,-0.086133,-0.004388,-2.131034,-84.513809,-0.212852,0.000000
0.300000,-0.022713,-84.424843,-0.013241,-0.008390,-0.213103,-0.101031,-0.005147,-2.131034,-84.424843,-0.212852,0.000000
0.310000,-0.026810,-84.380363,-0.013232,-0.008390,-0.213103,-0.119255,-0.006075,-2.131034,-84.380363,-0.212852,0.000000
0.320000,-0.022713,-84.513809,-0.013249,-0.008390,-0.213103,-0.101031,-0.005147,-2.131034,-84.513809,-0.212852,0.000000
0.330000,-0.020851,-84.380363,-0.013245,-0.008390,-0.213103,-0.092750,-0.004725,-2.131034,-84.380363,-0.212835,0.000000
0.340000,-0.027184,-84.424843,-0.013232,-0.008390,-0.213103,-0.120918,-0.006160,-2.131034,-84.424843,-0.212661,0.000000
0.350000,0.004845,-84.469330,-0.013258,-0.008389,-0.213069,0.021550,0.001098,-2.130687,-84.469330,-0.212488,0.000000
0.360000,0.000374,-84.335884,-0.013232,-0.008386,-0.212999,0.001663,0.000085,-2.129993,-84.335884,-0.212332,0.000000
0.370000,0.003723,-84.469330,-0.013241,-0.008381,-0.212878,0.016561,0.000844,-2.128779,-84.469330,-0.212158,0.000000
0.380000,-0.006332,-84.380363,-0.013232,-0.008375,-0.212722,-0.028168,-0.001435,-2.127218,-84.380363,-0.212002,0.000000
0.390000,-0.000740,-84.424843,-0.013236,-0.008367,-0.212522,-0.003292,-0.000168,-2.125223,-84.424843,-0.211829,0.000000
0.400000,0.010429,-84.424843,-0.013236,-0.008358,-0.212297,0.046392,0.002363,-2.122969,-84.424843,-0.211655,0.000000
0.410000,0.020111,-84.424843,-0.013236,-0.008350,-0.212089,0.089459,0.004557,-2.120887,-84.424843,-0.211499,0.000000
0.420000,0.012291,-84.469330,-0.013232,-0.008343,-0.211924,0.054673,0.002785,-2.119240,-84.469330,-0.211326,0.000000
0.430000,0.000374,-84.424843,-0.013241,-0.008338,-0.211785,0.001663,0.000085,-2.117852,-84.424843,-0.211169,0.000000
0.440000,0.007446,-84.424843,-0.013236,-0.008333,-0.211655,0.033123,0.001687,-2.116551,-84.424843,-0.210996,0.000000
0.450000,0.011543,-84.424843,-0.013241,-0.008327,-0.211516,0.051347,0.002616,-2.115164,-84.424843,-0.210823,0.000000
0.460000,0.010429,-84.380363,-0.013245,-0.008321,-0.211360,0.046392,0.002363,-2.113603,-84.380363,-0.210666,0.000000
0.470000,0.001122,-84.469330,-0.013249,-0.008314,-0.211187,0.004989,0.000254,-2.111868,-84.469330,-0.210493,0.000000
0.480000,-0.008194,-84.380363,-0.013228,-0.008307,-0.211005,-0.036449,-0.001857,-2.110047,-84.380363,-0.210337,0.000000
0.490000,-0.026436,-84.380363,-0.013228,-0.008300,-0.210831,-0.117593,-0.005990,-2.108313,-84.380363,-0.210163,0.000000
0.500000,-0.014153,-84.335884,-0.013236,-0.008294,-0.210675,-0.062954,-0.003207,-2.106751,-84.335884,-0.209990,0.000000
0.510000,-0.021599,-84.380363,-0.013236,-0.008290,-0.210554,-0.096076,-0.004894,-2.105537,-84.380363,-0.209834,0.000000
0.520000,-0.039101,-84.469330,-0.013236,-0.008285,-0.210450,-0.173928,-0.008860,-2.104497,-84.469330,-0.209660,0.000000
0.530000,-0.056602,-84.424843,-0.013228,-0.008283,-0.210380,-0.251780,-0.012826,-2.103803,-84.424843,-0.209487,0.000000
0.540000,-0.042076,-84.469330,-0.013236,-0.008280,-0.210311,-0.187164,-0.009535,-2.103109,-84.469330,-0.209331,0.000000
0.550000,-0.033882,-84.513809,-0.013241,-0.008277,-0.210233,-0.150715,-0.007678,-2.102329,-84.513809,-0.209157,0.000000
0.560000,-0.036118,-84.380363,-0.013232,-0.008272,-0.210120,-0.160659,-0.008184,-2.101201,-84.380363,-0.209001,0.000000
0.570000,-0.021225,-84.424843,-0.013245,-0.008267,-0.209990,-0.094413,-0.004810,-2.099900,-84.424843,-0.208828,0.000000
0.580000,-0.017128,-84.424843,-0.013236,-0.008262,-0.209843,-0.076189,-0.003881,-2.098426,-84.424843,-0.208655,0.000000
0.590000,-0.014893,-84.424843,-0.013241,-0.008254,-0.209660,-0.066245,-0.003375,-2.096605,-84.424843,-0.208498,0.000000
0.600000,-0.013779,-84.513809,-0.013228,-0.008247,-0.209470,-0.061291,-0.003122,-2.094697,-84.513809,-0.208325,0.000000
0.610000,0.002983,-84.380363,-0.013232,-0.008241,-0.209322,0.013269,0.000676,-2.093223,-84.380363,-0.208169,0.000000
0.620000,0.017876,-84.513809,-0.013232,-0.008236,-0.209184,0.079515,0.004051,-2.091835,-84.513809,-0.207995,0.000000
0.630000,0.012291,-84.424843,-0.013236,-0.008230,-0.209053,0.054673,0.002785,-2.090534,-84.424843,-0.207822,0.000000
0.640000,-0.006699,-84.513809,-0.013232,-0.008226,-0.208932,-0.029797,-0.001518,-2.089320,-84.513809,-0.207666,0.000000
0.650000,-0.010422,-84.424843,-0.013245,-0.008220,-0.208793,-0.046358,-0.002362,-2.087933,-84.424843,-0.207492,0.000000
0.660000,-0.013405,-84.380363,-0.013223,-0.008213,-0.208620,-0.059628,-0.003038,-2.086198,-84.380363,-0.207336,0.000000
0.670000,-0.025322,-84.513809,-0.013228,-0.008206,-0.208429,-0.112638,-0.005738,-2.084290,-84.513809,-0.207163,0.000000
0.680000,-0.021973,-84.424843,-0.013206,-0.008199,-0.208256,-0.097739,-0.004979,-2.082556,-84.424843,-0.206989,0.000000
0.690000,-0.021599,-84.469330,-0.013193,-0.008191,-0.208047,-0.096076,-0.004894,-2.080475,-84.469330,-0.206833,0.000000
0.700000,-0.024200,-84.469330,-0.013193,-0.008181,-0.207805,-0.107649,-0.005484,-2.078046,-84.469330,-0.206660,0.000000
0.710000,-0.036118,-84.513809,-0.013163,-0.008172,-0.207579,-0.160659,-0.008184,-2.075792,-84.513809,-0.206504,0.000000
0.720000,-0.039841,-84.469330,-0.013180,-0.008165,-0.207380,-0.177220,-0.009028,-2.073797,-84.469330,-0.206330,0.000000
0.730000,-0.045059,-84.424843,-0.013163,-0.008159,-0.207232,-0.200433,-0.010211,-2.072323,-84.424843,-0.206157,0.000000
0.740000,-0.043564,-84.469330,-0.013176,-0.008154,-0.207111,-0.193782,-0.009872,-2.071109,-84.469330,-0.206001,0.000000
0.750000,-0.035744,-84.424843,-0.013167,-0.008149,-0.206989,-0.158996,-0.008100,-2.069895,-84.424843,-0.205827,0.000000
0.760000,-0.023834,-84.424843,-0.013150,-0.008143,-0.206825,-0.106020,-0.005401,-2.068247,-84.424843,-0.205671,0.000000
0.770000,-0.011543,-84.513809,-0.013142,-0.008136,-0.206660,-0.051347,-0.002616,-2.066599,-84.513809,-0.205498,0.000000
0.780000,0.004097,-84.380363,-0.013146,-0.008130,-0.206495,0.018224,0.000928,-2.064951,-84.380363,-0.205324,0.000000
0.790000,0.016388,-84.513809,-0.013133,-0.008124,-0.206348,0.072897,0.003714,-2.063477,-84.513809,-0.205168,0.000000
0.800000,0.019737,-84.513809,-0.013133,-0.008118,-0.206200,0.087796,0.004473,-2.062003,-84.513809,-0.204995,0.000000
0.810000,0.036491,-84.380363,-0.013120,-0.008112,-0.206035,0.162322,0.008269,-2.060355,-84.380363,-0.204839,0.000000
0.820000,0.028671,-84.513809,-0.013107,-0.008104,-0.205845,0.127536,0.006497,-2.058447,-84.513809,-0.204665,0.000000
0.830000,0.027557,-84.424843,-0.013103,-0.008097,-0.205671,0.122581,0.006245,-2.056713,-84.424843,-0.204492,0.000000
0.840000,0.024574,-84.469330,-0.013098,-0.008091,-0.205506,0.109312,0.005569,-2.055065,-84.469330,-0.204336,0.000000
0.850000,0.017128,-84.513809,-0.013081,-0.008084,-0.205324,0.076189,0.003881,-2.053244,-84.513809,-0.204162,0.000000
0.860000,0.014526,-84.469330,-0.013085,-0.008076,-0.205125,0.064617,0.003292,-2.051249,-84.469330,-0.204006,0.000000
0.870000,0.021599,-84.513809,-0.013073,-0.008070,-0.204969,0.096076,0.004894,-2.049688,-84.513809,-0.203833,0.000000
0.880000,0.023087,-84.469330,-0.013073,-0.008063,-0.204813,0.102694,0.005231,-2.048127,-84.469330,-0.203659,0.000000
0.890000,0.021225,-84.469330,-0.013038,-0.008056,-0.204631,0.094413,0.004810,-2.046306,-84.469330,-0.203503,0.000000
