Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.032028,-354.869019,-0.008050,-0.003186,-0.080912,-0.142469,-0.007258,-0.809122,-354.869019,-0.081120,0.000000
0.020000,-0.027557,-354.869019,-0.008054,-0.003186,-0.080912,-0.122581,-0.006245,-0.809122,-354.869019,-0.081120,0.000000
0.030000,-0.032028,-354.913513,-0.008054,-0.003186,-0.080912,-0.142469,-0.007258,-0.809122,-354.913513,-0.081120,0.000000
0.040000,-0.026810,-354.957977,-0.008058,-0.003186,-0.080912,-0.119255,-0.006075,-0.809122,-354.957977,-0.081120,0.000000
0.050000,-0.020111,-354.913513,-0.008045,-0.003186,-0.080912,-0.089459,-0.004557,-0.809122,-354.913513,-0.081120,0.000000
0.060000,-0.026810,-354.913513,-0.008054,-0.003186,-0.080912,-0.119255,-0.006075,-0.809122,-354.913513,-0.081120,0.000000
0.070000,-0.017128,-354.913513,-0.008054,-0.003186,-0.080912,-0.076189,-0.003881,-0.809122,-354.913513,-0.081120,0.000000
0.080000,-0.026070,-354.913513,-0.008050,-0.003186,-0.080912,-0.115964,-0.005907,-0.809122,-354.913513,-0.081120,0.000000
0.090000,-0.016388,-354.913513,-0.008067,-0.003186,-0.080912,-0.072897,-0.003714,-0.809122,-354.913513,-0.081120,0.000000
0.100000,-0.029419,-354.869019,-0.008067,-0.003186,-0.080912,-0.130862,-0.006666,-0.809122,-354.869019,-0.081120,0.000000
0.110000,-0.034264,-354.913513,-0.008058,-0.003186,-0.080912,-0.152412,-0.007764,-0.809122,-354.913513,-0.081120,0.000000
0.120000,-0.024582,-354.869019,-0.008058,-0.003186,-0.080912,-0.109346,-0.005570,-0.809122,-354.869019,-0.081120,0.000000
0.130000,-0.019737,-354.913513,-0.008058,-0.003186,-0.080912,-0.087796,-0.004473,-0.809122,-354.913513,-0.081120,0.000000
0.140000,-0.018250,-354.957977,-0.008050,-0.003186,-0.080912,-0.081178,-0.004135,-0.809122,-354.957977,-0.081120,0.000000
0.150000,-0.023460,-354.913513,-0.008050,-0.003186,-0.080912,-0.104357,-0.005316,-0.809122,-354.913513,-0.081120,0.000000
0.160000,-0.026810,-354.913513,-0.008045,-0.003186,-0.080912,-0.119255,-0.006075,-0.809122,-354.913513,-0.081120,0.000000
0.170000,-0.018623,-354.913513,-0.008045,-0.003186,-0.080912,-0.082841,-0.004220,-0.809122,-354.913513,-0.081120,0.000000
0.180000,-0.011917,-354.957977,-0.008045,-0.003186,-0.080912,-0.053010,-0.002700,-0.809122,-354.957977,-0.081120,0.000000
0.190000,-0.023460,-354.957977,-0.008050,-0.003186,-0.080912,-0.104357,-0.005316,-0.809122,-354.957977,-0.081120,0.000000
0.200000,-0.026070,-354.869019,-0.008050,-0.003186,-0.080912,-0.115964,-0.005907,-0.809122,-354.869019,-0.081120,0.000000
0.210000,-0.022720,-354.913513,-0.008050,-0.003186,-0.080912,-0.101065,-0.005149,-0.809122,-354.913513,-0.081120,0.000000
0.220000,-0.034264,-354.869019,-0.008054,-0.003186,-0.080912,-0.152412,-0.007764,-0.809122,-354.869019,-0.081120,0.000000
0.230000,-0.024208,-354.913513,-0.008063,-0.003186,-0.080912,-0.107683,-0.005486,-0.809122,-354.913513,-0.081120,0.000000
0.240000,-0.023460,-355.002472,-0.008058,-0.003186,-0.080912,-0.104357,-0.005316,-0.809122,-355.002472,-0.081120,0.000000
0.250000,-0.021225,-354.913513,-0.008050,-0.003186,-0.080912,-0.094413,-0.004810,-0.809122,-354.913513,-0.081120,0.000000
0.260000,-0.030167,-355.002472,-0.008058,-0.003186,-0.080912,-0.134188,-0.006836,-0.809122,-355.002472,-0.081120,0.000000
0.270000,-0.026443,-354.913513,-0.008045,-0.003186,-0.080912,-0.117626,-0.005992,-0.809122,-354.913513,-0.081120,0.000000
0.280000,-0.017128,-354.913513,-0.008054,-0.003186,-0.080912,-0.076189,-0.003881,-0.809122,-354.913513,-0.081120,0.000000
0.290000,-0.028305,-354.957977,-0.008067,-0.003186,-0.080912,-0.125907,-0.006414,-0.809122,-354.957977,-0.081120,0.000000
0.300000,-0.027931,-354.913513,-0.008058,-0.003186,-0.080912,-0.124244,-0.006329,-0.809122,-354.913513,-0.081120,0.000000
0.310000,-0.023460,-354.913513,-0.008058,-0.003186,-0.080912,-0.104357,-0.005316,-0.809122,-354.913513,-0.081120,0.000000
0.320000,-0.014526,-354.869019,-0.008058,-0.003186,-0.080912,-0.064617,-0.003292,-0.809122,-354.869019,-0.081120,0.000000
0.330000,-0.009682,-354.913513,-0.008050,-0.003186,-0.080912,-0.043066,-0.002194,-0.809122,-354.913513,-0.080964,0.000000
