Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.024574,-645.640991,-0.008481,-0.008272,-0.210120,0.109312,0.005569,-2.101201,-645.640991,-0.209860,0.000000
0.120000,0.028671,-645.729980,-0.008481,-0.008272,-0.210120,0.127536,0.006497,-2.101201,-645.729980,-0.209860,0.000000
0.130000,0.040215,-645.685486,-0.008485,-0.008272,-0.210120,0.178883,0.009113,-2.101201,-645.685486,-0.209860,0.000000
0.140000,0.037605,-645.640991,-0.008472,-0.008272,-0.210120,0.167277,0.008521,-2.101201,-645.640991,-0.209860,0.000000
0.150000,0.038353,-645.729980,-0.008485,-0.008272,-0.210120,0.170603,0.008691,-2.101201,-645.729980,-0.209860,0.000000
0.160000,0.040215,-645.640991,-0.008489,-0.008272,-0.210120,0.178883,0.009113,-2.101201,-645.640991,-0.209860,0.000000
0.170000,0.018990,-645.729980,-0.008468,-0.008272,-0.210120,0.084470,0.004303,-2.101201,-645.729980,-0.209860,0.000000
0.180000,0.030533,-645.685486,-0.008498,-0.008272,-0.210120,0.135817,0.006919,-2.101201,-645.685486,-0.209860,0.000000
0.190000,0.051384,-645.596497,-0.008498,-0.008272,-0.210120,0.228567,0.011644,-2.101201,-645.596497,-0.209860,0.000000
0.200000,0.040215,-645.729980,-0.008489,-0.008272,-0.210120,0.178883,0.009113,-2.101201,-645.729980,-0.209860,0.000000
0.210000,0.039467,-645.640991,-0.008468,-0.008272,-0.210120,0.175557,0.008943,-2.101201,-645.640991,-0.209860,0.000000
0.220000,0.037239,-645.685486,-0.008481,-0.008272,-0.210120,0.165648,0.008438,-2.101201,-645.685486,-0.209860,0.000000
0.230000,0.029045,-645.685486,-0.008485,-0.008272,-0.210120,0.129199,0.006582,-2.101201,-645.685486,-0.209860,0.000000
0.240000,0.035004,-645.640991,-0.008489,-0.008272,-0.210120,0.155704,0.007932,-2.101201,-645.640991,-0.209860,0.000000
