Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.029411,-79.354019,-0.010555,-0.005699,-0.144749,-0.130828,-0.006665,-1.447486,-79.354019,-0.144549,0.000000
0.120000,-0.036491,-79.442978,-0.010568,-0.005699,-0.144749,-0.162322,-0.008269,-1.447486,-79.442978,-0.144549,0.000000
0.130000,-0.034630,-79.398499,-0.010559,-0.005699,-0.144749,-0.154041,-0.007847,-1.447486,-79.398499,-0.144549,0.000000
0.140000,-0.037605,-79.398499,-0.010550,-0.005699,-0.144749,-0.167277,-0.008521,-1.447486,-79.398499,-0.144549,0.000000
0.150000,-0.034256,-79.398499,-0.010585,-0.005699,-0.144749,-0.152378,-0.007763,-1.447486,-79.398499,-0.144549,0.000000
0.160000,-0.033142,-79.442978,-0.010563,-0.005699,-0.144749,-0.147423,-0.007510,-1.447486,-79.442978,-0.144549,0.000000
0.170000,-0.035744,-79.442978,-0.010568,-0.005699,-0.144749,-0.158996,-0.008100,-1.447486,-79.442978,-0.144549,0.000000
0.180000,-0.031647,-79.398499,-0.010572,-0.005699,-0.144749,-0.140772,-0.007171,-1.447486,-79.398499,-0.144549,0.000000
0.190000,-0.026436,-79.398499,-0.010555,-0.005699,-0.144749,-0.117593,-0.005990,-1.447486,-79.398499,-0.144549,0.000000
0.200000,-0.023827,-79.398499,-0.010572,-0.005699,-0.144749,-0.105986,-0.005399,-1.447486,-79.398499,-0.144549,0.000000
0.210000,-0.026436,-79.398499,-0.010568,-0.005699,-0.144749,-0.117593,-0.005990,-1.447486,-79.398499,-0.144549,0.000000
0.220000,-0.040955,-79.442978,-0.010568,-0.005699,-0.144749,-0.182175,-0.009280,-1.447486,-79.442978,-0.144549,0.000000
0.230000,-0.039093,-79.354019,-0.010563,-0.005699,-0.144749,-0.173894,-0.008859,-1.447486,-79.354019,-0.144549,0.000000
0.240000,-0.035004,-79.398499,-0.010563,-0.005699,-0.144749,-0.155704,-0.007932,-1.447486,-79.398499,-0.144549,0.000000
0.250000,-0.023827,-79.398499,-0.010572,-0.005699,-0.144749,-0.105986,-0.005399,-1.447486,-79.398499,-0.144549,0.000000
0.260000,-0.031647,-79.354019,-0.010563,-0.005699,-0.144749,-0.140772,-0.007171,-1.447486,-79.354019,-0.144549,0.000000
0.270000,-0.032394,-79.398499,-0.010572,-0.005699,-0.144749,-0.144098,-0.007341,-1.447486,-79.398499,-0.144549,0.000000
0.280000,-0.028671,-79.398499,-0.010563,-0.005699,-0.144749,-0.127536,-0.006497,-1.447486,-79.398499,-0.144549,0.000000
0.290000,-0.033142,-79.398499,-0.010559,-0.005699,-0.144749,-0.147423,-0.007510,-1.447486,-79.398499,-0.144549,0.000000
0.300000,-0.027550,-79.354019,-0.010563,-0.005699,-0.144749,-0.122547,-0.006243,-1.447486,-79.354019,-0.144549,0.000000
0.310000,-0.027924,-79.398499,-0.010563,-0.005699,-0.144749,-0.124210,-0.006328,-1.447486,-79.398499,-0.144549,0.000000
0.320000,-0.029045,-79.442978,-0.010568,-0.005699,-0.144749,-0.129199,-0.006582,-1.447486,-79.442978,-0.144549,0.000000
0.330000,-0.035744,-79.398499,-0.010568,-0.005699,-0.144749,-0.158996,-0.008100,-1.447486,-79.398499,-0.144549,0.000000
0.340000,-0.037979,-79.442978,-0.010563,-0.005699,-0.144749,-0.168940,-0.008606,-1.447486,-79.442978,-0.144549,0.000000
0.350000,-0.034256,-79.398499,-0.010555,-0.005699,-0.144749,-0.152378,-0.007763,-1.447486,-79.398499,-0.144549,0.000000
0.360000,-0.027184,-79.354019,-0.010563,-0.005699,-0.144749,-0.120918,-0.006160,-1.447486,-79.354019,-0.144549,0.000000
0.370000,-0.032394,-79.442978,-0.010580,-0.005698,-0.144740,-0.144098,-0.007341,-1.447400,-79.442978,-0.144410,0.000000
0.380000,-0.051384,-79.398499,-0.010563,-0.005697,-0.144697,-0.228567,-0.011644,-1.446966,-79.398499,-0.144237,0.000000
0.390000,-0.050270,-79.442978,-0.010568,-0.005695,-0.144645,-0.223612,-0.011391,-1.446446,-79.442978,-0.144081,0.000000
0.400000,-0.070000,-79.354019,-0.010580,-0.005691,-0.144549,-0.311374,-0.015862,-1.445492,-79.354019,-0.143907,0.000000
0.410000,-0.058456,-79.442978,-0.010555,-0.005685,-0.144410,-0.260027,-0.013246,-1.444104,-79.442978,-0.143734,0.000000
0.420000,-0.052505,-79.442978,-0.010568,-0.005679,-0.144254,-0.233556,-0.011898,-1.442543,-79.442978,-0.143578,0.000000
0.430000,-0.048409,-79.354019,-0.010563,-0.005672,-0.144081,-0.215332,-0.010970,-1.440809,-79.354019,-0.143404,0.000000
0.440000,-0.028671,-79.398499,-0.010537,-0.005666,-0.143925,-0.127536,-0.006497,-1.439248,-79.398499,-0.143231,0.000000
0.450000,-0.031273,-79.442978,-0.010559,-0.005660,-0.143760,-0.139109,-0.007087,-1.437600,-79.442978,-0.143075,0.000000
0.460000,-0.026436,-79.398499,-0.010568,-0.005653,-0.143595,-0.117593,-0.005990,-1.435952,-79.398499,-0.142901,0.000000
0.470000,-0.033142,-79.442978,-0.010563,-0.005646,-0.143404,-0.147423,-0.007510,-1.434044,-79.442978,-0.142745,0.000000
0.480000,-0.022713,-79.354019,-0.010559,-0.005638,-0.143214,-0.101031,-0.005147,-1.432137,-79.354019,-0.142572,0.000000
0.490000,-0.021965,-79.442978,-0.010555,-0.005631,-0.143032,-0.097705,-0.004977,-1.430315,-79.442978,-0.142398,0.000000
0.500000,-0.035370,-79.442978,-0.010568,-0.005625,-0.142875,-0.157333,-0.008015,-1.428754,-79.442978,-0.142242,0.000000
0.510000,-0.030907,-79.398499,-0.010576,-0.005619,-0.142728,-0.137480,-0.007004,-1.427280,-79.398499,-0.142069,0.000000
