Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.004089,-795.719727,-0.012559,-0.007742,-0.196653,-0.018190,-0.000927,-1.966525,-795.719727,-0.196383,0.000000
0.120000,-0.008560,-795.675232,-0.012577,-0.007742,-0.196653,-0.038078,-0.001940,-1.966525,-795.675232,-0.196383,0.000000
0.130000,0.003357,-795.675232,-0.012568,-0.007742,-0.196653,0.014932,0.000761,-1.966525,-795.675232,-0.196383,0.000000
0.140000,-0.002228,-795.675232,-0.012564,-0.007742,-0.196653,-0.009910,-0.000505,-1.966525,-795.675232,-0.196383,0.000000
0.150000,-0.005211,-795.675232,-0.012555,-0.007742,-0.196653,-0.023179,-0.001181,-1.966525,-795.675232,-0.196383,0.000000
0.160000,0.002609,-795.586304,-0.012564,-0.007742,-0.196653,0.011607,0.000591,-1.966525,-795.586304,-0.196383,0.000000
0.170000,-0.009308,-795.719727,-0.012581,-0.007742,-0.196653,-0.041403,-0.002109,-1.966525,-795.719727,-0.196383,0.000000
0.180000,-0.005951,-795.586304,-0.012564,-0.007742,-0.196653,-0.026471,-0.001348,-1.966525,-795.586304,-0.196383,0.000000
0.190000,-0.010796,-795.719727,-0.012559,-0.007742,-0.196653,-0.048021,-0.002446,-1.966525,-795.719727,-0.196383,0.000000
0.200000,0.000748,-795.719727,-0.012551,-0.007742,-0.196653,0.003326,0.000169,-1.966525,-795.719727,-0.196383,0.000000
0.210000,-0.004837,-795.586304,-0.012572,-0.007742,-0.196653,-0.021516,-0.001096,-1.966525,-795.586304,-0.196383,0.000000
0.220000,-0.011169,-795.764221,-0.012568,-0.007742,-0.196653,-0.049684,-0.002531,-1.966525,-795.764221,-0.196383,0.000000
0.230000,-0.010048,-795.586304,-0.012564,-0.007742,-0.196653,-0.044695,-0.002277,-1.966525,-795.586304,-0.196383,0.000000
0.240000,-0.005585,-795.719727,-0.012564,-0.007742,-0.196653,-0.024842,-0.001266,-1.966525,-795.719727,-0.196383,0.000000
0.250000,-0.007072,-795.719727,-0.012572,-0.007742,-0.196653,-0.031460,-0.001603,-1.966525,-795.719727,-0.196383,0.000000
0.260000,-0.000000,-795.719727,-0.012577,-0.007742,-0.196653,-0.000000,-0.000000,-1.966525,-795.719727,-0.196383,0.000000
0.270000,-0.003349,-795.675232,-0.012572,-0.007742,-0.196653,-0.014898,-0.000759,-1.966525,-795.675232,-0.196383,0.000000
0.280000,-0.006699,-795.675232,-0.012572,-0.007742,-0.196653,-0.029797,-0.001518,-1.966525,-795.675232,-0.196383,0.000000
0.290000,0.005219,-795.719727,-0.012581,-0.007742,-0.196653,0.023213,0.001183,-1.966525,-795.719727,-0.196383,0.000000
0.300000,-0.002228,-795.630798,-0.012568,-0.007742,-0.196653,-0.009910,-0.000505,-1.966525,-795.630798,-0.196383,0.000000
0.310000,-0.016380,-795.719727,-0.012564,-0.007742,-0.196653,-0.072863,-0.003712,-1.966525,-795.719727,-0.196383,0.000000
0.320000,-0.017868,-795.675232,-0.012564,-0.007742,-0.196653,-0.079481,-0.004049,-1.966525,-795.675232,-0.196383,0.000000
0.330000,-0.006699,-795.630798,-0.012559,-0.007742,-0.196653,-0.029797,-0.001518,-1.966525,-795.630798,-0.196383,0.000000
0.340000,-0.008934,-795.719727,-0.012581,-0.007742,-0.196653,-0.039741,-0.002024,-1.966525,-795.719727,-0.196383,0.000000
0.350000,-0.016754,-795.630798,-0.012577,-0.007742,-0.196653,-0.074526,-0.003797,-1.966525,-795.630798,-0.196383,0.000000
0.360000,-0.010796,-795.675232,-0.012585,-0.007742,-0.196653,-0.048021,-0.002446,-1.966525,-795.675232,-0.196383,0.000000
0.370000,-0.018616,-795.719727,-0.012568,-0.007742,-0.196653,-0.082807,-0.004218,-1.966525,-795.719727,-0.196383,0.000000
0.380000,-0.005951,-795.630798,-0.012590,-0.007742,-0.196653,-0.026471,-0.001348,-1.966525,-795.630798,-0.196383,0.000000
0.390000,-0.008186,-795.675232,-0.012568,-0.007742,-0.196653,-0.036415,-0.001855,-1.966525,-795.675232,-0.196332,0.000000
0.400000,-0.015633,-795.675232,-0.012572,-0.007742,-0.196643,-0.069537,-0.003542,-1.966435,-795.675232,-0.196157,0.000000
