Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.11,-0.077827,-1280.651001,-0.013995,-0.008892,-0.225869,-0.346194,-0.017636,-2.258689,-1280.651001,-0.225636,0
0.12,-0.077454,-1280.562134,-0.013965,-0.008892,-0.225869,-0.344531,-0.017551,-2.258689,-1280.562134,-0.225636,0
0.13,-0.074478,-1280.606567,-0.013974,-0.008892,-0.225869,-0.331295,-0.016877,-2.258689,-1280.606567,-0.225636,0
0.14,-0.067398,-1280.562134,-0.013952,-0.008892,-0.225869,-0.299802,-0.015273,-2.258689,-1280.562134,-0.225636,0
0.15,-0.065536,-1280.651001,-0.013961,-0.008892,-0.225869,-0.291521,-0.014851,-2.258689,-1280.651001,-0.225636,0
0.16,-0.074852,-1280.606567,-0.013982,-0.008892,-0.225869,-0.332958,-0.016962,-2.258689,-1280.606567,-0.225636,0
0.17,-0.071121,-1280.562134,-0.013965,-0.008892,-0.225869,-0.316363,-0.016116,-2.258689,-1280.562134,-0.225636,0
0.18,-0.064796,-1280.562134,-0.013969,-0.008892,-0.225869,-0.288229,-0.014683,-2.258689,-1280.562134,-0.225636,0
0.19,-0.067772,-1280.562134,-0.013952,-0.008892,-0.225869,-0.301465,-0.015357,-2.258689,-1280.562134,-0.225636,0
0.2,-0.074478,-1280.695557,-0.013974,-0.008892,-0.225869,-0.331295,-0.016877,-2.258689,-1280.695557,-0.225636,0
0.21,-0.075218,-1280.517578,-0.013974,-0.008892,-0.225869,-0.334587,-0.017045,-2.258689,-1280.517578,-0.225636,0
0.22,-0.071121,-1280.517578,-0.013956,-0.008892,-0.225869,-0.316363,-0.016116,-2.258689,-1280.517578,-0.225636,0
0.23,-0.071869,-1280.606567,-0.013969,-0.008892,-0.225869,-0.319689,-0.016286,-2.258689,-1280.606567,-0.225636,0
0.24,-0.075218,-1280.606567,-0.013978,-0.008892,-0.225869,-0.334587,-0.017045,-2.258689,-1280.606567,-0.225636,0
0.25,-0.071121,-1280.651001,-0.013969,-0.008892,-0.225869,-0.316363,-0.016116,-2.258689,-1280.651001,-0.225636,0
0.26,-0.070755,-1280.562134,-0.013974,-0.008892,-0.225869,-0.314734,-0.016033,-2.258689,-1280.562134,-0.225636,0
0.27,-0.075966,-1280.562134,-0.013948,-0.008892,-0.225869,-0.337913,-0.017214,-2.258689,-1280.562134,-0.225636,0
0.28,-0.07708,-1280.562134,-0.013969,-0.008892,-0.225869,-0.342868,-0.017467,-2.258689,-1280.562134,-0.225636,0
0.29,-0.075592,-1280.562134,-0.013969,-0.008892,-0.225869,-0.33625,-0.017129,-2.258689,-1280.562134,-0.225636,0
0.3,-0.06926,-1280.651001,-0.013974,-0.008892,-0.225869,-0.308082,-0.015694,-2.258689,-1280.651001,-0.225636,0
0.31,-0.05735,-1280.562134,-0.013974,-0.008892,-0.225869,-0.255106,-0.012996,-2.258689,-1280.562134,-0.225636,0
0.32,-0.062935,-1280.606567,-0.013978,-0.008892,-0.225869,-0.279948,-0.014261,-2.258689,-1280.606567,-0.225636,0
0.33,-0.067032,-1280.606567,-0.013978,-0.008892,-0.225869,-0.298173,-0.01519,-2.258689,-1280.606567,-0.225636,0
0.34,-0.080803,-1280.562134,-0.013961,-0.008892,-0.225869,-0.359429,-0.01831,-2.258689,-1280.562134,-0.225636,0
0.35,-0.079689,-1280.606567,-0.013974,-0.008892,-0.225869,-0.354474,-0.018058,-2.258689,-1280.606567,-0.225636,0
0.36,-0.07373,-1280.562134,-0.013952,-0.008892,-0.225869,-0.327969,-0.016708,-2.258689,-1280.562134,-0.225636,0
0.37,-0.07634,-1280.562134,-0.013969,-0.008892,-0.225869,-0.339576,-0.017299,-2.258689,-1280.562134,-0.225636,0
0.38,-0.07373,-1280.606567,-0.013969,-0.008892,-0.225869,-0.327969,-0.016708,-2.258689,-1280.606567,-0.225636,0
0.39,-0.0849,-1280.606567,-0.013965,-0.008892,-0.225869,-0.377654,-0.019239,-2.258689,-1280.606567,-0.225636,0
0.4,-0.073357,-1280.651001,-0.013974,-0.008892,-0.225869,-0.326307,-0.016623,-2.258689,-1280.651001,-0.225548,0
0.41,-0.019737,-1280.562134,-0.013978,-0.008892,-0.225861,-0.087796,-0.004473,-2.258613,-1280.562134,-0.225392,0
0.42,-0.012665,-1280.651001,-0.013987,-0.008891,-0.225834,-0.056336,-0.00287,-2.258341,-1280.651001,-0.225219,0
0.43,-0.026443,-1280.562134,-0.013974,-0.008889,-0.225774,-0.117626,-0.005992,-2.257735,-1280.562134,-0.225063,0
0.44,-0.024948,-1280.606567,-0.013974,-0.008885,-0.225671,-0.110975,-0.005653,-2.256706,-1280.606567,-0.224889,0
0.45,-0.044312,-1280.606567,-0.013974,-0.008878,-0.225513,-0.197107,-0.010041,-2.255131,-1280.606567,-0.224715,0
0.46,-0.049156,-1280.562134,-0.013965,-0.00887,-0.225306,-0.218658,-0.011139,-2.253057,-1280.562134,-0.224559,0
0.47,-0.048782,-1280.651001,-0.013956,-0.008862,-0.225089,-0.216995,-0.011054,-2.250892,-1280.651001,-0.224387,0
0.48,-0.053253,-1280.606567,-0.014004,-0.008854,-0.224889,-0.236882,-0.012067,-2.248894,-1280.606567,-0.224231,0
