Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.11,0.466583,-1288.568726,-0.006916,-0.007543,-0.191597,2.075466,0.105729,-1.915974,-1288.568726,-0.191389,0
0.12,0.472168,-1288.568726,-0.006894,-0.007543,-0.191597,2.100308,0.106995,-1.915974,-1288.568726,-0.191389,0
0.13,0.460625,-1288.613159,-0.006894,-0.007543,-0.191597,2.048961,0.104379,-1.915974,-1288.613159,-0.191389,0
0.14,0.458763,-1288.613159,-0.006907,-0.007543,-0.191597,2.04068,0.103957,-1.915974,-1288.613159,-0.191389,0
0.15,0.472916,-1288.657593,-0.006916,-0.007543,-0.191597,2.103634,0.107164,-1.915974,-1288.657593,-0.191389,0
0.16,0.475891,-1288.568726,-0.00692,-0.007543,-0.191597,2.116869,0.107838,-1.915974,-1288.568726,-0.191389,0
0.17,0.472542,-1288.568726,-0.006898,-0.007543,-0.191597,2.101971,0.10708,-1.915974,-1288.568726,-0.191389,0
0.18,0.468445,-1288.613159,-0.006916,-0.007543,-0.191597,2.083747,0.106151,-1.915974,-1288.613159,-0.191389,0
0.19,0.465469,-1288.613159,-0.006907,-0.007543,-0.191597,2.070511,0.105477,-1.915974,-1288.613159,-0.191389,0
0.2,0.461746,-1288.657593,-0.006911,-0.007543,-0.191597,2.05395,0.104633,-1.915974,-1288.657593,-0.191389,0
0.21,0.465469,-1288.613159,-0.00692,-0.007543,-0.191597,2.070511,0.105477,-1.915974,-1288.613159,-0.191389,0
0.22,0.466957,-1288.568726,-0.006911,-0.007543,-0.191597,2.077129,0.105814,-1.915974,-1288.568726,-0.191389,0
0.23,0.469193,-1288.613159,-0.006916,-0.007543,-0.191597,2.087073,0.106321,-1.915974,-1288.613159,-0.191389,0
0.24,0.46994,-1288.568726,-0.006898,-0.007543,-0.191597,2.090398,0.10649,-1.915974,-1288.568726,-0.191389,0
0.25,0.472916,-1288.657593,-0.006911,-0.007543,-0.191597,2.103634,0.107164,-1.915974,-1288.657593,-0.191389,0
0.26,0.475525,-1288.568726,-0.00692,-0.007543,-0.191597,2.11524,0.107755,-1.915974,-1288.568726,-0.191389,0
0.27,0.475891,-1288.657593,-0.006911,-0.007543,-0.191597,2.116869,0.107838,-1.915974,-1288.657593,-0.191389,0
0.28,0.475891,-1288.657593,-0.006924,-0.007543,-0.191597,2.116869,0.107838,-1.915974,-1288.657593,-0.191389,0
0.29,0.470306,-1288.613159,-0.00692,-0.007543,-0.191597,2.092027,0.106573,-1.915974,-1288.613159,-0.191389,0
0.3,0.468445,-1288.613159,-0.006907,-0.007543,-0.191597,2.083747,0.106151,-1.915974,-1288.613159,-0.191389,0
0.31,0.481483,-1288.613159,-0.006907,-0.007543,-0.191597,2.141745,0.109106,-1.915974,-1288.613159,-0.191389,0
0.32,0.475525,-1288.613159,-0.006916,-0.007543,-0.191597,2.11524,0.107755,-1.915974,-1288.613159,-0.191389,0
0.33,0.46994,-1288.657593,-0.006907,-0.007543,-0.191597,2.090398,0.10649,-1.915974,-1288.657593,-0.191389,0
0.34,0.46286,-1288.568726,-0.006916,-0.007543,-0.191597,2.058905,0.104886,-1.915974,-1288.568726,-0.191389,0
0.35,0.468445,-1288.702148,-0.006903,-0.007543,-0.191597,2.083747,0.106151,-1.915974,-1288.702148,-0.191389,0
0.36,0.461372,-1288.613159,-0.006898,-0.007543,-0.191597,2.052287,0.104548,-1.915974,-1288.613159,-0.191389,0
0.37,0.469193,-1288.568726,-0.006907,-0.007543,-0.191597,2.087073,0.106321,-1.915974,-1288.568726,-0.191389,0
0.38,0.475891,-1288.613159,-0.006894,-0.007543,-0.191597,2.116869,0.107838,-1.915974,-1288.613159,-0.191389,0
0.39,0.471428,-1288.52417,-0.006903,-0.007543,-0.191597,2.097016,0.106827,-1.915974,-1288.52417,-0.191389,0
0.4,0.473663,-1288.568726,-0.006916,-0.007543,-0.191597,2.10696,0.107334,-1.915974,-1288.568726,-0.191389,0
0.41,0.465469,-1288.613159,-0.006924,-0.007543,-0.191597,2.070511,0.105477,-1.915974,-1288.613159,-0.191389,0
0.42,0.46994,-1288.568726,-0.006907,-0.007543,-0.191597,2.090398,0.10649,-1.915974,-1288.568726,-0.191389,0
0.43,0.473663,-1288.613159,-0.006916,-0.007543,-0.191597,2.10696,0.107334,-1.915974,-1288.613159,-0.191389,0
0.44,0.466583,-1288.568726,-0.006903,-0.007543,-0.191597,2.075466,0.105729,-1.915974,-1288.568726,-0.191389,0
0.45,0.473663,-1288.657593,-0.006907,-0.007543,-0.191597,2.10696,0.107334,-1.915974,-1288.657593,-0.191389,0
0.46,0.465843,-1288.613159,-0.006916,-0.007543,-0.191597,2.072174,0.105562,-1.915974,-1288.613159,-0.191389,0
0.47,0.468079,-1288.657593,-0.006907,-0.007543,-0.191597,2.082118,0.106068,-1.915974,-1288.657593,-0.191389,0
0.48,0.457275,-1288.657593,-0.00692,-0.007543,-0.191597,2.034063,0.10362,-1.915974,-1288.657593,-0.191597,0
0.49,0.468445,-1288.568726,-0.006911,-0.007543,-0.191597,2.083747,0.106151,-1.915974,-1288.568726,-0.191597,0
0.5,0.474777,-1288.657593,-0.006911,-0.007543,-0.191597,2.111915,0.107586,-1.915974,-1288.657593,-0.191597,0
0.51,0.466957,-1288.568726,-0.006907,0,0,2.077129,0.105814,0,-1288.568726,0,0
0.52,0.470306,-1288.568726,-0.006903,0,0,2.092027,0.106573,0,-1288.568726,0,0
0.53,0.460999,-1288.613159,-0.006929,0,0,2.050624,0.104464,0,-1288.613159,0,0
0.54,0.46994,-1288.568726,-0.006907,0,0,2.090398,0.10649,0,-1288.568726,0,0
0.55,0.460999,-1288.657593,-0.006911,0,0,2.050624,0.104464,0,-1288.657593,0,0
0.56,0.4543,-1288.568726,-0.006903,0,0,2.020827,0.102946,0,-1288.568726,0,0
0.57,0.471054,-1288.613159,-0.006898,0,0,2.095353,0.106742,0,-1288.613159,0,0
0.58,0.474777,-1288.613159,-0.006911,0,0,2.111915,0.107586,0,-1288.613159,0,0
0.59,0.465096,-1288.613159,-0.00692,0,0,2.068848,0.105392,0,-1288.613159,0,0
0.6,0.46286,-1288.657593,-0.006907,0,0,2.058905,0.104886,0,-1288.657593,0,0
0.61,0.463982,-1288.52417,-0.006907,0,0,2.063893,0.10514,0,-1288.52417,0,0
0.62,0.463982,-1288.613159,-0.006911,0,0,2.063893,0.10514,0,-1288.613159,0,0
0.63,0.466957,-1288.702148,-0.006916,0,0,2.077129,0.105814,0,-1288.702148,0,0
0.64,0.477013,-1288.568726,-0.006924,0,0,2.121858,0.108093,0,-1288.568726,0,0
0.65,0.470306,-1288.657593,-0.006911,0,0,2.092027,0.106573,0,-1288.657593,0,0
0.66,0.47068,-1288.568726,-0.006911,0,0,2.09369,0.106658,0,-1288.568726,0,0
0.67,0.47068,-1288.613159,-0.006911,0,0,2.09369,0.106658,0,-1288.613159,0,0
0.68,0.465469,-1288.657593,-0.006911,0,0,2.070511,0.105477,0,-1288.657593,0,0
0.69,0.457649,-1288.568726,-0.006903,0,0,2.035725,0.103705,0,-1288.568726,0,0
0.7,0.465469,-1288.657593,-0.00692,0,0,2.070511,0.105477,0,-1288.657593,0,0
0.71,0.465469,-1288.613159,-0.006916,0,0,2.070511,0.105477,0,-1288.613159,0,0
0.72,0.471054,-1288.613159,-0.006911,0,0,2.095353,0.106742,0,-1288.613159,0,0
0.73,0.471428,-1288.657593,-0.00692,0,0,2.097016,0.106827,0,-1288.657593,0,0
0.74,0.468819,-1288.613159,-0.006911,0,0,2.08541,0.106236,0,-1288.613159,0,0
0.75,0.459137,-1288.657593,-0.006911,0,0,2.042343,0.104042,0,-1288.657593,0,0
0.76,0.460625,-1288.613159,-0.006924,0,0,2.048961,0.104379,0,-1288.613159,0,0
0.77,0.46994,-1288.568726,-0.006898,0,0,2.090398,0.10649,0,-1288.568726,0,0
0.78,0.46994,-1288.613159,-0.006911,0,0,2.090398,0.10649,0,-1288.613159,0,0
0.79,0.463982,-1288.52417,-0.006924,0,0,2.063893,0.10514,0,-1288.52417,0,0
0.8,0.46286,-1288.613159,-0.006916,0,0,2.058905,0.104886,0,-1288.613159,0,0
0.81,0.465469,-1288.52417,-0.00692,0,0,2.070511,0.105477,0,-1288.52417,0,0
0.82,0.46212,-1288.613159,-0.006903,0,0,2.055613,0.104718,0,-1288.613159,0,0
0.83,0.463234,-1288.613159,-0.00692,0,0,2.060568,0.10497,0,-1288.613159,0,0
0.84,0.459885,-1288.568726,-0.00692,0,0,2.045669,0.104211,0,-1288.568726,0,0
0.85,0.470306,-1288.657593,-0.006916,0,0,2.092027,0.106573,0,-1288.657593,0,0
0.86,0.473289,-1288.52417,-0.006916,0,0,2.105297,0.107249,0,-1288.52417,0,0
0.87,0.471054,-1288.613159,-0.006898,0,0,2.095353,0.106742,0,-1288.613159,0,0
0.88,0.460999,-1288.657593,-0.00692,0,0,2.050624,0.104464,0,-1288.657593,0,0
0.89,0.464348,-1288.613159,-0.006907,0,0,2.065522,0.105223,0,-1288.613159,0,0
0.9,0.465096,-1288.657593,-0.006916,0,0,2.068848,0.105392,0,-1288.657593,0,0
0.91,0.472542,-1288.657593,-0.006911,0,0,2.101971,0.10708,0,-1288.657593,0,0
0.92,0.475151,-1288.613159,-0.006903,0,0,2.113577,0.107671,0,-1288.613159,0,0
0.93,0.471428,-1288.702148,-0.00692,0,0,2.097016,0.106827,0,-1288.702148,0,0
0.94,0.460625,-1288.568726,-0.006911,0,0,2.048961,0.104379,0,-1288.568726,0,0
0.95,0.466957,-1288.657593,-0.006907,0,0,2.077129,0.105814,0,-1288.657593,0,0
0.96,0.468445,-1288.613159,-0.006924,0,0,2.083747,0.106151,0,-1288.613159,0,0
0.97,0.462486,-1288.657593,-0.006916,0,0,2.057242,0.104801,0,-1288.657593,0,0
0.98,0.460625,-1288.613159,-0.006911,0,0,2.048961,0.104379,0,-1288.613159,0,0
0.99,0.461372,-1288.568726,-0.006907,0,0,2.052287,0.104548,0,-1288.568726,0.000018,0
1,0.465469,-1288.613159,-0.006911,0,0,2.070511,0.105477,0,-1288.613159,0.000035,0
1.01,0.464348,-1288.613159,-0.006924,0,0,2.065522,0.105223,0,-1288.613159,0.000053,0
1.02,0.459885,-1288.657593,-0.006907,0,0,2.045669,0.104211,0,-1288.657593,0.00007,0
1.03,0.464348,-1288.613159,-0.006903,0,0,2.065522,0.105223,0,-1288.613159,0.000088,0
1.04,0.469566,-1288.568726,-0.00692,0,0,2.088735,0.106405,0,-1288.568726,0.000104,0
1.05,0.471054,-1288.568726,-0.006933,0,0,2.095353,0.106742,0,-1288.568726,0.000123,0
1.06,0.466957,-1288.657593,-0.006898,0,0,2.077129,0.105814,0,-1288.657593,0.000139,0
1.07,0.460258,-1288.613159,-0.00689,0,0,2.047332,0.104296,0,-1288.613159,0.000157,0
1.08,0.466583,-1288.613159,-0.006903,0,0,2.075466,0.105729,0,-1288.613159,0.000174,0
1.09,0.470306,-1288.568726,-0.006916,0,0,2.092027,0.106573,0,-1288.568726,0.000191,0
1.1,0.468819,-1288.657593,-0.006916,0,0,2.08541,0.106236,0,-1288.657593,0.000209,0
1.11,0.465843,-1288.613159,-0.006903,0,0.000009,2.072174,0.105562,0.000091,-1288.613159,0.000218,0
1.12,0.471054,-1288.568726,-0.006916,0,0.000009,2.095353,0.106742,0.000091,-1288.568726,0.000235,0
