Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.040962,-254.119675,-0.012327,-0.009410,-0.239016,-0.182209,-0.009282,-2.390161,-254.119675,-0.238765,0.000000
0.120000,-0.050644,-254.208633,-0.012327,-0.009410,-0.239016,-0.225275,-0.011476,-2.390161,-254.208633,-0.238765,0.000000
0.130000,-0.049522,-254.075195,-0.012322,-0.009410,-0.239016,-0.220287,-0.011222,-2.390161,-254.075195,-0.238765,0.000000
0.140000,-0.046173,-254.075195,-0.012327,-0.009410,-0.239016,-0.205388,-0.010463,-2.390161,-254.075195,-0.238765,0.000000
0.150000,-0.029785,-254.164154,-0.012327,-0.009410,-0.239016,-0.132491,-0.006749,-2.390161,-254.164154,-0.238765,0.000000
0.160000,-0.033142,-254.075195,-0.012335,-0.009410,-0.239016,-0.147423,-0.007510,-2.390161,-254.075195,-0.238765,0.000000
0.170000,-0.052505,-254.208633,-0.012335,-0.009410,-0.239016,-0.233556,-0.011898,-2.390161,-254.208633,-0.238765,0.000000
0.180000,-0.051010,-254.119675,-0.012327,-0.009410,-0.239016,-0.226904,-0.011559,-2.390161,-254.119675,-0.238765,0.000000
0.190000,-0.037605,-254.119675,-0.012318,-0.009410,-0.239016,-0.167277,-0.008521,-2.390161,-254.119675,-0.238765,0.000000
0.200000,-0.029419,-254.164154,-0.012322,-0.009410,-0.239016,-0.130862,-0.006666,-2.390161,-254.164154,-0.238765,0.000000
0.210000,-0.033882,-254.119675,-0.012340,-0.009410,-0.239016,-0.150715,-0.007678,-2.390161,-254.119675,-0.238765,0.000000
0.220000,-0.038727,-254.164154,-0.012331,-0.009410,-0.239016,-0.172265,-0.008776,-2.390161,-254.164154,-0.238765,0.000000
0.230000,-0.048782,-254.119675,-0.012331,-0.009410,-0.239016,-0.216995,-0.011054,-2.390161,-254.119675,-0.238765,0.000000
0.240000,-0.056602,-254.119675,-0.012335,-0.009410,-0.239016,-0.251780,-0.012826,-2.390161,-254.119675,-0.238765,0.000000
0.250000,-0.040215,-254.119675,-0.012331,-0.009410,-0.239016,-0.178883,-0.009113,-2.390161,-254.119675,-0.238765,0.000000
0.260000,-0.035744,-254.119675,-0.012322,-0.009410,-0.239016,-0.158996,-0.008100,-2.390161,-254.119675,-0.238765,0.000000
0.270000,-0.039101,-254.119675,-0.012322,-0.009410,-0.239016,-0.173928,-0.008860,-2.390161,-254.119675,-0.238765,0.000000
0.280000,-0.043190,-254.164154,-0.012331,-0.009410,-0.239016,-0.192119,-0.009787,-2.390161,-254.164154,-0.238765,0.000000
0.290000,-0.044312,-254.119675,-0.012335,-0.009410,-0.239016,-0.197107,-0.010041,-2.390161,-254.119675,-0.238765,0.000000
0.300000,-0.044312,-254.164154,-0.012340,-0.009410,-0.239016,-0.197107,-0.010041,-2.390161,-254.164154,-0.238765,0.000000
0.310000,-0.039101,-254.164154,-0.012335,-0.009410,-0.239016,-0.173928,-0.008860,-2.390161,-254.164154,-0.238765,0.000000
0.320000,-0.043190,-254.164154,-0.012322,-0.009410,-0.239016,-0.192119,-0.009787,-2.390161,-254.164154,-0.238765,0.000000
0.330000,-0.046173,-254.164154,-0.012331,-0.009410,-0.239016,-0.205388,-0.010463,-2.390161,-254.164154,-0.238765,0.000000
0.340000,-0.039841,-254.119675,-0.012331,-0.009410,-0.239016,-0.177220,-0.009028,-2.390161,-254.119675,-0.238765,0.000000
0.350000,-0.036491,-254.253113,-0.012331,-0.009410,-0.239016,-0.162322,-0.008269,-2.390161,-254.253113,-0.238765,0.000000
0.360000,-0.042076,-254.119675,-0.012327,-0.009410,-0.239016,-0.187164,-0.009535,-2.390161,-254.119675,-0.238765,0.000000
0.370000,-0.044312,-254.119675,-0.012331,-0.009410,-0.239016,-0.197107,-0.010041,-2.390161,-254.119675,-0.238765,0.000000
0.380000,-0.053619,-254.119675,-0.012318,-0.009410,-0.239016,-0.238511,-0.012150,-2.390161,-254.119675,-0.238765,0.000000
0.390000,-0.040962,-254.119675,-0.012331,-0.009410,-0.239016,-0.182209,-0.009282,-2.390161,-254.119675,-0.238626,0.000000
0.400000,-0.015266,-254.208633,-0.012335,-0.009409,-0.238990,-0.067908,-0.003459,-2.389900,-254.208633,-0.238452,0.000000
0.410000,-0.021225,-254.119675,-0.012314,-0.009407,-0.238929,-0.094413,-0.004810,-2.389293,-254.119675,-0.238296,0.000000
0.420000,-0.024948,-254.208633,-0.012327,-0.009402,-0.238808,-0.110975,-0.005653,-2.388079,-254.208633,-0.238123,0.000000
0.430000,-0.018616,-254.119675,-0.012322,-0.009395,-0.238634,-0.082807,-0.004218,-2.386345,-254.119675,-0.237967,0.000000
0.440000,-0.019737,-254.119675,-0.012322,-0.009388,-0.238444,-0.087796,-0.004473,-2.384437,-254.119675,-0.237793,0.000000
0.450000,-0.014893,-254.253113,-0.012335,-0.009380,-0.238253,-0.066245,-0.003375,-2.382529,-254.253113,-0.237620,0.000000
0.460000,-0.008560,-254.119675,-0.012327,-0.009374,-0.238097,-0.038078,-0.001940,-2.380968,-254.119675,-0.237464,0.000000
0.470000,0.005585,-254.164154,-0.012318,-0.009368,-0.237949,0.024842,0.001266,-2.379494,-254.164154,-0.237290,0.000000
0.480000,-0.000000,-254.075195,-0.012340,-0.009363,-0.237811,-0.000000,-0.000000,-2.378106,-254.075195,-0.237117,0.000000
0.490000,-0.007820,-254.075195,-0.012318,-0.009357,-0.237663,-0.034786,-0.001772,-2.376632,-254.075195,-0.236961,0.000000
0.500000,-0.019363,-254.164154,-0.012309,-0.009350,-0.237498,-0.086133,-0.004388,-2.374984,-254.164154,-0.236787,0.000000
0.510000,-0.028297,-254.119675,-0.012322,-0.009343,-0.237308,-0.125873,-0.006412,-2.373076,-254.119675,-0.236631,0.000000
0.520000,-0.027184,-254.208633,-0.012331,-0.009336,-0.237134,-0.120918,-0.006160,-2.371342,-254.208633,-0.236458,0.000000
0.530000,-0.023827,-254.164154,-0.012335,-0.009331,-0.236995,-0.105986,-0.005399,-2.369954,-254.164154,-0.236284,0.000000
0.540000,-0.031647,-254.119675,-0.012322,-0.009326,-0.236883,-0.140772,-0.007171,-2.368827,-254.119675,-0.236128,0.000000
0.550000,-0.063675,-254.208633,-0.012331,-0.009323,-0.236813,-0.283240,-0.014429,-2.368133,-254.208633,-0.235955,0.000000
0.560000,-0.058830,-254.164154,-0.012335,-0.009321,-0.236753,-0.261690,-0.013331,-2.367526,-254.164154,-0.235799,0.000000
0.570000,-0.068512,-254.208633,-0.012327,-0.009318,-0.236666,-0.304756,-0.015525,-2.366659,-254.208633,-0.235625,0.000000
0.580000,-0.087509,-254.164154,-0.012348,-0.009312,-0.236518,-0.389260,-0.019830,-2.365185,-254.164154,-0.235452,0.000000
0.590000,-0.070747,-254.119675,-0.012318,-0.009306,-0.236371,-0.314700,-0.016032,-2.363710,-254.119675,-0.235296,0.000000
0.600000,-0.060692,-254.119675,-0.012331,-0.009300,-0.236232,-0.269971,-0.013753,-2.362323,-254.119675,-0.235122,0.000000
0.610000,-0.049896,-254.119675,-0.012335,-0.009295,-0.236094,-0.221950,-0.011307,-2.360935,-254.119675,-0.234966,0.000000
0.620000,-0.032394,-254.119675,-0.012318,-0.009289,-0.235937,-0.144098,-0.007341,-2.359374,-254.119675,-0.234793,0.000000
0.630000,-0.034630,-254.164154,-0.012327,-0.009282,-0.235755,-0.154041,-0.007847,-2.357553,-254.164154,-0.234619,0.000000
0.640000,-0.035378,-254.075195,-0.012335,-0.009275,-0.235582,-0.157367,-0.008017,-2.355819,-254.075195,-0.234463,0.000000
0.650000,-0.026436,-254.164154,-0.012322,-0.009268,-0.235417,-0.117593,-0.005990,-2.354171,-254.164154,-0.234290,0.000000
0.660000,-0.023827,-254.119675,-0.012314,-0.009263,-0.235278,-0.105986,-0.005399,-2.352783,-254.119675,-0.234134,0.000000
0.670000,-0.025696,-254.164154,-0.012305,-0.009258,-0.235157,-0.114301,-0.005823,-2.351569,-254.164154,-0.233960,0.000000
0.680000,-0.044312,-254.119675,-0.012296,-0.009253,-0.235036,-0.197107,-0.010041,-2.350355,-254.119675,-0.233787,0.000000
0.690000,-0.047661,-254.119675,-0.012314,-0.009247,-0.234871,-0.212006,-0.010800,-2.348707,-254.119675,-0.233631,0.000000
0.700000,-0.060326,-254.208633,-0.012301,-0.009238,-0.234654,-0.268342,-0.013670,-2.346539,-254.208633,-0.233457,0.000000
0.710000,-0.055481,-254.119675,-0.012296,-0.009230,-0.234454,-0.246792,-0.012572,-2.344545,-254.119675,-0.233301,0.000000
0.720000,-0.034630,-254.164154,-0.012284,-0.009224,-0.234290,-0.154041,-0.007847,-2.342897,-254.164154,-0.233128,0.000000
0.730000,-0.048035,-254.164154,-0.012284,-0.009218,-0.234125,-0.213669,-0.010885,-2.341249,-254.164154,-0.232954,0.000000
0.740000,-0.069633,-254.164154,-0.012271,-0.009211,-0.233960,-0.309745,-0.015779,-2.339602,-254.164154,-0.232798,0.000000
0.750000,-0.088249,-254.164154,-0.012279,-0.009205,-0.233804,-0.392552,-0.019998,-2.338041,-254.164154,-0.232625,0.000000
0.760000,-0.093094,-254.164154,-0.012262,-0.009199,-0.233648,-0.414102,-0.021095,-2.336479,-254.164154,-0.232469,0.000000
0.770000,-0.086761,-254.164154,-0.012236,-0.009192,-0.233483,-0.385934,-0.019660,-2.334832,-254.164154,-0.232295,0.000000
0.780000,-0.095695,-254.164154,-0.012236,-0.009186,-0.233327,-0.425675,-0.021685,-2.333271,-254.164154,-0.232122,0.000000
0.790000,-0.078194,-254.119675,-0.012249,-0.009180,-0.233162,-0.347823,-0.017719,-2.331623,-254.119675,-0.231966,0.000000
0.800000,-0.062553,-254.164154,-0.012258,-0.009173,-0.232989,-0.278251,-0.014175,-2.329889,-254.164154,-0.231792,0.000000
0.810000,-0.038353,-254.119675,-0.012227,-0.009165,-0.232798,-0.170603,-0.008691,-2.327981,-254.119675,-0.231636,0.000000
0.820000,-0.032394,-254.164154,-0.012219,-0.009159,-0.232642,-0.144098,-0.007341,-2.326420,-254.164154,-0.231463,0.000000
0.830000,-0.036865,-254.208633,-0.012215,-0.009153,-0.232486,-0.163985,-0.008354,-2.324859,-254.208633,-0.231289,0.000000
0.840000,-0.029419,-254.119675,-0.012206,-0.009146,-0.232321,-0.130862,-0.006666,-2.323211,-254.119675,-0.231133,0.000000
0.850000,-0.025696,-254.208633,-0.012206,-0.009140,-0.232148,-0.114301,-0.005823,-2.321476,-254.208633,-0.230960,0.000000
0.860000,-0.023460,-254.164154,-0.012202,-0.009134,-0.231992,-0.104357,-0.005316,-2.319915,-254.164154,-0.230786,0.000000
0.870000,-0.041328,-254.208633,-0.012189,-0.009128,-0.231861,-0.183838,-0.009365,-2.318614,-254.208633,-0.230630,0.000000
0.880000,-0.054741,-254.164154,-0.012193,-0.009123,-0.231723,-0.243500,-0.012404,-2.317227,-254.164154,-0.230457,0.000000
0.890000,-0.058464,-254.208633,-0.012180,-0.009115,-0.231532,-0.260061,-0.013248,-2.315319,-254.208633,-0.230300,0.000000
0.900000,-0.055107,-254.164154,-0.012180,-0.009108,-0.231350,-0.245129,-0.012487,-2.313498,-254.164154,-0.230127,0.000000
