Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,26,42.736240369816734,,,,42.7**2 * RBF(length_scale=21) + WhiteKernel(noise_level=0.000118),296.35081017123304,Initial selection
1,29,51.50598562924656,42.949387705748784,42.52554805646248,4.23839649286299,47.2**2 * RBF(length_scale=13) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
2,68,65.48719407925006,52.147187253256135,50.627740206341834,15.194470469143024,54.6**2 * RBF(length_scale=16) + WhiteKernel(noise_level=1.2e-06),296.35081017123304,Continuing
3,71,270.69323356331364,65.77891708462275,64.94573455073487,8.331825338878854,150**2 * RBF(length_scale=2.43) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
4,70,172.0732296612731,130.97997183966373,117.5377246635705,134.42247176093238,152**2 * RBF(length_scale=3.18) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
5,47,188.55697291016554,155.909151243786,146.3150347213006,95.94116522485388,171**2 * RBF(length_scale=4.3) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
6,48,171.00469374345903,188.5580530350714,188.5569729463162,0.010800887551881806,164**2 * RBF(length_scale=4.1) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
7,50,174.66437205644556,163.22528936320845,160.58538867359744,26.399006896110226,171**2 * RBF(length_scale=4.53) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
8,51,181.925661105008,174.8439849220122,174.39886225462033,4.451226673918765,169**2 * RBF(length_scale=4.4) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,44,159.30709474405634,173.992001491349,173.33536115693508,6.566403344139126,135**2 * RBF(length_scale=3.08) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,72,189.44122006132594,133.51703760359487,123.9833476111396,95.33689992455261,136**2 * RBF(length_scale=3.27) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,49,242.91509227554656,132.66958392799103,122.85895090987106,98.10633018119984,147**2 * RBF(length_scale=3.51) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
12,45,224.5706110108938,242.04998912728712,241.55344448732012,4.9654463996699,157**2 * RBF(length_scale=2.9) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
13,46,242.41091008794928,230.6621125485954,230.25389562272247,4.082169258729338,148**2 * RBF(length_scale=3.39) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
14,52,231.07458974395303,232.35134155080416,231.89997388380834,4.513676669958275,148**2 * RBF(length_scale=3.4) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
15,53,228.31076155204596,147.68032777474355,134.88713855565857,127.93189219084991,150**2 * RBF(length_scale=3.58) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
16,57,296.35081017123304,161.0911501961901,151.30260956898746,97.88540627202651,160**2 * RBF(length_scale=3.64) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
