Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Max Modulus in Dataset,Stopping Reason
0,26,42.736240369816734,,,,296.35081017123304,Initial selection
1,13,35.102261317001975,476.2615726406988,3.7328924338294747,31.501912013791287,296.35081017123304,Continuing
2,58,211.50865412415317,323.66572545489817,31.673263289468803,19.466164144361958,296.35081017123304,Continuing
3,53,228.31076155204596,505.4797278494045,72.09607036562879,28.892243832251715,296.35081017123304,Continuing
4,72,189.44122006132594,478.10683117337777,35.822058256077625,29.485651527820007,296.35081017123304,Continuing
5,8,242.7128680778461,452.5315493097564,98.05498612055112,23.63177087928035,296.35081017123304,Continuing
6,71,270.69323356331364,486.5720868814951,189.97785454464818,19.77294882245646,296.35081017123304,Continuing
7,54,197.84044623035882,485.0040085973632,175.99358068438767,20.60069519419837,296.35081017123304,Continuing
8,49,242.91509227554656,471.4855127899714,187.07319814678894,18.960820976212162,296.35081017123304,Continuing
9,42,179.2410423946837,472.6755199193219,134.62691798965523,22.53657346197778,296.35081017123304,Continuing
10,57,296.35081017123304,468.0114802854242,215.50550644057603,16.833731589656544,296.35081017123304,Max modulus reached
