Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,48,171.00469374345903,,,,171**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=8.44),296.35081017123304,Initial selection
1,0,81.74085575257114,855.0234636062448,0.0,171.00469272124897,134**2 * RBF(length_scale=5.34) + WhiteKernel(noise_level=0.00826),296.35081017123304,Continuing
2,69,110.69482106635698,666.319516194804,80.34666063289993,117.19457111238081,119**2 * RBF(length_scale=6.47) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
3,60,272.2240045816517,558.3524003573629,115.73472920348559,88.52353423077545,179**2 * RBF(length_scale=9.68) + WhiteKernel(noise_level=0.000691),296.35081017123304,Continuing
4,53,228.31076155204596,577.9559053750181,198.375016473924,75.91617778021883,184**2 * RBF(length_scale=11.6) + WhiteKernel(noise_level=1.92e-05),296.35081017123304,Continuing
5,41,220.5104016857166,454.4668620160751,168.2201129950253,57.24934980420997,187**2 * RBF(length_scale=12.1) + WhiteKernel(noise_level=0.00159),296.35081017123304,Continuing
6,43,178.97379271834268,442.5280911368069,180.55570524602615,52.39447717815615,185**2 * RBF(length_scale=13.1) + WhiteKernel(noise_level=0.000172),296.35081017123304,Continuing
7,61,201.80400290446062,380.7678709875954,219.20156577098976,32.313261043321134,193**2 * RBF(length_scale=14.6) + WhiteKernel(noise_level=1e-06),296.35081017123304,Continuing
8,54,197.84044623035882,327.2566522425515,234.96938172692433,18.45745410312544,152**2 * RBF(length_scale=10.2) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,10,95.58773206251,343.619573130999,165.26150625892652,35.6716133744145,145**2 * RBF(length_scale=8.54) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,52,231.07458974395303,328.66050032547224,223.64678502093966,21.002743060906514,143**2 * RBF(length_scale=8.82) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,71,270.69323356331364,311.1832185379976,141.2243649152217,33.99177072455518,152**2 * RBF(length_scale=6.55) + WhiteKernel(noise_level=0.000342),296.35081017123304,Continuing
12,70,172.0732296612731,402.15919412812207,226.4469536778031,35.142448090063795,145**2 * RBF(length_scale=5.98) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
13,68,65.48719407925006,402.5003393192545,213.60957343803776,37.77815317624335,159**2 * RBF(length_scale=4.7) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
14,6,204.17680289774339,457.7859697100498,122.93763446194282,66.96966704962139,164**2 * RBF(length_scale=4.78) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
15,8,242.7128680778461,443.3743318201007,182.62420759151814,52.1500248457165,178**2 * RBF(length_scale=5.16) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
16,57,296.35081017123304,431.46688635506644,224.049723216021,41.483432627809094,175**2 * RBF(length_scale=4.81) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
