Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,72,189.441220061326,80.23511,17.24831,296.35081017123304,Continuing
2,71,270.69323356331364,256.5151,16.371916,296.35081017123304,Continuing
3,53,228.310761552046,379.2985,81.66421,296.35081017123304,Continuing
4,8,242.7128680778461,191.00241,25.655535,296.35081017123304,Continuing
5,9,233.7243724057668,246.41144,37.87356,296.35081017123304,Continuing
6,54,197.8404462303588,244.42424,44.10904,296.35081017123304,Continuing
7,58,211.5086541241532,204.08205,51.2722,296.35081017123304,Continuing
8,59,219.61643412334288,219.09412,40.534763,296.35081017123304,Continuing
9,60,272.2240045816517,181.9064,31.243132,296.35081017123304,Continuing
10,57,296.35081017123304,207.93881,24.27019,296.35081017123304,Max Elastic Modulus reached
