Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,443.66507,92.06465,296.35081017123304,Continuing
2,53,228.310761552046,244.3406,15.364616,296.35081017123304,Continuing
3,59,219.61643412334288,210.28114,10.973539,296.35081017123304,Continuing
4,8,242.7128680778461,205.80379,26.970331,296.35081017123304,Continuing
5,9,233.7243724057668,226.61238,34.38595,296.35081017123304,Continuing
6,60,272.2240045816517,208.01822,20.52937,296.35081017123304,Continuing
7,61,201.80400290446065,278.59265,24.843973,296.35081017123304,Continuing
8,52,231.07458974395303,229.37921,23.428808,296.35081017123304,Continuing
9,2,66.30151481091211,234.58527,61.427113,296.35081017123304,Continuing
10,45,224.5706110108938,227.39847,24.128208,296.35081017123304,Continuing
11,46,242.41091008794928,228.70195,22.665321,296.35081017123304,Continuing
12,49,242.91509227554656,234.49232,22.679905,296.35081017123304,Continuing
13,6,204.17680289774336,186.1842,23.455353,296.35081017123304,Continuing
14,7,117.40631603510326,199.6181,22.757788,296.35081017123304,Continuing
15,56,175.8319549576918,186.1029,20.246037,296.35081017123304,Continuing
16,55,168.33383829683325,171.55835,19.22593,296.35081017123304,Continuing
17,54,197.8404462303588,156.05368,17.014374,296.35081017123304,Continuing
18,43,178.97379271834268,166.72433,58.73738,296.35081017123304,Continuing
19,41,220.5104016857166,177.30905,34.500645,296.35081017123304,Continuing
20,42,179.2410423946837,172.22583,26.343866,296.35081017123304,Continuing
21,63,228.4671903908735,157.61885,17.18669,296.35081017123304,Continuing
22,62,277.3861208337041,184.21103,19.624153,296.35081017123304,Continuing
23,40,162.77817832797786,165.26425,22.649137,296.35081017123304,Continuing
24,57,296.35081017123304,164.36278,17.326391,296.35081017123304,Max Elastic Modulus reached
