Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,15,48.22854697312115,0.001405562326685936,39.58562066377061,296.35081017123304,Continuing
2,23,53.46447392343188,44.90768879758784,27.333283804719812,296.35081017123304,Continuing
3,72,189.441220061326,46.67223699293538,8.490390438226841,296.35081017123304,Continuing
4,70,172.0732296612731,67.26564457655545,78.32882727500507,296.35081017123304,Continuing
5,69,110.69482106635698,89.77776950432565,79.93734537250454,296.35081017123304,Continuing
6,63,228.4671903908735,142.9047814619023,26.206861457595984,296.35081017123304,Continuing
7,62,277.3861208337041,113.27004353260483,81.8493866232115,296.35081017123304,Continuing
8,37,152.72295816440803,132.6456108668586,95.45479434455419,296.35081017123304,Continuing
9,61,201.80400290446065,135.72801950349321,88.93249254081717,296.35081017123304,Continuing
10,44,159.30709474405634,235.07643682227854,66.667449930451,296.35081017123304,Continuing
11,56,175.8319549576918,194.87455484729333,51.99165307588679,296.35081017123304,Continuing
12,6,204.17680289774336,172.52663027827998,84.94307775218013,296.35081017123304,Continuing
13,7,117.40631603510326,179.31621998219964,89.08759114825958,296.35081017123304,Continuing
14,38,182.9546167355371,181.99298080496533,43.157564901017544,296.35081017123304,Continuing
15,43,178.97379271834268,153.0214806039122,61.89712384046526,296.35081017123304,Continuing
16,52,231.07458974395303,158.1131108948082,52.513059377797056,296.35081017123304,Continuing
17,45,224.5706110108938,215.08548305602608,48.066636220313185,296.35081017123304,Continuing
18,46,242.41091008794928,218.00101354541027,40.770591747519575,296.35081017123304,Continuing
19,49,242.91509227554656,223.68499541567166,37.739513711753666,296.35081017123304,Continuing
20,50,174.66437205644556,193.02644096837776,41.232667590033245,296.35081017123304,Continuing
21,51,181.925661105008,185.17316738885756,36.48872080990803,296.35081017123304,Continuing
22,41,220.5104016857166,180.67190296666286,44.52423894811962,296.35081017123304,Continuing
23,54,197.8404462303588,174.87534290643043,37.33685447584454,296.35081017123304,Continuing
24,55,168.33383829683325,191.3903403786403,39.568704258695995,296.35081017123304,Continuing
25,35,207.09310351510177,173.6430331488341,33.65789778635121,296.35081017123304,Continuing
26,42,179.2410423946837,171.16884552069678,36.02086757320724,296.35081017123304,Continuing
27,40,162.77817832797786,171.60890701665994,33.95871737532622,296.35081017123304,Continuing
28,47,188.5569729101656,149.73415447472416,35.36984237300863,296.35081017123304,Continuing
29,48,171.00469374345903,170.07991780781958,32.095580236077055,296.35081017123304,Continuing
30,53,228.310761552046,139.00508910374583,70.90231815094496,296.35081017123304,Continuing
31,60,272.2240045816517,183.05797336976502,44.04182116329059,296.35081017123304,Continuing
32,58,211.5086541241532,225.95704312101861,35.71589690801859,296.35081017123304,Continuing
33,59,219.61643412334288,219.7837321096149,32.735746625205664,296.35081017123304,Continuing
34,57,296.35081017123304,205.23686242750864,32.71083250679969,296.35081017123304,Max Elastic Modulus reached
