Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,15,48.22854697312115,0.001405562326685936,39.58562066377061,296.35081017123304,Continuing
2,61,201.80400290446065,24.44159173999146,40.46720726156273,296.35081017123304,Continuing
3,72,189.441220061326,67.67838856685505,101.4508025475124,296.35081017123304,Continuing
4,53,228.310761552046,103.66623203971261,96.84984242850152,296.35081017123304,Continuing
5,71,270.69323356331364,129.97169922849562,98.1561060454025,296.35081017123304,Continuing
6,58,211.5086541241532,153.5133380352109,103.69369603572369,296.35081017123304,Continuing
7,59,219.61643412334288,163.15302706610984,95.85872512198145,296.35081017123304,Continuing
8,42,179.2410423946837,201.64194098492408,54.07421545187382,296.35081017123304,Continuing
9,52,231.07458974395303,190.19616597163633,47.32573693864415,296.35081017123304,Continuing
10,8,242.7128680778461,239.05671713376336,36.396053122033955,296.35081017123304,Continuing
11,0,81.74085575257114,169.89696163916759,40.92485024864455,296.35081017123304,Continuing
12,60,272.2240045816517,196.6756110993718,89.32715372445077,296.35081017123304,Continuing
13,54,197.8404462303588,233.83175944965592,45.173253198423524,296.35081017123304,Continuing
14,70,172.0732296612731,218.66874696411764,42.709348368881756,296.35081017123304,Continuing
15,57,296.35081017123304,220.04713859017966,42.78470705920098,296.35081017123304,Max Elastic Modulus reached
