Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,228.31076155204602,0.0,296.35081017123304,Continuing
2,71,270.69323356331364,160.88860488428816,146.56990579947484,296.35081017123304,Continuing
3,68,65.48719407925006,204.88210743805342,188.95237781074252,296.35081017123304,Continuing
4,70,172.0732296612731,200.85461334457258,205.20603948406358,296.35081017123304,Continuing
5,47,188.5569729101656,206.3234274789516,188.95237781074252,296.35081017123304,Continuing
6,8,242.7128680778461,181.54546266010013,188.95237781074252,296.35081017123304,Continuing
7,9,233.7243724057668,224.99323280567026,160.972012325275,296.35081017123304,Continuing
8,41,220.5104016857166,174.2745223629553,177.22567399859605,296.35081017123304,Continuing
9,69,110.69482106635698,176.61547341269775,205.20603948406358,296.35081017123304,Continuing
10,72,189.441220061326,190.802393036801,159.99841249695666,296.35081017123304,Continuing
11,40,162.77817832797786,175.2502511757717,155.02320760646654,296.35081017123304,Continuing
12,49,242.91509227554656,204.75521123319376,61.65114274449368,296.35081017123304,Continuing
13,45,224.5706110108938,229.119131711922,54.35811936538096,296.35081017123304,Continuing
14,46,242.41091008794928,226.9129338556563,53.47387221422056,296.35081017123304,Continuing
15,52,231.07458974395303,234.51008079701475,18.344481264652757,296.35081017123304,Continuing
16,42,179.2410423946837,208.96007670525313,98.62000390204054,296.35081017123304,Continuing
17,50,174.66437205644556,213.0015207145833,54.35811936538096,296.35081017123304,Continuing
18,48,171.00469374345903,198.26313018427712,68.04849602140055,296.35081017123304,Continuing
19,54,197.8404462303588,180.10438906393793,65.79074801693483,296.35081017123304,Continuing
20,57,296.35081017123304,185.34896701515274,53.64638949560043,296.35081017123304,Max Elastic Modulus reached
