Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,228.31076155204602,0.0,296.35081017123304,Continuing
2,71,270.69323356331364,160.88860488428816,146.56990579947484,296.35081017123304,Continuing
3,68,65.48719407925006,204.88210743805342,188.95237781074252,296.35081017123304,Continuing
4,70,172.0732296612731,200.85461334457258,205.20603948406358,296.35081017123304,Continuing
5,47,188.5569729101656,206.3234274789516,188.95237781074252,296.35081017123304,Continuing
6,41,220.5104016857166,176.14609384466945,205.20603948406358,296.35081017123304,Continuing
7,69,110.69482106635698,175.47466641366967,205.20603948406358,296.35081017123304,Continuing
8,8,242.7128680778461,198.7046360824631,188.95237781074252,296.35081017123304,Continuing
9,72,189.441220061326,190.7160378967568,159.99841249695666,296.35081017123304,Continuing
10,6,204.17680289774336,133.75102228965926,177.22567399859605,296.35081017123304,Continuing
11,42,179.2410423946837,192.1904146589386,132.01804701148913,296.35081017123304,Continuing
12,40,162.77817832797786,185.94790474789835,139.58222901681148,296.35081017123304,Continuing
13,39,140.76871335709305,156.9248599920265,155.02320760646654,296.35081017123304,Continuing
14,7,117.40631603510326,173.88451301368278,122.43594714517225,296.35081017123304,Continuing
15,56,175.8319549576918,176.76720394647694,103.49410364392946,296.35081017123304,Continuing
16,9,233.7243724057668,223.0070784213275,66.8809131201543,296.35081017123304,Continuing
17,2,66.30151481091211,140.80394378888445,138.6896088184933,296.35081017123304,Continuing
18,37,152.72295816440803,171.87222563441006,93.48198183138638,296.35081017123304,Continuing
19,48,171.00469374345903,204.13928496915833,54.15589516768051,296.35081017123304,Continuing
20,35,207.09310351510177,104.80149065780344,155.02320760646654,296.35081017123304,Continuing
21,34,88.47667256854467,143.28475164991622,141.60590943585171,296.35081017123304,Continuing
22,18,74.82276309333224,115.38831550051273,141.60590943585171,296.35081017123304,Continuing
23,28,147.00005295683096,116.03392775822614,141.60590943585171,296.35081017123304,Continuing
24,27,141.45379911190125,125.7765053881785,141.60590943585171,296.35081017123304,Continuing
25,4,109.60733027971378,113.19018329446772,138.6896088184933,296.35081017123304,Continuing
26,49,242.91509227554656,202.6362432413563,57.30606780858696,296.35081017123304,Continuing
27,45,224.5706110108938,228.25983863720555,67.10509688898256,296.35081017123304,Continuing
28,52,231.07458974395303,224.63087995140003,54.35811936538096,296.35081017123304,Continuing
29,50,174.66437205644556,191.20869603606621,71.91039853208753,296.35081017123304,Continuing
30,51,181.925661105008,181.7301305028793,71.91039853208753,296.35081017123304,Continuing
31,46,242.41091008794928,226.46045726685384,18.344481264652757,296.35081017123304,Continuing
32,36,120.1628705347832,120.98811917219874,118.61643094655712,296.35081017123304,Continuing
33,61,201.80400290446065,174.4912282158749,51.45384473333533,296.35081017123304,Continuing
34,60,272.2240045816517,180.86676249394068,29.730773243187542,296.35081017123304,Continuing
35,58,211.5086541241532,234.46799568611476,97.55963252520613,296.35081017123304,Continuing
36,59,219.61643412334288,218.7205638901005,97.55963252520613,296.35081017123304,Continuing
37,44,159.30709474405634,192.87506798233906,97.55963252520613,296.35081017123304,Continuing
38,57,296.35081017123304,201.9663815717864,53.64638949560043,296.35081017123304,Max Elastic Modulus reached
