Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,171.0047,4.5776367e-05,296.35081017123304,Continuing
2,10,95.58773206251,144.225,40.905487,296.35081017123304,Continuing
3,42,179.2410423946837,152.94511,32.81788,296.35081017123304,Continuing
4,8,242.7128680778461,146.65407,36.346905,296.35081017123304,Continuing
5,9,233.7243724057668,195.07195,60.68197,296.35081017123304,Continuing
6,53,228.310761552046,214.08498,31.846642,296.35081017123304,Continuing
7,71,270.69323356331364,223.54918,19.699617,296.35081017123304,Continuing
8,70,172.0732296612731,208.60379,27.682352,296.35081017123304,Continuing
9,68,65.48719407925006,180.59764,45.186207,296.35081017123304,Continuing
10,72,189.441220061326,181.62105,24.095417,296.35081017123304,Continuing
11,45,224.5706110108938,176.92604,14.493637,296.35081017123304,Continuing
12,46,242.41091008794928,205.64136,25.060255,296.35081017123304,Continuing
13,49,242.91509227554656,226.96822,19.644136,296.35081017123304,Continuing
14,52,231.07458974395303,225.35863,19.339584,296.35081017123304,Continuing
15,50,174.66437205644556,208.28922,23.694204,296.35081017123304,Continuing
16,44,159.30709474405634,180.53731,17.29171,296.35081017123304,Continuing
17,51,181.925661105008,189.57185,23.441181,296.35081017123304,Continuing
18,17,106.8193434000782,131.81908,46.131477,296.35081017123304,Continuing
19,54,197.8404462303588,185.1573,17.102386,296.35081017123304,Continuing
20,55,168.33383829683325,191.9517,9.365334,296.35081017123304,Continuing
21,47,188.5569729101656,177.8831,14.153834,296.35081017123304,Continuing
22,57,296.35081017123304,181.59375,12.274374,296.35081017123304,Max Elastic Modulus reached
