Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,10,45.97,780.94696,173.72311,1243.67,Continuing
2,2,14.78,542.6161,44.705925,1243.67,Continuing
3,13,215.37,687.84595,52.34702,1243.67,Continuing
4,12,179.53,281.03003,42.20663,1243.67,Continuing
5,16,490.06,272.58548,26.4048,1243.67,Continuing
6,19,634.35,490.08588,43.724995,1243.67,Continuing
7,20,688.74,501.44717,42.106766,1243.67,Continuing
8,21,725.7933279,612.6531,45.88558,1243.67,Continuing
9,23,788.8326479,615.47955,44.00477,1243.67,Continuing
10,25,804.11,693.61194,47.988277,1243.67,Continuing
11,26,839.28,663.2969,46.062946,1243.67,Continuing
12,27,852.33,671.4425,43.843296,1243.67,Continuing
13,232,824.47,775.8996,49.36629,1243.67,Continuing
14,220,546.79,712.52985,44.631424,1243.67,Continuing
15,226,658.86,669.92236,42.45004,1243.67,Continuing
16,112,904.29,671.8158,43.736538,1243.67,Continuing
17,110,770.35,661.6627,40.10114,1243.67,Continuing
18,114,291.41,522.87036,32.93018,1243.67,Continuing
19,223,636.48,461.02414,27.942995,1243.67,Continuing
20,224,637.46,506.5777,29.167118,1243.67,Continuing
21,230,738.1,542.42096,31.44388,1243.67,Continuing
22,228,697.4,605.092,35.269352,1243.67,Continuing
23,205,248.62,542.4549,37.904472,1243.67,Continuing
24,191,398.5758253,482.14505,29.73071,1243.67,Continuing
25,192,424.1973941,421.27612,27.625504,1243.67,Continuing
26,185,311.2965408,433.54092,31.12579,1243.67,Continuing
27,189,345.3800939,365.51114,28.447906,1243.67,Continuing
28,182,160.6199195,348.49442,19.892323,1243.67,Continuing
29,211,382.45,293.0084,18.604782,1243.67,Continuing
30,171,419.51,276.97168,15.751159,1243.67,Continuing
31,170,405.26,324.82108,18.219866,1243.67,Continuing
32,116,452.8,296.2828,19.179775,1243.67,Continuing
33,123,552.26,343.4879,20.99414,1243.67,Continuing
34,126,660.0,412.23956,24.606604,1243.67,Continuing
35,127,1089.12,493.6036,27.412672,1243.67,Continuing
36,229,731.11,612.84686,33.153694,1243.67,Continuing
