Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,10,45.97,722.42847,154.16824,1243.67,Continuing
2,2,14.78,544.6033,41.329235,1243.67,Continuing
3,13,215.37,641.7289,49.5822,1243.67,Continuing
4,6,26.19,262.6937,41.50914,1243.67,Continuing
5,232,824.47,282.95682,28.167747,1243.67,Continuing
6,16,490.06,890.7737,78.44954,1243.67,Continuing
7,19,634.35,603.70056,48.514675,1243.67,Continuing
8,20,688.74,683.13086,47.162144,1243.67,Continuing
9,21,725.7933279,685.2049,44.68839,1243.67,Continuing
10,23,788.8326479,695.07745,42.60945,1243.67,Continuing
11,25,804.11,707.98486,44.496372,1243.67,Continuing
12,26,839.28,717.5295,46.184174,1243.67,Continuing
13,27,852.33,722.8638,46.1904,1243.67,Continuing
14,220,546.79,713.7517,46.05325,1243.67,Continuing
15,112,904.29,634.1957,40.13803,1243.67,Continuing
16,226,658.86,690.78107,41.951164,1243.67,Continuing
17,110,770.35,693.5873,39.453617,1243.67,Continuing
18,229,731.11,540.1647,31.62664,1243.67,Continuing
19,114,291.41,724.00415,41.926018,1243.67,Continuing
20,116,452.8,537.23987,30.566156,1243.67,Continuing
21,223,636.48,516.94385,30.213022,1243.67,Continuing
22,224,637.46,581.638,33.505882,1243.67,Continuing
23,230,738.1,555.6255,30.660202,1243.67,Continuing
24,228,697.4,564.8409,31.44243,1243.67,Continuing
25,205,248.62,525.19305,49.962723,1243.67,Continuing
26,192,424.1973941,543.83374,30.802053,1243.67,Continuing
27,191,398.5758253,511.20224,27.461252,1243.67,Continuing
28,123,552.26,473.11176,31.112713,1243.67,Continuing
29,182,160.6199195,510.98898,27.989328,1243.67,Continuing
30,126,660.0,470.92203,28.695515,1243.67,Continuing
31,127,1089.12,520.8059,28.61012,1243.67,Continuing
32,231,772.94,643.0307,32.92122,1243.67,Continuing
33,100,433.78,535.052,34.3223,1243.67,Continuing
34,122,543.75,459.44257,27.354885,1243.67,Continuing
35,22,766.85,429.3211,28.914515,1243.67,Continuing
36,24,800.58,615.9792,33.046925,1243.67,Continuing
37,227,695.67,696.2619,36.205997,1243.67,Continuing
38,222,602.48,714.2512,35.850403,1243.67,Continuing
39,104,580.44,565.287,30.76607,1243.67,Continuing
40,108,659.36,571.3945,29.45412,1243.67,Continuing
41,103,562.06,614.3955,29.721468,1243.67,Continuing
42,105,607.72,568.35376,27.66041,1243.67,Continuing
43,101,484.36,563.60315,29.048712,1243.67,Continuing
44,113,226.22,550.3119,25.103842,1243.67,Continuing
45,185,311.2965408,420.1518,31.129545,1243.67,Continuing
46,124,554.41,481.802,30.66064,1243.67,Continuing
47,106,618.72,408.11484,22.363901,1243.67,Continuing
48,189,345.3800939,335.24557,23.085716,1243.67,Continuing
49,17,559.01,325.3135,40.911133,1243.67,Continuing
50,18,617.92,543.90643,48.09183,1243.67,Continuing
51,98,233.89,296.30597,59.936234,1243.67,Continuing
52,102,545.78,375.788,35.985935,1243.67,Continuing
53,153,47.22,408.2782,35.14267,1243.67,Continuing
54,109,750.9,369.68625,20.322138,1243.67,Continuing
55,120,540.19,419.03293,20.905258,1243.67,Continuing
56,125,608.87,451.2043,20.728765,1243.67,Continuing
57,213,406.47,491.1482,50.65367,1243.67,Continuing
58,211,382.45,579.2694,67.327126,1243.67,Continuing
59,170,405.26,390.3196,42.43997,1243.67,Continuing
60,111,838.31,495.4252,21.665413,1243.67,Continuing
61,207,289.72,525.13605,25.83778,1243.67,Continuing
62,171,419.51,373.89206,25.13062,1243.67,Continuing
63,12,179.53,177.40056,78.71101,1243.67,Continuing
64,206,268.25,266.33957,33.58367,1243.67,Continuing
65,14,218.67,194.80577,61.409492,1243.67,Continuing
66,202,214.93,301.78824,22.703772,1243.67,Continuing
67,162,217.94,227.04312,27.521997,1243.67,Continuing
68,3,16.34,43.574814,72.99384,1243.67,Continuing
69,146,312.65,449.49005,28.376982,1243.67,Continuing
70,179,135.2652427,288.7174,14.239367,1243.67,Continuing
71,150,348.88,213.19943,21.588486,1243.67,Continuing
72,15,411.82,205.87357,22.157324,1243.67,Continuing
73,198,195.33,232.39014,24.390749,1243.67,Continuing
74,201,213.5,234.7238,24.222467,1243.67,Continuing
75,107,625.33,156.10489,21.234304,1243.67,Continuing
76,139,336.24,309.05197,24.925602,1243.67,Continuing
77,115,325.56,300.51663,29.089315,1243.67,Continuing
78,138,302.25,173.25127,19.122076,1243.67,Continuing
79,169,385.2,199.98285,15.790515,1243.67,Continuing
80,142,280.38,217.88005,16.136219,1243.67,Continuing
81,145,291.83,236.93141,17.247032,1243.67,Continuing
82,140,259.11,218.85706,16.107035,1243.67,Continuing
83,219,545.18,216.56126,16.56933,1243.67,Continuing
84,196,191.45,190.97313,15.379723,1243.67,Continuing
85,197,192.98,193.54037,14.749805,1243.67,Continuing
86,199,201.63,214.02391,14.264368,1243.67,Continuing
87,152,44.1,141.56288,30.857283,1243.67,Continuing
88,204,240.44,175.55438,12.237715,1243.67,Continuing
89,166,249.23,162.82695,12.485936,1243.67,Continuing
90,167,250.28,192.48097,12.596987,1243.67,Continuing
91,141,279.69,151.64781,12.571109,1243.67,Continuing
92,144,286.73,192.1154,13.701106,1243.67,Continuing
93,155,92.38,198.22438,16.476522,1243.67,Continuing
94,188,339.0080085,172.93224,13.293991,1243.67,Continuing
95,164,220.66,191.1294,18.06502,1243.67,Continuing
96,186,318.1919743,205.89796,17.136608,1243.67,Continuing
97,148,328.21,160.21681,17.611294,1243.67,Continuing
98,149,328.45,225.9536,20.443274,1243.67,Continuing
99,193,733.7295218,251.9416,22.142683,1243.67,Continuing
100,137,293.93,559.92773,39.36292,1243.67,Continuing
101,183,162.7067112,506.15747,30.619991,1243.67,Continuing
102,194,745.278685,515.9669,30.292305,1243.67,Continuing
103,178,111.8949727,562.5595,36.794193,1243.67,Continuing
104,117,475.46,530.7614,24.587627,1243.67,Continuing
105,118,529.11,500.493,22.383085,1243.67,Continuing
106,119,535.99,507.42908,21.102795,1243.67,Continuing
107,128,1243.67,523.32196,20.944593,1243.67,Max Conductivity reached
