Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,162,217.94,0.0009772106062161325,220.5700030922077,1243.67,Continuing
2,10,45.97,39.907081437495435,215.59661211745674,1243.67,Continuing
3,0,12.77,0.0,158.41541865690257,1243.67,Continuing
4,1,13.19,0.0,129.55982334920208,1243.67,Continuing
5,2,14.78,0.0,112.39937050495608,1243.67,Continuing
6,5,24.01,0.0,100.75326039622857,1243.67,Continuing
7,31,7.2,2.0236148811938823e-07,92.49833983085668,1243.67,Continuing
8,38,12.19,126.6039650245616,160.83381927691585,1243.67,Continuing
9,16,490.06,268.3645243250585,28.437401317596795,1243.67,Continuing
10,13,215.37,5.897870697070212,190.94803830280694,1243.67,Continuing
11,54,17.89,-6.115619484873832,182.43657269158638,1243.67,Continuing
12,22,766.85,365.30708439841464,56.96140034826303,1243.67,Continuing
13,153,47.22,471.98907362921847,173.04132520514764,1243.67,Continuing
14,193,733.7295218,644.3490619787855,120.78172607809155,1243.67,Continuing
15,187,322.6997586,570.2828636715709,125.84886847658392,1243.67,Continuing
16,213,406.47,264.36377730222546,200.8770127666782,1243.67,Continuing
17,122,543.75,814.388335509206,48.205428134348935,1243.67,Continuing
18,155,92.38,414.512393231493,233.73140186411817,1243.67,Continuing
19,190,390.2707837,366.0240438478316,227.48389966995754,1243.67,Continuing
20,203,226.25,102.38054258581707,270.5672838003701,1243.67,Continuing
21,114,291.41,594.7095428915325,135.45049220860543,1243.67,Continuing
22,140,259.11,751.4171068615929,168.20104291261592,1243.67,Continuing
23,19,634.35,408.9745260170138,177.36886897107982,1243.67,Continuing
24,20,688.74,479.60670074221525,169.7031351879358,1243.67,Continuing
25,21,725.7933279,525.1917113735158,165.32585298656306,1243.67,Continuing
26,23,788.8326479,562.6036462116034,161.8068572673768,1243.67,Continuing
27,25,804.11,598.1025684279234,160.71027496790347,1243.67,Continuing
28,26,839.28,626.8425296699605,159.2308958765297,1243.67,Continuing
29,232,824.47,652.8656382357465,158.69715668148422,1243.67,Continuing
30,27,852.33,672.396017348549,156.68591405152867,1243.67,Continuing
31,112,904.29,682.5018087189931,154.86103159952683,1243.67,Continuing
32,220,546.79,700.6633627863234,156.26697545762565,1243.67,Continuing
33,24,800.58,651.4794123058718,180.9799850816153,1243.67,Continuing
34,226,658.86,692.863643784737,167.00172873957692,1243.67,Continuing
35,137,293.93,631.7118433945559,212.73861046509552,1243.67,Continuing
36,110,770.35,677.2536391765873,165.94819459466856,1243.67,Continuing
37,116,452.8,627.136827988295,164.1172207606295,1243.67,Continuing
38,229,731.11,613.0007621595865,164.55757333284012,1243.67,Continuing
39,123,552.26,621.6471181249067,162.67303723710822,1243.67,Continuing
40,126,660.0,617.1076264882773,160.39451271828995,1243.67,Continuing
41,127,1089.12,620.0996147393503,157.7176709378151,1243.67,Continuing
42,231,772.94,646.582189625135,174.3905876885546,1243.67,Continuing
43,182,160.6199195,596.2983928121525,173.09345694197364,1243.67,Continuing
44,117,475.46,553.4945814278203,186.12228360404308,1243.67,Continuing
45,100,433.78,535.3871653245169,187.86988905074372,1243.67,Continuing
46,118,529.11,546.7021618446099,182.0654812035311,1243.67,Continuing
47,75,26.57,7.578588650788128,314.3236584924555,1243.67,Continuing
48,119,535.99,547.6410665108491,178.62280755954237,1243.67,Continuing
49,128,1243.67,546.8398335738157,176.13784117289006,1243.67,Max Conductivity reached
