Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,0,12.77,220.5700000000016,0.0,1243.67,Continuing
2,162,217.94,165.50299999999942,207.79999999999998,1243.67,Continuing
3,170,405.26,207.4084125000007,207.79999999999998,1243.67,Continuing
4,211,382.45,348.47234374999937,187.32,1243.67,Continuing
5,205,248.62,325.23079374999924,187.32,1243.67,Continuing
6,137,293.93,315.23000958333245,392.49,1243.67,Continuing
7,135,281.68,302.2076879166649,392.49,1243.67,Continuing
8,213,406.47,320.40807374999855,187.32,1243.67,Continuing
9,173,2.740952014,309.1421687499993,393.70000000000005,1243.67,Continuing
10,203,226.25,286.011685144628,403.729047986,1243.67,Continuing
11,192,424.1973941,310.82289553020905,188.53000000000003,1243.67,Continuing
12,224,637.46,341.4368892054031,411.4273941,1243.67,Continuing
13,230,738.1,530.6798870982839,416.89,1243.67,Continuing
14,22,766.85,577.7406651843706,725.33,1243.67,Continuing
15,24,800.58,701.9536663378072,472.92,1243.67,Continuing
16,222,602.48,768.3810958333329,129.99266666666665,1243.67,Continuing
17,227,695.67,718.5941150694449,198.10000000000002,1243.67,Continuing
18,100,433.78,710.0434624972945,131.30959999999982,1243.67,Continuing
19,103,562.06,583.508168350532,558.1690999999994,1243.67,Continuing
20,101,484.36,605.260707192814,471.68,1243.67,Continuing
21,16,490.06,575.0242443748015,333.37009999999975,1243.67,Continuing
22,109,750.9,543.0371766592515,304.32000000000005,1243.67,Continuing
23,120,540.19,594.3395903336288,469.21999999999997,1243.67,Continuing
24,204,240.44,596.2216391106034,469.21999999999997,1243.67,Continuing
25,124,554.41,545.3070680301216,754.08,1243.67,Continuing
26,104,580.44,591.3339866847459,472.176,1243.67,Continuing
27,223,636.48,594.6314201260831,333.98049999999995,1243.67,Continuing
28,108,659.36,588.1966544912287,253.74,1243.67,Continuing
29,15,411.82,528.4826089337716,746.0122833333331,1243.67,Continuing
30,106,618.72,585.9330618650754,266.54,1243.67,Continuing
31,122,543.75,555.4383997743323,317.12,1243.67,Continuing
32,105,607.72,541.3786661300335,389.5414583333331,1243.67,Continuing
33,219,545.18,502.14318499999905,738.13,1243.67,Continuing
34,107,625.33,553.7106297619036,448.17866666666583,1243.67,Continuing
35,228,697.4,580.0361699262496,489.48,1243.67,Continuing
36,142,280.38,561.9939357142832,469.21999999999997,1243.67,Continuing
37,139,336.24,577.7729160218234,323.7075,1243.67,Continuing
38,19,634.35,524.523882113094,314.4837499999999,1243.67,Continuing
39,20,688.74,563.4515183333328,144.3964999999999,1243.67,Continuing
40,21,725.7933279,603.197505714285,198.68,1243.67,Continuing
41,23,788.8326479,633.2678114656336,150.97999728333332,1243.67,Continuing
42,25,804.11,661.6436795198955,163.12551021749994,1243.67,Continuing
43,26,839.28,683.2992502108812,160.59839276499997,1243.67,Continuing
44,27,852.33,706.53994366674,148.26059928333325,1243.67,Continuing
45,232,824.47,726.070682951715,134.39747537556548,1243.67,Continuing
46,112,904.29,671.6067348632039,356.7445333517222,1243.67,Continuing
47,220,546.79,818.7521254381517,419.92999999999995,1243.67,Continuing
48,226,658.86,715.2844129566672,357.5,1243.67,Continuing
49,110,770.35,612.6270837719329,347.7950000000001,1243.67,Continuing
50,113,226.22,599.6423166369033,447.475,1243.67,Continuing
51,114,291.41,537.0890363690472,434.11,1243.67,Continuing
52,17,559.01,549.5387851046149,518.23,1243.67,Continuing
53,18,617.92,546.5845813824322,309.53000000000003,1243.67,Continuing
54,138,302.25,583.2764508163552,327.32147560499993,1243.67,Continuing
55,125,608.87,474.8919879245451,524.65,1243.67,Continuing
56,169,385.2,483.7729909852488,510.46,1243.67,Continuing
57,136,293.6,462.1350115558902,376.71000000000004,1243.67,Continuing
58,216,696.39,434.85987720131084,802.145,1243.67,Continuing
59,164,220.66,521.213169672969,440.6481269381247,1243.67,Continuing
60,111,838.31,467.9777023809524,531.6736249999997,1243.67,Continuing
61,150,348.88,473.59539999999856,470.52,1243.67,Continuing
62,13,215.37,418.1753107339775,798.2647811487273,1243.67,Continuing
63,182,160.6199195,421.3525837890837,529.9100000000001,1243.67,Continuing
64,115,325.56,422.13128709750015,612.0899999999999,1243.67,Continuing
65,153,47.22,439.24991601078045,399.53075,1243.67,Continuing
66,149,328.45,434.9985949999989,475.78049999999996,1243.67,Continuing
67,116,452.8,396.6839701332158,491.7870952380951,1243.67,Continuing
68,123,552.26,403.48992658446434,345.11899999999997,1243.67,Continuing
69,126,660.0,442.5134224107142,260.84999999999997,1243.67,Continuing
70,127,1089.12,492.37935489087266,268.1206666666667,1243.67,Continuing
71,229,731.11,632.0037574468583,446.84164999999985,1243.67,Continuing
72,231,772.94,650.9403876216843,404.96659999999997,1243.67,Continuing
73,98,233.89,379.23038535714494,551.2904166666664,1243.67,Continuing
74,186,318.1919743,394.9383849999985,304.73999999999995,1243.67,Continuing
75,179,135.2652427,368.8889284682843,535.7700805,1243.67,Continuing
76,146,312.65,347.60513432088055,562.1347573,1243.67,Continuing
77,190,390.2707837,353.5594646263336,535.7700805,1243.67,Continuing
78,171,419.51,351.3152786542225,561.1247573,1243.67,Continuing
79,184,200.7545831,346.6918605807492,561.1247573,1243.67,Continuing
80,166,249.23,342.75104745399983,561.1247573,1243.67,Continuing
81,12,179.53,335.7504833177395,575.6949999999999,1243.67,Continuing
82,191,398.5758253,369.9798835189168,205.3807274333333,1243.67,Continuing
83,102,545.78,342.9106447954471,570.6999999999999,1243.67,Continuing
84,147,326.54,338.2562077799389,683.62,1243.67,Continuing
85,202,214.93,342.7970007215003,455.95,1243.67,Continuing
86,187,322.6997586,329.150851183666,424.57541690000005,1243.67,Continuing
87,185,311.2965408,343.8586226524162,204.57999999999998,1243.67,Continuing
