Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,0,12.77,475.4599999999994,0.0,1243.67,Continuing
2,118,529.11,367.88457500000135,462.69,1243.67,Continuing
3,109,750.9,441.46995416666573,516.34,1243.67,Continuing
4,154,63.81,631.67727708333,738.13,1243.67,Continuing
5,137,293.93,483.08697291666505,738.13,1243.67,Continuing
6,219,545.18,491.6610729166642,738.13,1243.67,Continuing
7,100,433.78,528.1422166666634,738.13,1243.67,Continuing
8,113,226.22,445.5627291666649,738.13,1243.67,Continuing
9,187,322.6997586,396.4229261904743,738.13,1243.67,Continuing
10,84,7.08,377.4498300429978,738.13,1243.67,Continuing
11,192,424.1973941,507.737373387973,743.8199999999999,1243.67,Continuing
12,159,180.26,535.9168049815813,687.0899999999999,1243.67,Continuing
13,136,293.6,297.18022768108216,743.8199999999999,1243.67,Continuing
14,131,207.38,310.9868077691664,687.0899999999999,1243.67,Continuing
15,188,339.0080085,498.2398798197477,570.64,1243.67,Continuing
16,190,390.2707837,388.2487791320585,570.64,1243.67,Continuing
17,214,451.64,379.51973285991704,570.64,1243.67,Continuing
18,164,220.66,394.49014228641647,570.64,1243.67,Continuing
19,125,608.87,352.72169221433364,570.64,1243.67,Continuing
20,103,562.06,500.51381321783185,530.24,1243.67,Continuing
21,105,607.72,545.5491033545816,524.68,1243.67,Continuing
22,111,838.31,490.8282767669744,524.68,1243.67,Continuing
23,13,215.37,185.09986644275028,831.2299999999999,1243.67,Continuing
24,122,543.75,520.9628209765574,612.0899999999999,1243.67,Continuing
25,216,696.39,472.15276446058357,617.65,1243.67,Continuing
26,22,766.85,448.10111068949993,617.65,1243.67,Continuing
27,24,800.58,668.2646125000024,612.0899999999999,1243.67,Continuing
28,17,559.01,258.58056241316734,738.9274999999993,1243.67,Continuing
29,16,490.06,655.6610994258326,612.0899999999999,1243.67,Continuing
30,112,904.29,540.0699861274153,612.0899999999999,1243.67,Continuing
31,110,770.35,459.2001449592492,678.0699999999999,1243.67,Continuing
32,139,336.24,560.1016408333336,612.0899999999999,1243.67,Continuing
33,4,16.94,127.9561999465826,683.62,1243.67,Continuing
34,101,484.36,562.1086265953453,563.1166666666667,1243.67,Continuing
35,104,580.44,500.0561498070477,557.4333333333334,1243.67,Continuing
36,106,618.72,487.8202510129147,544.13,1243.67,Continuing
37,115,325.56,439.8445233861306,544.13,1243.67,Continuing
38,138,302.25,382.4299351217508,545.06,1243.67,Continuing
39,184,200.7545831,416.17006460806,516.13,1243.67,Continuing
40,179,135.2652427,453.4923208598329,543.8512708449999,1243.67,Continuing
41,140,259.11,416.43714790358297,615.6347573,1243.67,Continuing
42,228,697.4,468.39278664899956,615.6347573,1243.67,Continuing
43,141,279.69,379.31750225589195,615.6347573,1243.67,Continuing
44,54,17.89,168.18404355975053,689.31,1243.67,Continuing
45,171,419.51,412.8289361485835,562.1347573,1243.67,Continuing
46,207,289.72,348.76140615225,615.6347573,1243.67,Continuing
47,150,348.88,489.07949449849787,558.6199999999999,1243.67,Continuing
