Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,0,12.77,86.00999,7.6293945e-06,1243.67,Continuing
2,5,24.01,64.03749,33.56245,1243.67,Continuing
3,39,18.25,68.920235,30.976387,1243.67,Continuing
4,203,226.25,66.47399,29.913664,1243.67,Continuing
5,205,248.62,155.27205,84.05096,1243.67,Continuing
6,206,268.25,223.78188,56.472763,1243.67,Continuing
7,8,37.09,242.94586,35.54936,1243.67,Continuing
8,191,398.5758253,236.64581,53.96799,1243.67,Continuing
9,192,424.1973941,330.2065,93.983055,1243.67,Continuing
10,135,281.68,365.01382,79.94167,1243.67,Continuing
11,223,636.48,346.3281,67.646255,1243.67,Continuing
12,224,637.46,511.8857,141.55101,1243.67,Continuing
13,230,738.1,605.3022,98.5648,1243.67,Continuing
14,110,770.35,639.03864,88.56712,1243.67,Continuing
15,112,904.29,732.27594,61.59465,1243.67,Continuing
16,220,546.79,862.9219,63.429104,1243.67,Continuing
17,16,490.06,749.3914,84.4161,1243.67,Continuing
18,226,658.86,711.37164,131.5229,1243.67,Continuing
19,182,160.6199195,680.15125,103.939705,1243.67,Continuing
20,19,634.35,557.0955,118.88298,1243.67,Continuing
21,20,688.74,567.40656,70.1499,1243.67,Continuing
22,21,725.7933279,609.9105,54.589317,1243.67,Continuing
23,23,788.8326479,639.0081,49.56178,1243.67,Continuing
24,25,804.11,663.91187,38.88661,1243.67,Continuing
25,26,839.28,684.09265,41.745945,1243.67,Continuing
26,27,852.33,705.56287,36.640285,1243.67,Continuing
27,232,824.47,724.31036,38.22379,1243.67,Continuing
28,122,543.75,470.07214,206.07317,1243.67,Continuing
29,114,291.41,532.2463,170.38426,1243.67,Continuing
30,106,618.72,442.62537,150.46231,1243.67,Continuing
31,101,484.36,493.15768,162.50452,1243.67,Continuing
32,100,433.78,531.0213,102.77822,1243.67,Continuing
33,113,226.22,528.4356,88.70573,1243.67,Continuing
34,104,580.44,498.20584,80.88051,1243.67,Continuing
35,108,659.36,541.923,77.64237,1243.67,Continuing
36,22,766.85,516.9066,95.903305,1243.67,Continuing
37,24,800.58,687.5453,135.51431,1243.67,Continuing
38,222,602.48,763.84753,66.55157,1243.67,Continuing
39,227,695.67,713.7674,60.7417,1243.67,Continuing
40,124,554.41,465.98416,107.14813,1243.67,Continuing
41,17,559.01,464.0633,197.4877,1243.67,Continuing
42,18,617.92,531.4357,101.02829,1243.67,Continuing
43,138,302.25,455.2988,147.64813,1243.67,Continuing
44,103,562.06,424.25137,105.87787,1243.67,Continuing
45,105,607.72,510.05713,92.067986,1243.67,Continuing
46,228,697.4,458.79474,137.12917,1243.67,Continuing
47,107,625.33,534.4196,123.05724,1243.67,Continuing
48,164,220.66,468.94217,157.00346,1243.67,Continuing
49,115,325.56,469.23734,125.57218,1243.67,Continuing
50,109,750.9,484.32736,103.8178,1243.67,Continuing
51,120,540.19,583.2176,99.02041,1243.67,Continuing
52,139,336.24,470.62924,133.7165,1243.67,Continuing
53,125,608.87,440.1428,127.822754,1243.67,Continuing
54,136,293.6,413.75092,107.28341,1243.67,Continuing
55,169,385.2,417.01917,62.51376,1243.67,Continuing
56,116,452.8,379.80176,130.15231,1243.67,Continuing
57,171,419.51,397.0801,93.82635,1243.67,Continuing
58,123,552.26,397.71823,94.6841,1243.67,Continuing
59,126,660.0,427.01834,85.31043,1243.67,Continuing
60,127,1089.12,487.3223,91.607506,1243.67,Continuing
61,229,731.11,605.7987,156.33755,1243.67,Continuing
62,231,772.94,636.9769,125.086525,1243.67,Continuing
63,150,348.88,392.3963,50.75372,1243.67,Continuing
64,196,191.45,380.8209,39.916912,1243.67,Continuing
65,213,406.47,397.14368,95.5461,1243.67,Continuing
66,102,545.78,359.24493,101.31442,1243.67,Continuing
67,185,311.2965408,357.48672,49.226284,1243.67,Continuing
68,111,838.31,354.6456,83.170494,1243.67,Continuing
69,179,135.2652427,377.12698,69.1277,1243.67,Continuing
70,151,36.88,396.40753,193.19911,1243.67,Continuing
71,216,696.39,340.06287,110.74461,1243.67,Continuing
72,146,312.65,424.12317,94.75666,1243.67,Continuing
73,219,545.18,350.28537,55.17755,1243.67,Continuing
74,142,280.38,424.642,81.842674,1243.67,Continuing
75,190,390.2707837,361.93927,67.441666,1243.67,Continuing
76,186,318.1919743,350.57205,73.83984,1243.67,Continuing
77,145,291.83,352.90204,90.97193,1243.67,Continuing
78,214,451.64,343.12982,58.235844,1243.67,Continuing
79,215,457.13,387.76785,71.770546,1243.67,Continuing
80,149,328.45,358.91467,60.02996,1243.67,Continuing
81,187,322.6997586,356.01395,57.43579,1243.67,Continuing
82,202,214.93,350.24857,47.93112,1243.67,Continuing
83,140,259.11,337.35602,37.01401,1243.67,Continuing
84,189,345.3800939,333.49216,41.471188,1243.67,Continuing
85,166,249.23,319.8956,62.471092,1243.67,Continuing
86,162,217.94,325.6685,54.294975,1243.67,Continuing
87,161,214.21,309.84485,62.871628,1243.67,Continuing
88,13,215.37,285.6815,250.01263,1243.67,Continuing
89,155,92.38,300.44836,74.32075,1243.67,Continuing
90,148,328.21,298.655,50.68828,1243.67,Continuing
91,204,240.44,290.8272,36.47283,1243.67,Continuing
92,11,140.7,283.9586,196.876,1243.67,Continuing
93,211,382.45,281.4443,78.40971,1243.67,Continuing
94,184,200.7545831,295.83096,55.636185,1243.67,Continuing
95,170,405.26,298.36667,54.560654,1243.67,Continuing
96,167,250.28,262.85452,35.800648,1243.67,Continuing
97,163,220.57,262.3825,66.51454,1243.67,Continuing
98,188,339.0080085,258.34662,29.120506,1243.67,Continuing
99,137,293.93,264.05896,45.06859,1243.67,Continuing
100,178,111.8949727,258.6583,43.924843,1243.67,Continuing
101,212,395.74,257.96332,41.2038,1243.67,Continuing
102,141,279.69,246.54073,77.95208,1243.67,Continuing
103,144,286.73,265.33893,44.69877,1243.67,Continuing
104,172,542.3,238.95148,51.761562,1243.67,Continuing
105,180,151.3841761,283.51108,66.562004,1243.67,Continuing
106,207,289.72,247.62056,70.97634,1243.67,Continuing
107,153,47.22,225.53236,185.2359,1243.67,Continuing
108,159,180.26,237.50333,89.63419,1243.67,Continuing
109,147,326.54,228.4041,72.41228,1243.67,Continuing
110,134,278.51,223.54776,49.953117,1243.67,Continuing
111,117,475.46,224.83029,81.19028,1243.67,Continuing
112,118,529.11,350.22943,133.48944,1243.67,Continuing
113,119,535.99,439.36395,123.49844,1243.67,Continuing
