Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity in Dataset,Stopping Reason
1,0,12.77,220.56993,3.0517578e-05,1243.67,Continuing
2,2,14.78,144.3763,100.13736,1243.67,Continuing
3,34,8.39,144.84518,99.52265,1243.67,Continuing
4,170,405.26,151.18987,98.12454,1243.67,Continuing
5,22,766.85,226.86266,175.514,1243.67,Continuing
6,12,179.53,408.1747,273.26978,1243.67,Continuing
7,113,226.22,535.6357,247.41335,1243.67,Continuing
8,124,554.41,560.1397,239.36897,1243.67,Continuing
9,24,800.58,643.60376,212.78224,1243.67,Continuing
10,11,140.7,306.1512,285.62524,1243.67,Continuing
11,122,543.75,394.15012,253.22365,1243.67,Continuing
12,100,433.78,484.14252,194.24129,1243.67,Continuing
13,16,490.06,509.836,173.17831,1243.67,Continuing
14,104,580.44,590.47815,155.54918,1243.67,Continuing
15,139,336.24,358.72617,185.06743,1243.67,Continuing
16,222,602.48,757.7747,91.26536,1243.67,Continuing
17,192,424.1973941,441.5198,143.1319,1243.67,Continuing
18,227,695.67,692.8617,79.01116,1243.67,Continuing
19,19,634.35,522.0821,73.652336,1243.67,Continuing
20,9,45.53,219.7729,150.68643,1243.67,Continuing
21,108,659.36,567.3346,66.72795,1243.67,Continuing
22,101,484.36,378.90363,122.52342,1243.67,Continuing
23,112,904.29,516.5576,77.58696,1243.67,Continuing
24,220,546.79,767.5862,182.06741,1243.67,Continuing
25,226,658.86,702.63776,144.59184,1243.67,Continuing
26,114,291.41,513.31757,94.88108,1243.67,Continuing
27,116,452.8,413.4615,139.09816,1243.67,Continuing
28,164,220.66,525.8443,104.68763,1243.67,Continuing
29,216,696.39,380.36853,126.10054,1243.67,Continuing
30,111,838.31,495.5275,134.45657,1243.67,Continuing
31,146,312.65,543.15015,115.39038,1243.67,Continuing
32,103,562.06,520.4751,113.8172,1243.67,Continuing
33,150,348.88,461.97122,110.15757,1243.67,Continuing
34,179,135.2652427,435.98392,98.425354,1243.67,Continuing
35,169,385.2,408.82617,123.61683,1243.67,Continuing
36,191,398.5758253,319.3275,129.13052,1243.67,Continuing
37,107,625.33,456.47833,93.90686,1243.67,Continuing
38,166,249.23,373.01324,133.7965,1243.67,Continuing
39,125,608.87,443.6769,98.56879,1243.67,Continuing
40,106,618.72,476.10028,84.6078,1243.67,Continuing
41,115,325.56,420.85196,98.841484,1243.67,Continuing
42,20,688.74,562.2052,58.275364,1243.67,Continuing
43,21,725.7933279,604.91235,49.08551,1243.67,Continuing
44,23,788.8326479,624.0081,52.825214,1243.67,Continuing
45,25,804.11,661.3739,43.60035,1243.67,Continuing
46,26,839.28,680.8354,42.340675,1243.67,Continuing
47,27,852.33,702.8985,48.63913,1243.67,Continuing
48,232,824.47,727.37134,49.44125,1243.67,Continuing
49,13,215.37,157.00278,155.22833,1243.67,Continuing
50,109,750.9,486.36804,71.57975,1243.67,Continuing
51,120,540.19,541.7184,91.65051,1243.67,Continuing
52,228,697.4,479.518,88.195335,1243.67,Continuing
53,223,636.48,586.51544,99.96006,1243.67,Continuing
54,224,637.46,636.8369,53.542976,1243.67,Continuing
55,110,770.35,429.6709,91.9537,1243.67,Continuing
56,182,160.6199195,394.667,112.71854,1243.67,Continuing
57,205,248.62,218.2164,170.44955,1243.67,Continuing
58,230,738.1,634.4127,28.693104,1243.67,Continuing
59,171,419.51,402.08212,101.82787,1243.67,Continuing
60,178,111.8949727,271.87006,120.40515,1243.67,Continuing
61,134,278.51,249.96873,133.81287,1243.67,Continuing
62,208,297.95,216.66692,135.70824,1243.67,Continuing
63,105,607.72,561.16815,45.98507,1243.67,Continuing
64,210,356.76,277.5298,112.910194,1243.67,Continuing
65,17,559.01,273.8387,125.21758,1243.67,Continuing
66,18,617.92,490.36697,140.60942,1243.67,Continuing
67,136,293.6,448.488,93.482735,1243.67,Continuing
68,153,47.22,351.2162,112.06913,1243.67,Continuing
69,213,406.47,380.54282,103.52402,1243.67,Continuing
70,190,390.2707837,347.63855,107.25444,1243.67,Continuing
71,138,302.25,284.8681,115.62325,1243.67,Continuing
72,221,561.86,177.38258,131.65187,1243.67,Continuing
73,225,654.34,409.12195,219.97893,1243.67,Continuing
74,102,545.78,364.9505,134.4099,1243.67,Continuing
75,121,540.19,310.27258,98.81433,1243.67,Continuing
76,99,374.29,338.51172,117.25121,1243.67,Continuing
77,149,328.45,311.24252,102.558365,1243.67,Continuing
78,187,322.6997586,359.22424,99.91507,1243.67,Continuing
79,161,214.21,352.51523,85.63852,1243.67,Continuing
80,130,203.82,379.87497,81.35456,1243.67,Continuing
81,147,326.54,304.3908,112.61182,1243.67,Continuing
82,137,293.93,279.34003,107.09409,1243.67,Continuing
83,38,12.19,157.10191,120.991264,1243.67,Continuing
84,129,192.74,272.87247,100.12967,1243.67,Continuing
85,204,240.44,372.92966,76.37294,1243.67,Continuing
86,196,191.45,358.568,78.383606,1243.67,Continuing
87,155,92.38,305.12668,88.33498,1243.67,Continuing
88,15,411.82,201.91127,124.20875,1243.67,Continuing
89,151,36.88,280.49707,141.91487,1243.67,Continuing
90,177,83.28491341,211.48537,143.32576,1243.67,Continuing
91,98,233.89,195.13278,119.515625,1243.67,Continuing
92,123,552.26,377.4013,69.164825,1243.67,Continuing
93,126,660.0,424.1786,72.48003,1243.67,Continuing
94,127,1089.12,484.3885,89.25216,1243.67,Continuing
95,229,731.11,600.28503,122.76176,1243.67,Continuing
96,231,772.94,626.8123,103.160995,1243.67,Continuing
97,176,76.51244504,221.67824,102.95337,1243.67,Continuing
98,211,382.45,316.8783,79.79994,1243.67,Continuing
99,158,142.23,159.28954,108.93364,1243.67,Continuing
100,214,451.64,322.07632,71.195915,1243.67,Continuing
101,215,457.13,422.41763,58.695053,1243.67,Continuing
102,212,395.74,309.54755,79.87286,1243.67,Continuing
103,186,318.1919743,318.44928,69.209885,1243.67,Continuing
104,185,311.2965408,355.52637,56.175877,1243.67,Continuing
105,1,13.19,141.51067,110.42017,1243.67,Continuing
106,202,214.93,316.2897,64.29295,1243.67,Continuing
107,184,200.7545831,285.14133,72.11195,1243.67,Continuing
108,197,192.98,253.38974,77.184814,1243.67,Continuing
109,142,280.38,324.48447,50.558266,1243.67,Continuing
110,135,281.68,248.41376,66.33781,1243.67,Continuing
111,183,162.7067112,208.39545,77.17908,1243.67,Continuing
112,218,537.77,141.8777,96.012474,1243.67,Continuing
113,209,325.42,235.64722,102.08614,1243.67,Continuing
114,165,233.43,250.79482,84.3824,1243.67,Continuing
115,198,195.33,168.60184,90.534515,1243.67,Continuing
116,203,226.25,262.71594,67.05704,1243.67,Continuing
117,162,217.94,261.63867,61.241283,1243.67,Continuing
118,167,250.28,281.74872,54.015995,1243.67,Continuing
119,143,283.86,138.84253,91.80049,1243.67,Continuing
120,175,52.47346448,138.51295,95.60916,1243.67,Continuing
121,206,268.25,280.2733,43.87991,1243.67,Continuing
122,7,33.44,138.31477,75.24649,1243.67,Continuing
123,217,271.56,213.68109,67.83704,1243.67,Continuing
124,140,259.11,313.50052,44.562157,1243.67,Continuing
125,219,545.18,323.8418,31.625515,1243.67,Continuing
126,145,291.83,303.3045,59.36999,1243.67,Continuing
127,207,289.72,236.38412,60.38278,1243.67,Continuing
128,148,328.21,289.38058,40.84884,1243.67,Continuing
129,10,45.97,97.230804,100.30685,1243.67,Continuing
130,156,116.5,261.67712,49.866028,1243.67,Continuing
131,157,118.34,174.05147,66.86709,1243.67,Continuing
132,141,279.69,226.44604,52.57106,1243.67,Continuing
133,189,345.3800939,321.0413,29.340294,1243.67,Continuing
134,188,339.0080085,291.47134,36.985653,1243.67,Continuing
135,195,179.12,112.56636,75.52633,1243.67,Continuing
136,193,733.7295218,221.56375,43.08277,1243.67,Continuing
137,194,745.278685,550.1479,242.29654,1243.67,Continuing
138,117,475.46,357.99277,128.33475,1243.67,Continuing
139,118,529.11,417.72513,100.11163,1243.67,Continuing
140,119,535.99,475.6786,75.44299,1243.67,Continuing
141,128,1243.67,519.21063,14.380638,1243.67,Max Conductivity reached
