Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,135,-1375402,-206321.84,1659.1758,-23707,Continuing
2,7,-144556,-123071.67,12819.336,-23707,Continuing
3,8,-351227,-143648.23,4805.9136,-23707,Continuing
4,0,-480185,-163507.14,9518.344,-23707,Continuing
5,3,-239852,-193132.72,2166.375,-23707,Continuing
6,63,-300244,-219105.66,1875.5667,-23707,Continuing
7,92,-261756,-234659.97,1679.5773,-23707,Continuing
8,4,-416657,-248526.86,1317.228,-23707,Continuing
9,65,-349707,-244492.81,5432.138,-23707,Continuing
10,5,-253423,-275204.28,3162.24,-23707,Continuing
11,70,-286563,-262335.25,2397.237,-23707,Continuing
12,6,-273687,-268182.12,2162.5364,-23707,Continuing
13,93,-211852,-270191.03,1855.1102,-23707,Continuing
14,38,-224858,-266887.4,2324.0889,-23707,Continuing
15,43,-228347,-269101.6,2177.6946,-23707,Continuing
16,49,-234879,-227702.2,2067.285,-23707,Continuing
17,45,-481313,-244876.58,2145.5332,-23707,Continuing
18,77,-476197,-275152.38,1634.3899,-23707,Continuing
19,69,-252077,-304305.34,2762.9226,-23707,Continuing
20,47,-416405,-282628.62,2892.5576,-23707,Continuing
21,33,-132665,-324790.94,4121.8994,-23707,Continuing
22,89,-120257,-207393.36,9387.685,-23707,Continuing
23,32,-207474,-194051.25,11329.823,-23707,Continuing
24,68,-180293,-213774.3,9138.544,-23707,Continuing
25,110,-794499,-230376.11,14791.188,-23707,Continuing
26,90,-318600,-337764.25,1270.8346,-23707,Continuing
27,34,-287734,-326831.6,1691.9272,-23707,Continuing
28,35,-302631,-288890.12,1732.2689,-23707,Continuing
29,91,-225170,-309161.6,1286.2769,-23707,Continuing
30,64,-269180,-275074.8,1686.2582,-23707,Continuing
31,42,-482218,-358492.94,8907.241,-23707,Continuing
32,30,-209698,-376401.38,4515.2427,-23707,Continuing
33,31,-316345,-210725.56,4058.7434,-23707,Continuing
34,88,-132641,-333995.84,5234.5874,-23707,Continuing
35,40,-343647,-222047.3,5211.771,-23707,Continuing
36,62,-40621,-347229.88,1810.9242,-23707,Continuing
37,96,-383479,-279243.72,8737.728,-23707,Continuing
38,50,-199330,-333439.53,11897.295,-23707,Continuing
39,79,-548909,-193572.8,23955.363,-23707,Continuing
40,51,-293210,-292467.53,23331.164,-23707,Continuing
41,52,-456484,-281533.03,18314.07,-23707,Continuing
42,48,-404845,-391095.62,14067.1,-23707,Continuing
43,13,-714735,-414088.97,29491.816,-23707,Continuing
44,36,-190636,-424071.47,2381.3562,-23707,Continuing
45,61,-449878,-307819.56,2492.112,-23707,Continuing
46,37,-342685,-346028.72,1981.4518,-23707,Continuing
47,95,-163985,-372112.3,2205.4043,-23707,Continuing
48,2,-144074,-332852.9,2075.7493,-23707,Continuing
49,87,-183180,-294692.06,2382.8105,-23707,Continuing
50,73,-96638,-249975.86,3197.914,-23707,Continuing
51,100,-175885,-132711.05,6803.8354,-23707,Continuing
52,120,-91655,-161711.4,3722.2551,-23707,Continuing
53,121,-107908,-136644.28,3401.8337,-23707,Continuing
54,122,-168856,-130511.51,3795.2705,-23707,Continuing
55,123,-292981,-128836.4,3894.0723,-23707,Continuing
56,59,-123157,-190883.2,4125.8784,-23707,Continuing
57,60,-38893,-150177.56,3838.6282,-23707,Continuing
58,86,-91681,-131915.05,4671.899,-23707,Continuing
59,58,-221696,-131632.47,5697.112,-23707,Continuing
60,74,-140574,-171613.05,8588.719,-23707,Continuing
61,124,-55524,-181112.12,18990.379,-23707,Continuing
62,75,-59256,-83257.75,11461.115,-23707,Continuing
63,125,-88158,-69696.336,7512.004,-23707,Continuing
64,126,-93928,-73785.266,6466.7173,-23707,Continuing
65,23,-1281399,-63104.07,7908.786,-23707,Continuing
66,127,-184086,-80266.234,7836.143,-23707,Continuing
67,76,-272660,-127739.42,12952.061,-23707,Continuing
68,101,-239057,-148764.03,7817.2446,-23707,Continuing
69,102,-129483,-176852.22,7100.767,-23707,Continuing
70,103,-145224,-187242.17,9028.479,-23707,Continuing
71,98,-147202,-189610.2,4894.1167,-23707,Continuing
72,85,-27122,-179020.94,5385.181,-23707,Continuing
73,67,-227835,-174605.92,5298.824,-23707,Continuing
74,28,-57484,-198042.2,5125.9326,-23707,Continuing
75,29,-286689,-143352.14,3341.4966,-23707,Continuing
76,116,-26197,-183826.44,3996.5222,-23707,Continuing
77,117,-38370,-133980.53,2930.384,-23707,Continuing
78,118,-107494,-124369.695,3019.5186,-23707,Continuing
79,119,-119938,-100745.15,2872.8333,-23707,Continuing
80,66,-284939,-144678.9,4521.8765,-23707,Continuing
81,71,-87667,-189893.66,4281.033,-23707,Continuing
82,39,-98773,-181326.08,4153.642,-23707,Continuing
83,72,-339668,-236482.23,4418.967,-23707,Continuing
84,78,-127394,-236118.27,5355.8057,-23707,Continuing
85,104,-208028,-179739.88,2959.29,-23707,Continuing
86,105,-141683,-246249.56,10507.791,-23707,Continuing
87,128,-258154,-209651.64,23794.604,-23707,Continuing
88,84,-24723,-219529.62,5162.2905,-23707,Continuing
89,112,-23707,-170686.53,5034.5483,-23707,Max -Instability index reached
