Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480.185,-3.5369451296037354e-148,57.48400087609373,-23.707,Continuing
2,7,-144.556,-102.65981019524958,326.1935446631342,-23.707,Continuing
3,8,-351.227,-0.0004472106407401277,291.4207319046887,-23.707,Continuing
4,3,-239.852,-5.117729001609287e-72,315.8056321906451,-23.707,Continuing
5,5,-253.423,-2.364725370683931e-47,299.46558916731027,-23.707,Continuing
6,2,-144.074,-1.7580597559273448e-65,291.23234935798826,-23.707,Continuing
7,65,-349.707,-226.53020365320947,151.86315375674982,-23.707,Continuing
8,1,-505.657,-243.1841530851849,145.70223150487757,-23.707,Continuing
9,42,-482.218,-271.30196698543585,161.99457152188145,-23.707,Continuing
10,26,-1267.615,-292.32340532697754,166.47702491472313,-23.707,Continuing
11,38,-224.858,-303.98280033793196,234.0679329193457,-23.707,Continuing
12,93,-211.852,-291.6905488605953,205.05262966413437,-23.707,Continuing
13,6,-273.687,-277.621369957249,183.85745980259853,-23.707,Continuing
14,92,-261.756,-273.0743145230814,166.41293371486353,-23.707,Continuing
15,34,-287.734,-264.8978389182038,152.50657487422976,-23.707,Continuing
16,91,-225.17,-263.34184501108075,143.01431631557188,-23.707,Continuing
17,17,-1103.45,-38.25744121694409,325.73593206487914,-23.707,Continuing
18,64,-269.18,-246.5604790197607,127.2174214965516,-23.707,Continuing
19,90,-318.6,-246.97136106345363,121.47344290937508,-23.707,Continuing
20,35,-302.631,-256.39309215531944,118.16223477070749,-23.707,Continuing
21,4,-416.657,-260.42526668241476,115.580247445273,-23.707,Continuing
22,63,-300.244,-286.5052997404855,121.22523439487806,-23.707,Continuing
23,60,-38.893,-121.17557521303343,91.72630165927009,-23.707,Continuing
24,21,-1167.261,-159.4782453043722,321.6529645900028,-23.707,Continuing
25,33,-132.665,-258.43372415747126,124.58159370916056,-23.707,Continuing
26,89,-120.257,-244.01911342318886,122.49364711204478,-23.707,Continuing
27,32,-207.474,-229.55852802031905,120.25071655250458,-23.707,Continuing
28,30,-209.698,-225.76511363148802,116.3836343625445,-23.707,Continuing
29,31,-316.345,-222.48112892407653,112.70358130232428,-23.707,Continuing
30,88,-132.641,-232.67505094786702,112.93394154054263,-23.707,Continuing
31,62,-40.621,-224.3256222220848,111.07708934267275,-23.707,Continuing
32,61,-449.878,-215.39419120816456,113.62202159821543,-23.707,Continuing
33,87,-183.18,-241.37891193363112,123.12614938406406,-23.707,Continuing
34,59,-123.157,-242.23019723969082,121.19254588231233,-23.707,Continuing
35,86,-91.681,-237.20227583971337,120.96243667386905,-23.707,Continuing
36,58,-221.696,-228.28000420533317,121.77603745392634,-23.707,Continuing
37,85,-27.122,-229.7626007621693,119.54511848971728,-23.707,Continuing
38,29,-286.689,-218.85058439692693,123.79416034434041,-23.707,Continuing
39,37,-342.685,-225.52073099511426,120.60797570343755,-23.707,Continuing
40,36,-190.636,-232.04319606951958,121.01809384480754,-23.707,Continuing
41,96,-383.479,-229.64394932285086,119.02158765007508,-23.707,Continuing
42,84,-24.723,-236.14661091950074,123.23994079318507,-23.707,Continuing
43,112,-23.707,-219.37705171829384,126.86325822497548,-23.707,Max -Instability index reached
