Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,7,-144.556,-0.00010044284980615291,701.139979527776,-23.707,Continuing
2,26,-1267.615,-238.00362654205463,446.1418022201359,-23.707,Continuing
3,0,-480.185,-282.45515563783994,712.8017732509862,-23.707,Continuing
4,8,-351.227,-381.81172548922007,566.0122554781852,-23.707,Continuing
5,1,-505.657,-416.6676133759706,485.7801882085744,-23.707,Continuing
6,65,-349.707,-454.0888431467176,425.20270003279086,-23.707,Continuing
7,38,-224.858,-454.0694923908639,391.3778340932506,-23.707,Continuing
8,42,-482.218,-433.58438798849284,376.8744926024785,-23.707,Continuing
9,93,-211.852,-368.05878132132784,130.67110652004217,-23.707,Continuing
10,5,-253.423,-340.1422206765153,130.24730653498708,-23.707,Continuing
11,6,-273.687,-318.58312409403334,116.77235884282892,-23.707,Continuing
12,92,-261.756,-315.42429429472577,105.30161480336939,-23.707,Continuing
13,34,-287.734,-305.63112938858114,95.62559622845946,-23.707,Continuing
14,35,-302.631,-295.89649593809895,86.49496436453305,-23.707,Continuing
15,91,-225.17,-302.10346776673657,81.32670588280541,-23.707,Continuing
16,64,-269.18,-288.87916737974115,77.80963774861236,-23.707,Continuing
17,70,-286.563,-278.96867221187085,70.90947795914394,-23.707,Continuing
18,90,-318.6,-291.2930800507497,70.30652608635222,-23.707,Continuing
19,3,-239.852,-302.4332433374584,68.12341667573169,-23.707,Continuing
20,4,-416.657,-292.6066801006041,66.39283873269359,-23.707,Continuing
21,63,-300.244,-329.9742438086405,73.21696298672481,-23.707,Continuing
22,97,-206.695,-332.1190817953152,70.19583571784041,-23.707,Continuing
23,33,-132.665,-323.2691394640474,74.45593223148067,-23.707,Continuing
24,89,-120.257,-304.93429488747506,84.15455510943454,-23.707,Continuing
25,32,-207.474,-287.74486940503175,91.0984491279249,-23.707,Continuing
26,69,-252.077,-279.96601055296287,88.79545028279253,-23.707,Continuing
27,30,-209.698,-279.43757473505684,87.0171141496375,-23.707,Continuing
28,31,-316.345,-271.1316035121715,85.2200534250292,-23.707,Continuing
29,88,-132.641,-278.5854305616449,84.05257610991228,-23.707,Continuing
30,62,-40.621,-270.2171015451154,86.6715681770317,-23.707,Continuing
31,68,-180.293,-250.87269264313818,94.83012764479484,-23.707,Continuing
32,96,-383.479,-250.34831153904133,92.8729791429372,-23.707,Continuing
33,61,-449.878,-273.9636197223176,97.67859009856546,-23.707,Continuing
34,36,-190.636,-287.08051254538304,101.51677379931598,-23.707,Continuing
35,37,-342.685,-280.6680783576712,100.88447517995135,-23.707,Continuing
36,40,-343.647,-284.8418319167322,99.49633011970948,-23.707,Continuing
37,2,-144.074,-293.4501971899899,99.60230837362926,-23.707,Continuing
38,87,-183.18,-283.4047863377227,101.68107328108113,-23.707,Continuing
39,60,-38.893,-282.6746265267393,101.88516883858628,-23.707,Continuing
40,59,-123.157,-268.6251933116191,109.8679878045776,-23.707,Continuing
41,86,-91.681,-262.9634252401661,111.68662034858934,-23.707,Continuing
42,58,-221.696,-252.71366637022857,114.42193215320978,-23.707,Continuing
43,85,-27.122,-252.12409108125257,113.01615116961902,-23.707,Continuing
44,56,-133.495,-244.4496009946506,120.65194492520841,-23.707,Continuing
45,57,-237.318,-231.43704919949414,120.01209090716554,-23.707,Continuing
46,84,-24.723,-230.69127441383762,117.30842112977433,-23.707,Continuing
47,112,-23.707,-216.89639889775435,120.4683424527432,-23.707,Max -Instability index reached
