Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480185,-701140.0,0.0,-23707,Continuing
2,1,-505657,-529347.4875,220955.0,-23707,Continuing
3,9,-914156,-543871.4691666667,220955.0,-23707,Continuing
4,56,-133495,-514493.17833333346,231605.79999999935,-23707,Continuing
5,28,-57484,-286995.23966666666,780661.0,-23707,Continuing
6,58,-221696,-199245.49283333335,856672.0,-23707,Continuing
7,75,-59256,-218893.25216666664,856672.0,-23707,Continuing
8,103,-145224,-147858.19616666666,856672.0,-23707,Continuing
9,128,-258154,-230065.10583333336,854900.0,-23707,Continuing
10,74,-140574,-224750.82,856672.0,-23707,Continuing
11,102,-129483,-272225.645,856672.0,-23707,Continuing
12,105,-141683,-217417.2825,854900.0,-23707,Continuing
13,2,-144074,-222119.2875,643656.0,-23707,Continuing
14,41,-370439,-218900.04,571657.0,-23707,Continuing
15,71,-87667,-86569.0875,164212.0,-23707,Continuing
16,29,-286689,-85485.615,164212.0,-23707,Continuing
17,39,-98773,-108872.36937499998,229205.0,-23707,Continuing
18,36,-190636,-287116.063125,571657.0,-23707,Continuing
19,62,-40621,-255983.42625,557066.0,-23707,Continuing
20,96,-383479,-126623.1725,329818.0,-23707,Continuing
21,37,-342685,-170702.535,342858.0,-23707,Continuing
22,124,-55524,-91568.056875,162440.0,-23707,Continuing
23,99,-192477,-106671.20491666667,202630.0,-23707,Continuing
24,61,-449878,-170960.53925,302064.0,-23707,Continuing
25,3,-239852,-336042.29225,660519.0,-23707,Continuing
26,5,-253423,-310914.596,660519.0,-23707,Continuing
27,59,-123157,-197149.42383333333,392128.76,-23707,Continuing
28,60,-38893,-156233.98854166665,326721.0,-23707,Continuing
29,100,-175885,-166091.174375,410985.0,-23707,Continuing
30,87,-183180,-212459.48,410985.0,-23707,Continuing
31,84,-24723,-121888.97166666664,229205.0,-23707,Continuing
32,112,-23707,-63800.03091666667,186134.76666666663,-23707,Max -Instability index reached
