Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480185,-374938.0,0.0,-23707,Continuing
2,13,-714735,-402039.1025,105247.0,-23707,Continuing
3,43,-228347,-443491.3075,339797.0,-23707,Continuing
4,79,-548909,-336308.1925,486388.0,-23707,Continuing
5,93,-211852,-394053.01,486388.0,-23707,Continuing
6,5,-253423,-294149.4125,502883.0,-23707,Continuing
7,15,-102012,-366781.18,502883.0,-23707,Continuing
8,81,-489801,-443708.4825,612723.0,-23707,Continuing
9,80,-438903,-507727.435,612723.0,-23707,Continuing
10,77,-476197,-514983.625,502883.0,-23707,Continuing
11,16,-128971,-192794.7975,387789.0,-23707,Continuing
12,54,-376516,-238457.4466071428,272926.0,-23707,Continuing
13,26,-1267615,-547372.8369821429,586213.3166666663,-23707,Continuing
14,17,-1103450,-668817.8216250001,828712.0,-23707,Continuing
15,21,-1167261,-890132.4474404762,791418.0,-23707,Continuing
16,22,-1182236,-1073033.7045238095,777814.0,-23707,Continuing
17,109,-452558,-840133.6147916667,791418.0,-23707,Continuing
18,111,-375241,-697788.7708333335,725934.25,-23707,Continuing
19,110,-794499,-521457.60354166664,792020.0,-23707,Continuing
20,82,-252642,-471451.8975,419258.0,-23707,Continuing
21,108,-719564,-348942.1125,541857.0,-23707,Continuing
22,19,-446747,-1083442.3979166665,815057.0,-23707,Continuing
23,1,-505657,-501297.65,850808.0,-23707,Continuing
24,20,-533060,-696344.011875,735489.0,-23707,Continuing
25,9,-914156,-559925.9383333334,728209.0,-23707,Continuing
26,23,-1281399,-787669.013955357,820868.0,-23707,Continuing
27,18,-1155542,-951899.8951249999,834652.0,-23707,Continuing
28,25,-876981,-996553.3705,834652.0,-23707,Continuing
29,61,-449878,-482359.7016130952,661514.0,-23707,Continuing
30,11,-284710,-554813.509375,661514.0,-23707,Continuing
31,105,-141683,-458759.7133630953,629446.0,-23707,Continuing
32,102,-129483,-370302.57279166667,772473.0,-23707,Continuing
33,101,-239057,-255318.75016666672,784673.0,-23707,Continuing
34,76,-272660,-299507.1685,784673.0,-23707,Continuing
35,128,-258154,-382828.96883333335,784673.0,-23707,Continuing
36,129,-316310,-312502.90883333335,772473.0,-23707,Continuing
37,24,-1300295,-1176274.8804107145,791495.5,-23707,Continuing
38,41,-370439,-363411.9825,590081.0,-23707,Continuing
39,10,-981850,-675592.0845416668,773082.9999999994,-23707,Continuing
40,47,-416405,-382812.6891666667,577881.0,-23707,Continuing
41,14,-925193,-611332.5033750001,594750.3333333334,-23707,Continuing
42,12,-602576,-375857.44924999995,661514.0,-23707,Continuing
43,70,-286563,-432072.14300000004,556374.4083333333,-23707,Continuing
44,107,-701140,-636745.5758333333,541857.0,-23707,Continuing
45,132,-503950,-354431.9056369048,466922.0,-23707,Continuing
46,64,-269180,-402472.4229166667,447717.0,-23707,Continuing
47,49,-234879,-297724.50258333335,360705.5,-23707,Continuing
48,84,-24723,-277632.0291666667,363438.0,-23707,Continuing
49,57,-237318,-175191.65616666668,463952.6666666667,-23707,Continuing
50,28,-57484,-157998.38416666666,425155.0,-23707,Continuing
51,74,-140574,-164623.86916666667,392394.0,-23707,Continuing
52,59,-123157,-212097.19708333333,392394.0,-23707,Continuing
53,44,-299002,-279885.1023333333,353040.0,-23707,Continuing
54,100,-175885,-216714.1175,326721.0,-23707,Continuing
55,60,-38893,-225672.8575,392394.0,-23707,Continuing
56,2,-144074,-310134.6304166667,410985.0,-23707,Continuing
57,87,-183180,-203267.73083333333,410985.0,-23707,Continuing
58,120,-91655,-220927.6771666667,309304.0,-23707,Continuing
59,121,-107908,-141567.8654166666,358223.0,-23707,Continuing
60,36,-190636,-318317.41245833336,358223.0,-23707,Continuing
61,37,-342685,-254286.80774999998,341970.0,-23707,Continuing
62,95,-163985,-333446.42854166665,350177.7649999999,-23707,Continuing
63,104,-208028,-227693.91570833334,313914.6666666667,-23707,Continuing
64,103,-145224,-211840.8408333333,274417.45,-23707,Continuing
65,62,-40621,-270945.9228988095,285893.0,-23707,Continuing
66,90,-318600,-282970.7894583333,435576.0,-23707,Continuing
67,30,-209698,-262367.42,375784.0,-23707,Continuing
68,96,-383479,-220164.55114285718,329818.0,-23707,Continuing
69,31,-316345,-245925.96625,342858.0,-23707,Continuing
70,130,-319618,-308940.71733333333,352048.4666666666,-23707,Continuing
71,75,-59256,-153949.41783333334,247937.0,-23707,Continuing
72,112,-23707,-51906.28,212595.0,-23707,Max -Instability index reached
