Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,143,1216.8,110.23613745086782,1044.4659535929945,2510.3,Continuing
2,64,1661.2,870.2591709021508,227.83827717530232,2510.3,Continuing
3,227,1874.6,314.65862846424875,1037.7493092541592,2510.3,Continuing
4,185,1998.6,426.0819976217929,1035.0986415153138,2510.3,Continuing
5,275,1392.4,530.9165081435606,1032.7958876176506,2510.3,Continuing
6,127,1737.2,584.75686420006,1030.7768704320777,2510.3,Continuing
7,209,1309.8,652.5462695427733,1028.9919466259778,2510.3,Continuing
8,79,1641.2,1249.699553339726,460.2989431659041,2510.3,Continuing
9,203,1688.1,1377.6347403602426,362.1745290959795,2510.3,Continuing
10,260,1599.4,1435.2578177830078,323.91710225542096,2510.3,Continuing
11,247,1036.9,1325.696081596513,231.11070732734575,2510.3,Continuing
12,166,1091.4,1191.6443246314843,258.3272952489548,2510.3,Continuing
13,29,1254.0,1233.567031469172,216.22091012554048,2510.3,Continuing
14,294,1390.4,1216.4225157437602,200.3281310913691,2510.3,Continuing
15,297,1404.2,1232.6649271248348,196.41550542854978,2510.3,Continuing
16,161,1167.2,1235.3737757696922,195.27982317491,2510.3,Continuing
17,116,1010.8,1188.4634817792364,185.3778706419246,2510.3,Continuing
18,109,1437.3,1183.9576959055453,173.68364776124383,2510.3,Continuing
19,310,1390.4,1234.1851254916082,175.27821157948793,2510.3,Continuing
20,125,1272.6,1216.9066933985275,168.56227129090465,2510.3,Continuing
21,253,1414.5,1196.4472103623852,163.8993457974234,2510.3,Continuing
22,60,1340.8,1179.2834157361663,183.83331577265884,2510.3,Continuing
23,221,1506.8,1225.1056210050642,177.07967392109768,2510.3,Continuing
24,243,1194.0,1240.4850382476598,188.22976270908663,2510.3,Continuing
25,230,1475.8,1235.4228841860415,171.14583736962476,2510.3,Continuing
26,163,1383.5,1275.7569332825042,169.7300716812456,2510.3,Continuing
27,22,1267.8,1238.1043705896586,168.16387208720508,2510.3,Continuing
28,277,1172.0,1229.5292282147432,162.00790588907438,2510.3,Continuing
29,51,1462.7,1171.1957397056171,167.9392344626046,2510.3,Continuing
30,66,1157.5,1201.3601120558578,159.70788174547175,2510.3,Continuing
31,168,1258.8,1153.9385918067496,153.89008398236473,2510.3,Continuing
32,70,1087.0,1148.2594827954517,145.16946928457344,2510.3,Continuing
33,28,1230.6,1111.7278619933286,140.34386254904302,2510.3,Continuing
34,85,1175.4,1131.7255291512179,139.58612682188686,2510.3,Continuing
35,271,1061.7,1141.2846289288432,122.23625846828995,2510.3,Continuing
36,218,1169.2,1126.3033576867278,115.04623090099605,2510.3,Continuing
37,238,1188.5,0.27983148664751223,332.7456746903194,2510.3,Continuing
38,160,1309.1,952.489528705536,173.14706862427926,2510.3,Continuing
39,44,1474.4,1061.504436846425,161.21949458432508,2510.3,Continuing
40,15,1136.9,9.551894968782377e-05,333.6540318067586,2510.3,Continuing
41,75,1471.1,898.7898246109789,170.6796148750602,2510.3,Continuing
42,0,1167.2,4.76062854982972e-26,338.98917154922725,2510.3,Continuing
43,205,1730.2,1535.2237847795054,203.63976167919307,2510.3,Continuing
44,280,1730.2,1569.359216409911,156.8001179606266,2510.3,Continuing
45,252,1730.2,1551.8522936306085,144.66024391966445,2510.3,Continuing
46,204,2005.5,1490.1336683277516,171.2674269488647,2510.3,Continuing
47,68,2006.0,1769.1244383426501,149.92597449256073,2510.3,Continuing
48,192,1674.6,1692.384414031586,134.39645830447455,2510.3,Continuing
49,19,1723.2,1657.9483491819879,129.18015742133605,2510.3,Continuing
50,224,1792.2,1647.558230648911,128.19949135063015,2510.3,Continuing
51,284,1348.6,1257.5653203861793,198.0876503041155,2510.3,Continuing
52,272,1555.8,1473.997113716583,128.15179010766124,2510.3,Continuing
53,45,1716.3,1437.8052774589532,129.90766474978193,2510.3,Continuing
54,245,1298.8,1411.8798988591038,138.92527448238292,2510.3,Continuing
55,241,1218.8,1387.898506429066,134.0727512234084,2510.3,Continuing
56,140,1521.3,1323.0498523452734,147.29979463404388,2510.3,Continuing
57,132,1478.4,1330.5083698012813,152.10451192030146,2510.3,Continuing
58,42,1350.3,1401.5440884066184,123.74023600332617,2510.3,Continuing
59,56,1357.9,1388.3147844059022,121.26062782396143,2510.3,Continuing
60,55,1463.0,1184.5696593656728,179.27327590563766,2510.3,Continuing
61,307,1344.0,1413.6109395902927,123.08994038514501,2510.3,Continuing
62,26,1236.6,1005.8902668747694,223.24154823886687,2510.3,Continuing
63,295,1276.7,1277.9319431495774,145.34858953932573,2510.3,Continuing
64,65,1362.9,1308.7812916059638,135.12166336683194,2510.3,Continuing
65,131,1391.2,1401.8025163732077,109.9098662662836,2510.3,Continuing
66,286,1297.5,1397.2195981748555,108.12841599956462,2510.3,Continuing
67,181,1801.8,1226.4860377784223,147.78241994600637,2510.3,Continuing
