Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1688.0999999999874,0.0,2510.3,Continuing
2,296,1681.2,1533.1322499999922,520.8999999999999,2510.3,Continuing
3,21,1860.3,1616.648499999993,520.8999999999999,2510.3,Continuing
4,77,1653.6,1703.2212499999948,693.0999999999999,2510.3,Continuing
5,291,1577.8,1684.2727499999937,693.0999999999999,2510.3,Continuing
6,146,1722.5,1679.4052499999943,693.0999999999999,2510.3,Continuing
7,285,1812.1,1688.9784999999986,693.0999999999999,2510.3,Continuing
8,279,1805.2,1720.8377499999945,282.5,2510.3,Continuing
9,158,1688.1,1745.1239999999948,206.70000000000005,2510.3,Continuing
10,207,1019.0,1673.859499999998,693.0999999999999,2510.3,Continuing
11,246,1564.0,1667.0752499999937,793.0999999999999,2510.3,Continuing
12,266,1667.4,1700.0939999999955,296.29999999999995,2510.3,Continuing
13,119,1736.3,1703.8214999999936,234.29999999999995,2510.3,Continuing
14,46,1798.3,1699.1390000000006,248.0999999999999,2510.3,Continuing
15,188,1681.2,1681.9459999999954,296.29999999999995,2510.3,Continuing
16,193,1784.5,1681.5752499999946,296.29999999999995,2510.3,Continuing
17,156,1550.3,1632.7682499999996,786.2,2510.3,Continuing
18,33,1819.0,1682.876999999992,234.29999999999995,2510.3,Continuing
19,142,1340.1,1696.1202499999927,282.5,2510.3,Continuing
20,150,1846.5,1622.905999999994,444.4000000000001,2510.3,Continuing
21,216,1371.1,1599.919249999999,827.5,2510.3,Continuing
22,228,1240.2,1582.8745000000001,679.3,2510.3,Continuing
23,183,1502.0,1515.699749999999,606.3,2510.3,Continuing
24,8,1683.0,1490.078499999997,828.1899999999994,2510.3,Continuing
25,305,1139.7,1579.4377499999966,653.1749999999986,2510.3,Continuing
26,167,1731.7,1561.539249999999,679.3,2510.3,Continuing
27,169,1250.5,1541.5764999999988,800.0,2510.3,Continuing
28,249,1460.7,1505.4922499999986,491.5,2510.3,Continuing
29,113,1405.6,1490.1482499999993,414.08999999999924,2510.3,Continuing
30,232,1515.8,1464.88525,441.0899999999999,2510.3,Continuing
31,229,1311.4,1492.7649999999994,179.20000000000005,2510.3,Continuing
32,237,1350.4,1466.7714999999982,383.0999999999999,2510.3,Continuing
33,118,1603.3,1398.5057500000005,664.0,2510.3,Continuing
34,210,1580.0,1496.3009999999995,584.3,2510.3,Continuing
35,47,1228.9,1480.6292500000009,436.0999999999999,2510.3,Continuing
36,184,1012.8,1450.2962500000003,648.4000000000001,2510.3,Continuing
37,170,1274.7,1426.3297499999994,339.79999999999995,2510.3,Continuing
38,178,1460.7,1413.3187500000006,561.0,2510.3,Continuing
39,289,1571.2,1395.5637499999984,670.2,2510.3,Continuing
40,76,1669.3,1498.4177499999998,374.39999999999986,2510.3,Continuing
41,240,1267.1,1556.8087499999992,650.3,2510.3,Continuing
42,309,1212.0,1430.7607499999967,664.0,2510.3,Continuing
43,107,1309.1,1447.743999999998,656.5,2510.3,Continuing
44,106,2381.6,1422.1189999999988,668.4000000000001,2510.3,Continuing
45,185,1998.6,1878.6732499999923,1362.6,2510.3,Continuing
46,205,1730.2,1904.7719999999892,1214.3999999999999,2510.3,Continuing
47,280,1730.2,1801.050749999993,1141.3999999999999,2510.3,Continuing
48,6,1605.4,1746.2234999999937,1241.8999999999999,2510.3,Continuing
49,203,1688.1,1752.2339999999956,427.39999999999986,2510.3,Continuing
50,34,1730.2,1679.6407499999914,658.5,2510.3,Continuing
51,298,1040.4,1616.9625,758.3999999999999,2510.3,Continuing
52,273,2402.3,1618.2919999999986,1362.6,2510.3,Continuing
53,71,2501.1,1715.174,1389.5000000000002,2510.3,Continuing
54,99,2411.5,2032.5052500000006,1460.6999999999998,2510.3,Continuing
55,206,2331.1,2078.092999999997,1460.6999999999998,2510.3,Continuing
56,191,2411.5,2246.043249999989,1194.9299999999998,2510.3,Continuing
57,212,2249.6,2239.6902499999937,929.8999999999999,2510.3,Continuing
58,31,2487.3,2256.663249999996,1154.4849999999997,2510.3,Continuing
59,292,2372.4,2177.3734999999947,1226.3999999999999,2510.3,Continuing
60,306,2510.3,2257.833500000005,1032.1149999999998,2510.3,Max Yield Strength reached
