Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1235.9000000000087,0.0,2510.3,Continuing
2,11,1232.0,1218.5532500000083,68.70000000000005,2510.3,Continuing
3,244,1081.1,1231.0190000000032,3.900000000000091,2510.3,Continuing
4,169,1250.5,1205.7732500000066,68.70000000000005,2510.3,Continuing
5,235,1419.4,1215.2890000000036,169.4000000000001,2510.3,Continuing
6,245,1298.8,1351.007500000007,252.20000000000005,2510.3,Continuing
7,44,1474.4,1344.991750000005,252.20000000000005,2510.3,Continuing
8,181,1801.8,1373.6620000000069,307.20000000000005,2510.3,Continuing
9,138,1525.0,1537.6715000000033,634.5999999999999,2510.3,Continuing
10,265,1680.6,1527.4292500000033,634.5999999999999,2510.3,Continuing
11,90,1185.1,1547.7362500000017,565.8999999999999,2510.3,Continuing
12,234,1212.6,1480.804750000002,634.5999999999999,2510.3,Continuing
13,160,1309.1,1372.7334999999994,616.7,2510.3,Continuing
14,65,1362.9,1356.1507499999996,634.5999999999999,2510.3,Continuing
15,26,1236.6,1352.961500000005,513.3999999999999,2510.3,Continuing
16,238,1188.5,1335.4547499999949,339.9000000000001,2510.3,Continuing
17,107,1309.1,1310.7692499999969,513.3999999999999,2510.3,Continuing
18,264,1288.4,1303.896499999993,357.79999999999995,2510.3,Continuing
19,45,1716.3,1293.717749999998,307.20000000000005,2510.3,Continuing
20,206,2331.1,1469.7779999999982,549.0999999999999,2510.3,Continuing
21,71,2501.1,1995.5467499999918,1118.5,2510.3,Continuing
22,273,2402.3,2178.2054999999896,1212.6999999999998,2510.3,Continuing
23,99,2411.5,2182.992249999997,1270.07,2510.3,Continuing
24,212,2249.6,2255.402499999989,1212.6999999999998,2510.3,Continuing
25,191,2411.5,2280.9639999999863,278.1649999999986,2510.3,Continuing
26,31,2487.3,2333.415999999995,784.8,2510.3,Continuing
27,106,2381.6,2282.7982500000007,1212.6999999999998,2510.3,Continuing
28,47,1228.9,2041.139749999999,1406.2000000000003,2510.3,Continuing
29,292,2372.4,2264.360499999994,1212.6999999999998,2510.3,Continuing
30,306,2510.3,2328.7127500000042,771.0000000000002,2510.3,Max Yield Strength reached
