Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1688.1,0.00036621094,2510.3,Continuing
2,15,1136.9,1497.1024,251.01852,2510.3,Continuing
3,29,1254.0,1494.0725,255.13123,2510.3,Continuing
4,33,1819.0,1494.5028,222.43787,2510.3,Continuing
5,142,1340.1,1742.2734,157.61575,2510.3,Continuing
6,46,1798.3,1550.5668,243.4089,2510.3,Continuing
7,266,1667.4,1628.6445,200.61563,2510.3,Continuing
8,193,1784.5,1651.1715,126.29768,2510.3,Continuing
9,291,1577.8,1709.7172,97.55581,2510.3,Continuing
10,279,1805.2,1609.2747,165.2481,2510.3,Continuing
11,246,1564.0,1668.5409,163.50787,2510.3,Continuing
12,296,1681.2,1579.1287,137.80533,2510.3,Continuing
13,119,1736.3,1517.972,164.17827,2510.3,Continuing
14,158,1688.1,1636.1193,151.80307,2510.3,Continuing
15,146,1722.5,1643.7449,110.59004,2510.3,Continuing
16,285,1812.1,1689.5652,69.085304,2510.3,Continuing
17,150,1846.5,1646.5249,117.3113,2510.3,Continuing
18,77,1653.6,1648.8374,130.05951,2510.3,Continuing
19,21,1860.3,1510.4215,162.15263,2510.3,Continuing
20,205,1730.2,1423.7478,120.96094,2510.3,Continuing
21,280,1730.2,1620.2943,148.54292,2510.3,Continuing
22,34,1730.2,1686.3235,126.52845,2510.3,Continuing
23,188,1681.2,1658.2463,113.31985,2510.3,Continuing
24,228,1240.2,1661.5765,109.566536,2510.3,Continuing
25,68,2006.0,1634.2164,87.742355,2510.3,Continuing
26,204,2005.5,1845.8075,185.61899,2510.3,Continuing
27,124,1600.0,1794.0453,146.88231,2510.3,Continuing
28,80,1125.0,1690.8546,93.61579,2510.3,Continuing
29,8,1683.0,1667.6113,78.15064,2510.3,Continuing
30,19,1723.2,1601.7465,185.43416,2510.3,Continuing
31,305,1139.7,1630.3883,81.42911,2510.3,Continuing
32,224,1792.2,1557.3706,211.21764,2510.3,Continuing
33,79,1641.2,1634.0745,181.02766,2510.3,Continuing
34,252,1730.2,1647.2208,131.6298,2510.3,Continuing
35,192,1674.6,1670.6348,119.710655,2510.3,Continuing
36,196,1150.6,1632.358,101.93878,2510.3,Continuing
37,227,1874.6,1689.1659,75.05786,2510.3,Continuing
38,275,1392.4,1756.8951,88.43227,2510.3,Continuing
39,203,1688.1,1675.1237,90.78036,2510.3,Continuing
40,260,1599.4,1657.7848,80.32362,2510.3,Continuing
41,64,1661.2,1632.3848,140.25853,2510.3,Continuing
42,222,1792.1,1571.5386,165.13379,2510.3,Continuing
43,121,1795.5,1704.3738,156.04965,2510.3,Continuing
44,186,1741.8,1715.2816,134.42635,2510.3,Continuing
45,219,1804.2,1725.4856,88.791374,2510.3,Continuing
46,82,1746.6,1740.2966,97.240425,2510.3,Continuing
47,216,1371.1,1708.8392,59.131603,2510.3,Continuing
48,189,1818.0,1687.4426,69.6435,2510.3,Continuing
49,35,1357.3,1677.1246,114.651245,2510.3,Continuing
50,278,1743.5,1681.1632,120.09965,2510.3,Continuing
51,100,1047.3,1678.9786,54.203606,2510.3,Continuing
52,299,1777.6,1661.3303,127.47768,2510.3,Continuing
53,117,1810.0,1646.8938,127.68774,2510.3,Continuing
54,223,1412.5,1600.3457,125.05634,2510.3,Continuing
55,185,1998.6,1564.1986,163.22081,2510.3,Continuing
56,45,1716.3,1571.2377,110.11519,2510.3,Continuing
57,127,1737.2,1551.9382,153.16263,2510.3,Continuing
58,231,1547.3,1482.3712,176.45006,2510.3,Continuing
59,177,1503.4,1521.6172,124.85462,2510.3,Continuing
60,71,2501.1,1486.066,239.28452,2510.3,Continuing
61,262,1309.1,2006.8959,309.29947,2510.3,Continuing
62,206,2331.1,1926.0234,409.6774,2510.3,Continuing
63,99,2411.5,2201.2615,274.92108,2510.3,Continuing
64,273,2402.3,2330.5703,81.671,2510.3,Continuing
65,289,1571.2,2240.4114,124.9703,2510.3,Continuing
66,212,2249.6,2218.987,116.454475,2510.3,Continuing
67,31,2487.3,2172.4717,144.96712,2510.3,Continuing
68,191,2411.5,2243.04,174.3328,2510.3,Continuing
69,73,2381.6,2309.3306,150.67018,2510.3,Continuing
70,292,2372.4,2298.8767,137.82475,2510.3,Continuing
71,106,2381.6,2279.2764,137.62961,2510.3,Continuing
72,306,2510.3,2217.136,165.4786,2510.3,Max Yield Strength reached
