Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1235.8997,0.0,2510.3,Continuing
2,1,1502.0,1208.4193,33.655678,2510.3,Continuing
3,2,1382.2,1426.4591,126.20712,2510.3,Continuing
4,9,1155.0,1442.0359,85.35251,2510.3,Continuing
5,16,1328.3,1443.4772,114.32848,2510.3,Continuing
6,41,1169.4,1456.738,99.75401,2510.3,Continuing
7,170,1274.7,1449.8741,111.0703,2510.3,Continuing
8,225,1088.6,1394.839,107.72695,2510.3,Continuing
9,146,1722.5,1398.3523,92.466095,2510.3,Continuing
10,21,1860.3,1621.8918,151.20085,2510.3,Continuing
11,285,1812.1,1766.3339,160.28142,2510.3,Continuing
12,305,1139.7,1699.9305,153.56877,2510.3,Continuing
13,291,1577.8,1602.5238,181.19487,2510.3,Continuing
14,158,1688.1,1631.7582,106.70451,2510.3,Continuing
15,279,1805.2,1665.8888,60.527424,2510.3,Continuing
16,77,1653.6,1619.9915,171.90993,2510.3,Continuing
17,119,1736.3,1670.5269,96.16685,2510.3,Continuing
18,188,1681.2,1598.431,171.0708,2510.3,Continuing
19,246,1564.0,1637.9316,108.18242,2510.3,Continuing
20,46,1798.3,1673.1893,82.12798,2510.3,Continuing
21,193,1784.5,1702.1482,86.0302,2510.3,Continuing
22,33,1819.0,1661.4124,114.95996,2510.3,Continuing
23,215,1688.1,1636.0765,129.84187,2510.3,Continuing
24,142,1340.1,1710.2203,63.38636,2510.3,Continuing
25,266,1667.4,1683.1322,80.72974,2510.3,Continuing
26,296,1681.2,1571.5664,131.05113,2510.3,Continuing
27,150,1846.5,1610.4514,101.03134,2510.3,Continuing
28,205,1730.2,1437.0757,163.59366,2510.3,Continuing
29,34,1730.2,1537.4857,217.45876,2510.3,Continuing
30,280,1730.2,1632.5922,162.15863,2510.3,Continuing
31,203,1688.1,1626.5189,123.65769,2510.3,Continuing
32,185,1998.6,1610.9222,120.65375,2510.3,Continuing
33,6,1605.4,1644.872,192.08752,2510.3,Continuing
34,115,1536.5,1604.0842,139.02855,2510.3,Continuing
35,298,1040.4,1601.5612,84.661026,2510.3,Continuing
36,204,2005.5,1507.0902,162.49362,2510.3,Continuing
37,68,2006.0,1816.5209,227.23029,2510.3,Continuing
38,127,1737.2,1733.8811,174.57027,2510.3,Continuing
39,252,1730.2,1758.1471,110.193184,2510.3,Continuing
40,224,1792.2,1722.9106,121.20598,2510.3,Continuing
41,19,1723.2,1758.0535,61.074364,2510.3,Continuing
42,124,1600.0,1689.1327,110.95894,2510.3,Continuing
43,80,1125.0,1620.9233,168.0184,2510.3,Continuing
44,275,1392.4,1713.8267,57.1491,2510.3,Continuing
45,79,1641.2,1672.3235,78.25081,2510.3,Continuing
46,192,1674.6,1618.7268,125.05549,2510.3,Continuing
47,227,1874.6,1600.97,121.39091,2510.3,Continuing
48,8,1683.0,1699.326,84.171906,2510.3,Continuing
49,190,1243.6,1641.4578,70.18389,2510.3,Continuing
50,64,1661.2,1546.9712,156.85266,2510.3,Continuing
51,45,1716.3,1616.8937,82.54534,2510.3,Continuing
52,247,1036.9,1572.3683,130.32487,2510.3,Continuing
53,216,1371.1,1607.2291,129.38841,2510.3,Continuing
54,260,1599.4,1623.0468,90.014656,2510.3,Continuing
55,82,1746.6,1522.3309,183.48088,2510.3,Continuing
56,219,1804.2,1665.2428,123.54947,2510.3,Continuing
57,299,1777.6,1701.0278,123.11718,2510.3,Continuing
58,186,1741.8,1764.7988,29.915697,2510.3,Continuing
59,278,1743.5,1767.0775,15.221306,2510.3,Continuing
60,117,1810.0,1743.6459,34.716995,2510.3,Continuing
61,121,1795.5,1741.9342,14.1595955,2510.3,Continuing
62,222,1792.1,1759.0221,14.920487,2510.3,Continuing
63,54,1429.7,1639.6737,125.79404,2510.3,Continuing
64,223,1412.5,1610.2382,121.50211,2510.3,Continuing
65,71,2501.1,1519.2843,226.96577,2510.3,Continuing
66,147,1736.3,1739.1908,316.42017,2510.3,Continuing
67,206,2331.1,1636.116,318.72983,2510.3,Continuing
68,273,2402.3,1876.9279,338.7924,2510.3,Continuing
69,207,1019.0,1767.5144,323.65817,2510.3,Continuing
70,212,2249.6,1774.4253,346.73477,2510.3,Continuing
71,191,2411.5,1985.9645,279.4176,2510.3,Continuing
72,99,2411.5,2038.4373,329.42264,2510.3,Continuing
73,292,2372.4,1807.1954,336.17636,2510.3,Continuing
74,106,2381.6,2065.7063,326.70923,2510.3,Continuing
75,31,2487.3,2047.1361,296.26074,2510.3,Continuing
76,306,2510.3,2044.6467,363.0301,2510.3,Max Yield Strength reached
