Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,45,1716.3,44034.734,11060.863,2510.3,Continuing
2,138,1525.0,43557.625,10020.855,2510.3,Continuing
3,296,1681.2,6797.208,313.379,2510.3,Continuing
4,256,1016.4,2271.209,85.0836,2510.3,Continuing
5,206,2331.1,1799.8645,41.729237,2510.3,Continuing
6,181,1801.8,2499.5417,85.359314,2510.3,Continuing
7,71,2501.1,2400.4414,41.66987,2510.3,Continuing
8,273,2402.3,2359.3523,40.616337,2510.3,Continuing
9,147,1736.3,2125.2085,35.011063,2510.3,Continuing
10,136,1199.0,1620.5428,33.506855,2510.3,Continuing
11,191,2411.5,1646.2426,32.64329,2510.3,Continuing
12,212,2249.6,2317.3284,42.234837,2510.3,Continuing
13,99,2411.5,2243.6484,37.99636,2510.3,Continuing
14,31,2487.3,2354.085,39.655407,2510.3,Continuing
15,106,2381.6,2388.4878,40.672867,2510.3,Continuing
16,118,1603.3,2461.6765,42.12613,2510.3,Continuing
17,306,2510.3,2431.5354,42.74275,2510.3,Max Yield Strength reached
