Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,45,1716.3,44290.44,10468.428,2510.3,Continuing
2,138,1525.0,49171.637,10858.177,2510.3,Continuing
3,296,1681.2,6918.4727,312.8539,2510.3,Continuing
4,256,1016.4,2249.23,85.020874,2510.3,Continuing
5,206,2331.1,1803.1666,45.698845,2510.3,Continuing
6,181,1801.8,2405.0544,79.75644,2510.3,Continuing
7,71,2501.1,2396.7986,43.008804,2510.3,Continuing
8,273,2402.3,2373.0715,41.638775,2510.3,Continuing
9,147,1736.3,2064.0354,35.405663,2510.3,Continuing
10,169,1250.5,1013.1621,193.92706,2510.3,Continuing
11,191,2411.5,1650.2776,38.994938,2510.3,Continuing
12,212,2249.6,2242.1514,41.35734,2510.3,Continuing
13,99,2411.5,2288.4626,40.828205,2510.3,Continuing
14,31,2487.3,2299.813,41.019268,2510.3,Continuing
15,106,2381.6,2416.8555,41.071278,2510.3,Continuing
16,118,1603.3,2443.6216,43.263012,2510.3,Continuing
17,306,2510.3,2363.3716,42.662033,2510.3,Max Yield Strength reached
