Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,0.0,1048.8088481701514,2510.3,Continuing
2,33,1819.0,237.92978227867962,1040.8339516337342,2510.3,Continuing
3,142,1340.1,359.5518903489768,1037.749983169499,2510.3,Continuing
4,193,1784.5,429.59058417198145,1035.0993166649903,2510.3,Continuing
5,158,1688.1,519.8915748440618,1032.7982731470922,2510.3,Continuing
6,119,1736.3,592.9200851265875,1030.7781205327221,2510.3,Continuing
7,279,1805.2,660.1812725894508,1028.9930212449533,2510.3,Continuing
8,285,1812.1,1579.931672122165,229.92048621203148,2510.3,Continuing
9,77,1653.6,1636.2984946179702,199.15140113153203,2510.3,Continuing
10,246,1564.0,1634.3410602021538,185.46008713116922,2510.3,Continuing
11,188,1681.2,1625.7301300311044,175.4055007863236,2510.3,Continuing
12,150,1846.5,1634.9576662482332,163.3165762704645,2510.3,Continuing
13,21,1860.3,1648.1620419881303,171.8387755902991,2510.3,Continuing
14,146,1722.5,1646.2444553006094,171.47290216062612,2510.3,Continuing
15,46,1798.3,1558.5801405902903,175.2487158382913,2510.3,Continuing
16,291,1577.8,1589.8854220443147,182.97146042378884,2510.3,Continuing
17,304,1302.8,1574.2643831780902,171.73640361025704,2510.3,Continuing
18,266,1667.4,1497.4979868387254,181.28590680583855,2510.3,Continuing
19,52,1332.7,1529.5777298295898,166.75421127579023,2510.3,Continuing
20,13,1299.8,1489.9587404252054,163.4518421763863,2510.3,Continuing
21,199,1369.5,1453.125557618615,163.43308180631044,2510.3,Continuing
22,94,1376.3,1436.585122426086,155.37801747842025,2510.3,Continuing
23,301,1359.7,1420.533911209953,152.64569270506158,2510.3,Continuing
24,92,1280.7,1408.244665302976,146.7744323789642,2510.3,Continuing
25,197,1348.9,1378.5319099034537,162.0767906739114,2510.3,Continuing
26,63,1423.8,1373.4945773417148,147.86306434149583,2510.3,Continuing
27,50,1371.4,1388.453814743873,141.74531102748483,2510.3,Continuing
28,67,1438.6,1379.119966451382,134.66835274798507,2510.3,Continuing
29,3,1341.7,1388.763529438941,147.32139440840717,2510.3,Continuing
30,281,1338.0,1374.8482129845133,138.25098998162886,2510.3,Continuing
31,308,1258.6,1370.8442335458121,124.91868916335471,2510.3,Continuing
32,53,1372.9,1365.955688116463,123.32126331404207,2510.3,Continuing
33,41,1169.4,1362.4760238823387,126.01903497834408,2510.3,Continuing
34,10,1218.4,1350.5805179364934,121.25508075273103,2510.3,Continuing
35,134,1282.2,1338.1080645740976,130.99115557334034,2510.3,Continuing
36,110,1241.0,1332.8746564139044,118.01974290064115,2510.3,Continuing
37,311,1376.7,1329.243910053054,118.1158167144661,2510.3,Continuing
38,105,1358.2,1334.4857553434601,114.09409271038271,2510.3,Continuing
39,84,1278.2,1325.8066033222076,114.49707044924791,2510.3,Continuing
40,103,1314.2,1318.3430974121782,110.89196173034237,2510.3,Continuing
41,302,1311.1,1316.0926033551032,108.2094846687608,2510.3,Continuing
42,165,1250.8,1315.0220556131053,106.13770450891695,2510.3,Continuing
43,141,1273.3,1307.401471181947,108.89415985261593,2510.3,Continuing
44,270,1300.3,1301.6225986006932,103.6462735593794,2510.3,Continuing
45,208,1153.4,1288.0633160676553,132.7363488193276,2510.3,Continuing
46,36,1245.4,1295.0880666393455,103.08920745985087,2510.3,Continuing
47,120,1275.3,1288.4014506926453,103.9703794122675,2510.3,Continuing
48,251,1369.5,1283.4467110546277,102.39058594716394,2510.3,Continuing
49,267,1352.2,1291.0257096614612,99.84986968164053,2510.3,Continuing
50,269,1368.5,1287.009479557503,101.0319790423872,2510.3,Continuing
51,4,1322.1,1288.2638123318275,99.26873000862828,2510.3,Continuing
52,98,1243.4,1283.1488177823471,99.21601140659554,2510.3,Continuing
53,155,1344.4,1246.9805731192998,105.12758231838802,2510.3,Continuing
54,24,1383.7,1266.3025850095614,103.72123482424627,2510.3,Continuing
55,16,1328.3,1246.0236779551708,99.7070911690353,2510.3,Continuing
56,167,1731.7,1231.6314131642287,164.4095291267655,2510.3,Continuing
57,287,1615.8,1481.9614486006951,119.53205732812674,2510.3,Continuing
58,14,1564.0,1530.0445037759705,109.58712105317774,2510.3,Continuing
59,173,1522.7,1529.5431504820126,103.94833796140708,2510.3,Continuing
60,126,1391.8,1502.5296258625149,110.14931995587244,2510.3,Continuing
61,35,1357.3,1490.5059296453765,103.97978108146934,2510.3,Continuing
62,54,1429.7,1457.5565989454792,102.75794205155988,2510.3,Continuing
63,38,1426.2,1430.923889905627,99.8467489279708,2510.3,Continuing
64,216,1371.1,1402.295959861781,186.63879562908195,2510.3,Continuing
65,213,1405.6,1429.0315102218685,100.21855719670634,2510.3,Continuing
66,49,1550.3,1372.833929612423,104.04049147499936,2510.3,Continuing
67,223,1412.5,1375.208001741902,97.62681590955376,2510.3,Continuing
68,262,1309.1,1375.535449630314,105.82879306649977,2510.3,Continuing
69,102,1575.5,1348.7339433297211,137.8877038124905,2510.3,Continuing
70,86,1453.8,1340.4778343540393,99.59883951046587,2510.3,Continuing
71,196,1150.6,1302.6345442770612,109.04553317598956,2510.3,Continuing
72,8,1683.0,1275.538678002597,166.67961844221335,2510.3,Continuing
73,219,1804.2,1343.5014745475667,133.71754182221488,2510.3,Continuing
74,189,1818.0,1560.8759511575713,119.86580260827228,2510.3,Continuing
75,186,1741.8,1645.356615098261,113.7278770853017,2510.3,Continuing
