Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,209,1309.8,87.77922618100757,1046.0572514408475,2510.3,Continuing
2,97,1420.0,205.73594331514187,1041.169460398832,2510.3,Continuing
3,29,1254.0,302.6000280333905,1037.7976560674597,2510.3,Continuing
4,153,1194.0,962.0336595600759,204.89719203468547,2510.3,Continuing
5,169,1250.5,1139.7868652774896,167.2288036350765,2510.3,Continuing
6,89,1021.0,585.1826702423139,292.6312121105695,2510.3,Continuing
7,305,1139.7,1221.6592175631163,128.98657033445176,2510.3,Continuing
8,181,1801.8,1251.554942003338,118.3270753551602,2510.3,Continuing
9,44,1474.4,1266.9622858893756,229.3274355530304,2510.3,Continuing
10,160,1309.1,1387.5474847064088,175.0728457039422,2510.3,Continuing
11,238,1188.5,1347.6709220926957,169.45898349965339,2510.3,Continuing
12,225,1088.6,1234.01668717477,199.26065358066853,2510.3,Continuing
13,235,1419.4,1288.6682915048368,183.82700967413896,2510.3,Continuing
14,245,1298.8,1294.2832015318183,173.27176280357364,2510.3,Continuing
15,107,1309.1,1288.5893266006642,167.51701403537672,2510.3,Continuing
16,264,1288.4,1294.5699227276773,158.06712594581455,2510.3,Continuing
17,306,2510.3,1290.114122984802,150.35775144512675,2510.3,Max Yield Strength reached
