Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1212.5999999999915,0.0,2510.3,Continuing
2,209,1309.8,1200.3419999999974,45.399999999999864,2510.3,Continuing
3,254,1324.3,1269.3134999999927,142.5999999999999,2510.3,Continuing
4,48,1451.7,1300.7509999999925,157.0999999999999,2510.3,Continuing
5,109,1437.3,1346.0192499999994,284.5,2510.3,Continuing
6,160,1309.1,1383.932749999999,284.5,2510.3,Continuing
7,149,1304.3,1353.2209999999957,284.5,2510.3,Continuing
8,147,1736.3,1361.8304999999987,284.5,2510.3,Continuing
9,201,1586.7,1480.666249999998,569.0999999999999,2510.3,Continuing
10,171,1837.9,1515.5927500000028,569.0999999999999,2510.3,Continuing
11,111,1274.7,1626.178500000005,670.7,2510.3,Continuing
12,148,1237.0,1575.345000000005,670.7,2510.3,Continuing
13,187,1870.6,1560.978750000004,625.3000000000002,2510.3,Continuing
14,27,1825.8,1756.6899999999973,633.5999999999999,2510.3,Continuing
15,225,1088.6,1721.8879999999979,633.5999999999999,2510.3,Continuing
16,135,1354.2,1661.4917499999965,782.0,2510.3,Continuing
17,288,1768.0,1573.7090000000005,658.0,2510.3,Continuing
18,107,1309.1,1685.3877499999994,561.5,2510.3,Continuing
19,93,1755.2,1615.7264999999998,625.3000000000002,2510.3,Continuing
20,123,1729.4,1564.6215000000002,670.7,2510.3,Continuing
21,185,1998.6,1643.3219999999994,563.2,2510.3,Continuing
22,64,1661.2,1781.5269999999928,689.5,2510.3,Continuing
23,273,2402.3,1709.5139999999974,689.5,2510.3,Continuing
24,206,2331.1,2050.527000000003,1078.7250000000001,2510.3,Continuing
25,45,1716.3,1982.0192499999926,1078.0000000000002,2510.3,Continuing
26,71,2501.1,2220.0290000000036,741.1000000000001,2510.3,Continuing
27,99,2411.5,2057.7547499999955,1192.0,2510.3,Continuing
28,31,2487.3,2208.063499999994,1192.0,2510.3,Continuing
29,73,2381.6,2255.153500000001,1192.0,2510.3,Continuing
30,191,2411.5,2305.1422499999962,1192.0,2510.3,Continuing
31,118,1603.3,2214.68525,1192.0,2510.3,Continuing
32,106,2381.6,2286.9877499999975,1192.0,2510.3,Continuing
33,292,2372.4,2307.47524999999,1192.0,2510.3,Continuing
34,212,2249.6,2294.155499999997,1192.0,2510.3,Continuing
35,306,2510.3,2183.8639999999978,1192.0,2510.3,Max Yield Strength reached
