Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1309.0999999999904,0.0,2510.3,Continuing
2,264,1288.4,1272.560749999995,141.89999999999986,2510.3,Continuing
3,87,1393.5,1289.1792499999997,141.89999999999986,2510.3,Continuing
4,78,1580.1,1355.0865,105.09999999999991,2510.3,Continuing
5,154,1123.1,1433.7979999999964,291.6999999999998,2510.3,Continuing
6,235,1419.4,1411.0114999999932,457.0,2510.3,Continuing
7,44,1474.4,1424.1895000000036,291.6999999999998,2510.3,Continuing
8,181,1801.8,1441.8392500000073,291.6999999999996,2510.3,Continuing
9,169,1250.5,1655.1135000000045,492.70000000000005,2510.3,Continuing
10,238,1188.5,1462.7822500000007,551.3,2510.3,Continuing
11,47,1228.9,1406.9629999999968,468.08499999999003,2510.3,Continuing
12,64,1661.2,1391.7057499999964,457.0,2510.3,Continuing
13,273,2402.3,1467.2194999999992,538.1000000000001,2510.3,Continuing
14,206,2331.1,1958.3030000000008,1113.9,2510.3,Continuing
15,71,2501.1,2144.5879999999984,1113.9,2510.3,Continuing
16,207,1019.0,2091.617749999992,1336.1049999999998,2510.3,Continuing
17,31,2487.3,2105.5479999999934,1378.0,2510.3,Continuing
18,99,2411.5,2287.106500000002,1212.6999999999998,2510.3,Continuing
19,191,2411.5,2190.8197499999997,1212.6999999999998,2510.3,Continuing
20,212,2249.6,2190.466999999997,1198.9,2510.3,Continuing
21,184,1012.8,2090.0244999999995,1378.0,2510.3,Continuing
22,106,2381.6,1947.4420000000005,1488.3,2510.3,Continuing
23,292,2372.4,1951.705249999991,1398.7,2510.3,Continuing
24,306,2510.3,1946.3004999999982,1378.0,2510.3,Max Yield Strength reached
