Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1212.5997,0.00012207031,2510.3,Continuing
2,5,1164.4,1200.4927,20.076353,2510.3,Continuing
3,207,1019.0,1194.3457,22.3609,2510.3,Continuing
4,8,1683.0,1178.2258,48.01275,2510.3,Continuing
5,215,1688.1,1484.1531,235.26437,2510.3,Continuing
6,265,1680.6,1658.7345,95.35606,2510.3,Continuing
7,11,1232.0,1575.7919,172.6891,2510.3,Continuing
8,169,1250.5,1579.6061,187.12839,2510.3,Continuing
9,296,1681.2,1512.091,207.50247,2510.3,Continuing
10,193,1784.5,1490.6674,189.58366,2510.3,Continuing
11,150,1846.5,1607.7887,215.8767,2510.3,Continuing
12,119,1736.3,1772.5643,133.73207,2510.3,Continuing
13,77,1653.6,1746.8058,162.98747,2510.3,Continuing
14,21,1860.3,1715.0721,101.25284,2510.3,Continuing
15,246,1564.0,1715.1255,150.51909,2510.3,Continuing
16,142,1340.1,1694.6404,105.85963,2510.3,Continuing
17,279,1805.2,1631.799,106.958885,2510.3,Continuing
18,158,1688.1,1700.5743,100.23538,2510.3,Continuing
19,55,1463.0,1600.5103,163.97624,2510.3,Continuing
20,291,1577.8,1522.7714,187.67548,2510.3,Continuing
21,188,1681.2,1529.2539,149.97412,2510.3,Continuing
22,285,1812.1,1559.4058,140.79276,2510.3,Continuing
23,33,1819.0,1585.4878,144.62894,2510.3,Continuing
24,146,1722.5,1583.0903,149.68793,2510.3,Continuing
25,46,1798.3,1565.4962,150.44319,2510.3,Continuing
26,266,1667.4,1619.8378,105.0436,2510.3,Continuing
27,41,1169.4,1556.8153,167.89165,2510.3,Continuing
28,251,1369.5,1548.4894,114.368484,2510.3,Continuing
29,167,1731.7,1509.5924,142.156,2510.3,Continuing
30,37,1412.5,1539.4667,114.60409,2510.3,Continuing
31,126,1391.8,1481.3312,110.75859,2510.3,Continuing
32,172,1164.4,1464.1207,117.116035,2510.3,Continuing
33,301,1359.7,1462.0265,101.11954,2510.3,Continuing
34,132,1478.4,1432.8524,68.895676,2510.3,Continuing
35,175,1074.9,1471.8446,77.03528,2510.3,Continuing
36,65,1362.9,1436.679,50.086422,2510.3,Continuing
37,24,1383.7,1408.28,66.28405,2510.3,Continuing
38,267,1352.2,1398.3229,97.12153,2510.3,Continuing
39,20,1536.5,1368.6376,158.015,2510.3,Continuing
40,148,1237.0,1405.4524,65.37126,2510.3,Continuing
41,226,1646.7,1375.064,125.78253,2510.3,Continuing
42,263,1123.1,1375.4679,131.5948,2510.3,Continuing
43,155,1344.4,1390.8962,42.149303,2510.3,Continuing
44,92,1280.7,1366.0103,46.118954,2510.3,Continuing
45,248,1155.0,1339.7163,91.66025,2510.3,Continuing
46,140,1521.3,1339.7664,91.36232,2510.3,Continuing
47,16,1328.3,1359.327,85.58556,2510.3,Continuing
48,162,1258.2,1338.2721,106.555176,2510.3,Continuing
49,269,1368.5,1348.115,43.534836,2510.3,Continuing
50,120,1275.3,1353.1293,24.383179,2510.3,Continuing
51,238,1188.5,1320.0265,118.454605,2510.3,Continuing
52,135,1354.2,1321.8688,123.245,2510.3,Continuing
53,36,1245.4,1351.4832,51.393307,2510.3,Continuing
54,26,1236.6,1326.7089,90.103836,2510.3,Continuing
55,2,1382.2,1343.3784,91.33916,2510.3,Continuing
56,272,1555.8,1313.07,117.40157,2510.3,Continuing
57,27,1825.8,1395.3287,122.08296,2510.3,Continuing
58,187,1870.6,1699.3359,191.5025,2510.3,Continuing
59,171,1837.9,1658.4127,148.58177,2510.3,Continuing
60,78,1580.1,1466.2522,141.78326,2510.3,Continuing
61,87,1393.5,1526.3345,116.57945,2510.3,Continuing
62,176,1026.6,1496.98,97.90413,2510.3,Continuing
63,123,1729.4,1425.358,168.62741,2510.3,Continuing
64,51,1462.7,1527.7418,122.397446,2510.3,Continuing
65,221,1506.8,1477.3579,115.049164,2510.3,Continuing
66,39,1071.4,1466.9694,98.66164,2510.3,Continuing
67,255,1280.2,1440.4241,129.6532,2510.3,Continuing
68,201,1586.7,1437.9225,162.43773,2510.3,Continuing
69,93,1755.2,1443.8427,173.80368,2510.3,Continuing
70,157,1779.7,1500.4358,147.02518,2510.3,Continuing
71,288,1768.0,1587.0419,133.59056,2510.3,Continuing
72,262,1309.1,1565.8809,127.53478,2510.3,Continuing
73,185,1998.6,1545.099,140.10999,2510.3,Continuing
74,127,1737.2,1680.9961,223.83131,2510.3,Continuing
75,275,1392.4,1715.4447,169.36014,2510.3,Continuing
76,68,2006.0,1555.931,178.48787,2510.3,Continuing
77,204,2005.5,1767.9348,225.29523,2510.3,Continuing
78,34,1730.2,1767.9403,182.87338,2510.3,Continuing
79,309,1212.0,1651.4598,184.9644,2510.3,Continuing
80,205,1730.2,1639.4266,126.65438,2510.3,Continuing
81,252,1730.2,1608.2245,132.78258,2510.3,Continuing
82,192,1674.6,1630.9438,122.13006,2510.3,Continuing
83,259,1463.3,1593.2262,122.219124,2510.3,Continuing
84,19,1723.2,1617.9994,129.1544,2510.3,Continuing
85,224,1792.2,1618.0111,75.52803,2510.3,Continuing
86,227,1874.6,1593.4003,156.3892,2510.3,Continuing
87,115,1536.5,1596.5336,135.51611,2510.3,Continuing
88,69,1131.9,1562.0405,124.990814,2510.3,Continuing
89,280,1730.2,1543.9783,177.81367,2510.3,Continuing
90,79,1641.2,1597.6509,151.19923,2510.3,Continuing
91,260,1599.4,1624.4303,117.14075,2510.3,Continuing
92,198,1061.1,1597.9674,96.428276,2510.3,Continuing
93,64,1661.2,1564.2649,135.53311,2510.3,Continuing
94,147,1736.3,1612.3928,115.1167,2510.3,Continuing
95,45,1716.3,1550.6122,141.92279,2510.3,Continuing
96,203,1688.1,1578.4479,105.120705,2510.3,Continuing
97,124,1600.0,1559.7421,147.3002,2510.3,Continuing
98,71,2501.1,1528.7765,120.87494,2510.3,Continuing
99,273,2402.3,1819.5786,398.1007,2510.3,Continuing
100,191,2411.5,1867.9143,376.68118,2510.3,Continuing
101,212,2249.6,1979.613,424.1344,2510.3,Continuing
102,99,2411.5,1717.6677,376.42242,2510.3,Continuing
103,31,2487.3,1712.7333,455.28894,2510.3,Continuing
104,206,2331.1,1706.2262,446.3195,2510.3,Continuing
105,76,1669.3,1614.9034,419.76553,2510.3,Continuing
106,6,1605.4,1533.3995,292.5017,2510.3,Continuing
107,289,1571.2,1594.8179,96.44455,2510.3,Continuing
