Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,1295.9998,0.00012207031,2510.3,Continuing
2,2,1382.2,1257.3593,59.0233,2510.3,Continuing
3,7,1306.9,1354.9191,50.302975,2510.3,Continuing
4,24,1383.7,1357.0989,35.4967,2510.3,Continuing
5,301,1359.7,1367.6255,31.330284,2510.3,Continuing
6,160,1309.1,1377.3827,15.308761,2510.3,Continuing
7,135,1354.2,1377.8,14.7674055,2510.3,Continuing
8,256,1016.4,1378.1764,9.646234,2510.3,Continuing
9,155,1344.4,1370.7958,31.681257,2510.3,Continuing
10,308,1258.6,1313.6229,71.41248,2510.3,Continuing
11,235,1419.4,1355.701,23.977427,2510.3,Continuing
12,169,1250.5,1392.1089,31.192165,2510.3,Continuing
13,44,1474.4,1364.6687,55.054283,2510.3,Continuing
14,181,1801.8,1398.6349,73.245605,2510.3,Continuing
15,75,1471.1,1414.4316,204.41501,2510.3,Continuing
16,62,1130.0,1422.8241,184.89418,2510.3,Continuing
17,90,1185.1,1293.3153,190.06744,2510.3,Continuing
18,225,1088.6,1269.693,175.39076,2510.3,Continuing
19,296,1681.2,1287.9664,203.2427,2510.3,Continuing
20,244,1081.1,1407.312,183.21477,2510.3,Continuing
21,118,1603.3,1388.5151,117.23223,2510.3,Continuing
22,184,1012.8,1512.8164,96.72053,2510.3,Continuing
23,25,1005.9,1457.5541,117.80255,2510.3,Continuing
24,176,1026.6,1370.4154,141.14522,2510.3,Continuing
25,21,1860.3,1348.4,159.62947,2510.3,Continuing
26,246,1564.0,1644.7227,261.88004,2510.3,Continuing
27,215,1688.1,1653.9484,199.4945,2510.3,Continuing
28,77,1653.6,1620.587,160.19785,2510.3,Continuing
29,142,1340.1,1639.8624,93.5497,2510.3,Continuing
30,150,1846.5,1636.2766,94.77578,2510.3,Continuing
31,188,1681.2,1618.0493,114.03656,2510.3,Continuing
32,146,1722.5,1600.3771,116.25043,2510.3,Continuing
33,8,1683.0,1527.2224,170.3703,2510.3,Continuing
34,167,1731.7,1613.4508,86.542656,2510.3,Continuing
35,119,1736.3,1633.9269,76.376236,2510.3,Continuing
36,158,1688.1,1688.9253,49.388634,2510.3,Continuing
37,285,1812.1,1639.0151,87.220375,2510.3,Continuing
38,279,1805.2,1632.6105,93.6429,2510.3,Continuing
39,126,1391.8,1562.7938,119.29694,2510.3,Continuing
40,33,1819.0,1506.7684,145.93211,2510.3,Continuing
41,305,1139.7,1533.4938,108.475815,2510.3,Continuing
42,193,1784.5,1516.788,160.5434,2510.3,Continuing
43,46,1798.3,1532.0295,147.44246,2510.3,Continuing
44,291,1577.8,1519.5105,143.91936,2510.3,Continuing
45,266,1667.4,1445.4554,151.4368,2510.3,Continuing
46,172,1164.4,1371.1204,159.49474,2510.3,Continuing
47,207,1019.0,1361.6626,158.79459,2510.3,Continuing
48,219,1804.2,1355.0004,136.01688,2510.3,Continuing
49,299,1777.6,1474.0354,194.36404,2510.3,Continuing
50,189,1818.0,1674.3741,129.03247,2510.3,Continuing
51,82,1746.6,1690.4021,114.24612,2510.3,Continuing
52,186,1741.8,1705.0208,112.2863,2510.3,Continuing
53,117,1810.0,1571.2899,147.3077,2510.3,Continuing
54,278,1743.5,1596.3085,113.778694,2510.3,Continuing
55,262,1309.1,1576.5701,138.93854,2510.3,Continuing
56,222,1792.1,1534.3,138.58275,2510.3,Continuing
57,121,1795.5,1559.5679,147.5122,2510.3,Continuing
58,102,1575.5,1606.1974,121.90424,2510.3,Continuing
59,231,1547.3,1504.5665,133.10469,2510.3,Continuing
60,276,1629.9,1442.1403,167.63623,2510.3,Continuing
61,18,1592.9,1535.2742,157.26659,2510.3,Continuing
62,216,1371.1,1461.2458,150.5708,2510.3,Continuing
63,49,1550.3,1488.121,118.609436,2510.3,Continuing
64,177,1503.4,1478.0695,111.67503,2510.3,Continuing
65,54,1429.7,1480.3759,82.92118,2510.3,Continuing
66,198,1061.1,1423.5819,128.99983,2510.3,Continuing
67,213,1405.6,1465.2994,67.53566,2510.3,Continuing
68,197,1348.9,1372.7037,146.71643,2510.3,Continuing
69,13,1299.8,1406.923,97.85182,2510.3,Continuing
70,287,1615.8,1378.1241,122.05154,2510.3,Continuing
71,14,1564.0,1455.3893,148.18509,2510.3,Continuing
72,173,1522.7,1475.9824,128.2702,2510.3,Continuing
73,245,1298.8,1382.9673,112.126335,2510.3,Continuing
74,38,1426.2,1393.804,109.271034,2510.3,Continuing
75,259,1463.3,1375.7863,97.48769,2510.3,Continuing
76,12,1455.4,1430.9545,62.792377,2510.3,Continuing
77,15,1136.9,1377.2555,107.066826,2510.3,Continuing
78,134,1282.2,1382.2246,72.94604,2510.3,Continuing
79,35,1357.3,1339.737,107.6949,2510.3,Continuing
80,304,1302.8,1363.827,63.576145,2510.3,Continuing
81,263,1123.1,1342.9595,129.06187,2510.3,Continuing
82,6,1605.4,1306.567,115.58813,2510.3,Continuing
83,289,1571.2,1299.9202,172.75706,2510.3,Continuing
84,45,1716.3,1311.8726,165.04605,2510.3,Continuing
85,260,1599.4,1499.2734,172.12628,2510.3,Continuing
86,79,1641.2,1581.3557,83.245026,2510.3,Continuing
87,124,1600.0,1491.483,161.83789,2510.3,Continuing
88,203,1688.1,1453.2239,132.79361,2510.3,Continuing
89,280,1730.2,1471.7527,139.17677,2510.3,Continuing
90,68,2006.0,1435.8625,138.75453,2510.3,Continuing
91,204,2005.5,1822.4445,272.2757,2510.3,Continuing
92,227,1874.6,1548.8574,176.14732,2510.3,Continuing
93,19,1723.2,1647.2402,197.75723,2510.3,Continuing
94,275,1392.4,1640.9901,136.73154,2510.3,Continuing
95,185,1998.6,1606.4309,130.41508,2510.3,Continuing
96,34,1730.2,1591.1138,190.61331,2510.3,Continuing
97,64,1661.2,1563.2367,145.98236,2510.3,Continuing
98,39,1071.4,1570.7064,114.38018,2510.3,Continuing
99,127,1737.2,1522.9601,136.49089,2510.3,Continuing
100,205,1730.2,1514.5312,150.64941,2510.3,Continuing
101,252,1730.2,1590.5642,140.8277,2510.3,Continuing
102,115,1536.5,1611.2081,130.39014,2510.3,Continuing
103,192,1674.6,1598.4465,121.191475,2510.3,Continuing
104,224,1792.2,1528.3364,155.91296,2510.3,Continuing
105,238,1188.5,1500.4696,165.21625,2510.3,Continuing
106,297,1404.2,1484.3822,159.70013,2510.3,Continuing
107,300,1164.4,1393.0796,197.44612,2510.3,Continuing
108,40,2157.3,1433.6521,147.39635,2510.3,Continuing
109,212,2249.6,1478.2856,271.78674,2510.3,Continuing
110,309,1212.0,1693.1907,253.11633,2510.3,Continuing
111,239,1144.8,1490.4465,259.5298,2510.3,Continuing
112,143,1216.8,1437.0673,154.0206,2510.3,Continuing
113,91,1136.8,1402.3132,163.9833,2510.3,Continuing
114,273,2402.3,1374.9031,182.90889,2510.3,Continuing
115,71,2501.1,1936.8943,476.65012,2510.3,Continuing
116,191,2411.5,1971.6617,325.05154,2510.3,Continuing
117,99,2411.5,1521.6617,245.61256,2510.3,Continuing
118,206,2331.1,1491.2738,251.37431,2510.3,Continuing
119,31,2487.3,1926.3853,424.30933,2510.3,Continuing
120,292,2372.4,1559.5458,222.64615,2510.3,Continuing
121,106,2381.6,1883.1536,464.47256,2510.3,Continuing
122,73,2381.6,1508.1893,233.35617,2510.3,Continuing
123,306,2510.3,1922.6914,448.3332,2510.3,Max Yield Strength reached
