Iteration,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,0.0,1048.8088481701514,2510.3,Continuing
2,33,1819.0,237.92978227867962,1040.8339516337342,2510.3,Continuing
3,142,1340.1,359.5518903489768,1037.749983169499,2510.3,Continuing
4,193,1784.5,429.59058417198145,1035.0993166649903,2510.3,Continuing
5,158,1688.1,519.8915748440618,1032.7982731470922,2510.3,Continuing
6,119,1736.3,592.9200851265875,1030.7781205327221,2510.3,Continuing
7,279,1805.2,660.1812725894508,1028.9930212449533,2510.3,Continuing
8,285,1812.1,1579.931672122165,229.92048621203148,2510.3,Continuing
9,77,1653.6,1636.2984946179702,199.15140113153203,2510.3,Continuing
10,246,1564.0,1634.3410602021538,185.46008713116922,2510.3,Continuing
11,188,1681.2,1625.7301300311044,175.4055007863236,2510.3,Continuing
12,21,1860.3,1621.0694644966225,172.37790936288337,2510.3,Continuing
13,150,1846.5,1657.0471062704723,163.01067273844373,2510.3,Continuing
14,146,1722.5,1646.2444553006092,171.4729021606261,2510.3,Continuing
15,46,1798.3,1558.5801405902896,175.24871583829128,2510.3,Continuing
16,291,1577.8,1589.8854220443152,182.97146042378884,2510.3,Continuing
17,301,1359.7,1559.2307013582658,179.41655256009005,2510.3,Continuing
18,266,1667.4,1516.4863995619542,175.71454033570805,2510.3,Continuing
19,304,1302.8,1554.4835565987573,158.93700905115963,2510.3,Continuing
20,197,1348.9,1464.6407644114013,176.42415118076084,2510.3,Continuing
21,92,1280.7,1468.634439984824,161.8685560897196,2510.3,Continuing
22,3,1341.7,1399.9979430051096,176.20794250333768,2510.3,Continuing
23,13,1299.8,1440.5241094708927,150.56381674487957,2510.3,Continuing
24,52,1332.7,1419.348688867697,146.59403030803213,2510.3,Continuing
25,216,1371.1,1129.622042371218,228.8926727475054,2510.3,Continuing
26,57,1235.9,1041.6894407722452,255.65212476819457,2510.3,Continuing
27,296,1681.2,1232.0979743278676,209.6343645542926,2510.3,Continuing
28,167,1731.7,1318.9527429011027,179.6079647649745,2510.3,Continuing
29,126,1391.8,1426.7434026379078,171.98950321135476,2510.3,Continuing
30,287,1615.8,1432.5937296342204,154.57100170992382,2510.3,Continuing
31,14,1564.0,1476.953723121655,149.41555036453965,2510.3,Continuing
32,173,1522.7,1488.868295380516,143.26058961938003,2510.3,Continuing
33,305,1139.7,1267.0491466772837,212.383413602796,2510.3,Continuing
34,35,1357.3,1461.2806189242026,139.41290514673815,2510.3,Continuing
35,54,1429.7,1457.9892752879182,136.52501807363825,2510.3,Continuing
36,213,1405.6,1431.3817631310915,134.69287827604296,2510.3,Continuing
37,8,1683.0,1232.734990146191,182.01374968679147,2510.3,Continuing
38,102,1575.5,1439.2754344701705,150.6503907989972,2510.3,Continuing
39,49,1550.3,1440.0411084273833,141.61364387622655,2510.3,Continuing
40,262,1309.1,1431.0729442201987,142.43479982675254,2510.3,Continuing
41,219,1804.2,1322.4703894108202,158.07160628105095,2510.3,Continuing
42,189,1818.0,1482.7362285469344,161.2531811968344,2510.3,Continuing
43,186,1741.8,1565.1418399741556,159.1131317566009,2510.3,Continuing
44,299,1777.6,1605.7425207969225,152.8631284578664,2510.3,Continuing
45,82,1746.6,1640.3528189652684,147.25152660094923,2510.3,Continuing
46,117,1810.0,1653.1333882301526,142.71713148745178,2510.3,Continuing
47,278,1743.5,1676.077206842287,139.179412918912,2510.3,Continuing
48,222,1792.1,1678.2625255262933,135.45422092531845,2510.3,Continuing
49,121,1795.5,1692.287720517524,132.34777173747943,2510.3,Continuing
50,236,1019.7,1604.528440768282,170.63013770344864,2510.3,Continuing
51,276,1629.9,1606.139817972298,144.73282679746418,2510.3,Continuing
52,231,1547.3,1502.6097406319277,160.5999373829782,2510.3,Continuing
53,6,1605.4,1453.6886194623619,171.0978200242085,2510.3,Continuing
54,18,1592.9,1491.138283266217,150.99364306183904,2510.3,Continuing
55,177,1503.4,1498.0640437948675,145.11938671602965,2510.3,Continuing
56,12,1455.4,1495.2624311840584,139.47707568731988,2510.3,Continuing
57,239,1144.8,1373.885285249394,164.8658892932781,2510.3,Continuing
58,134,1282.2,1414.6873007605454,140.62405451342204,2510.3,Continuing
59,124,1600.0,1180.7156266454895,202.3280503899816,2510.3,Continuing
60,203,1688.1,1338.6158160479536,172.7619361616131,2510.3,Continuing
61,198,1061.1,1407.8591663958389,167.15933240050333,2510.3,Continuing
62,115,1536.5,1393.627541524117,158.3929588264073,2510.3,Continuing
63,259,1463.3,1413.7816931266834,146.68012611384157,2510.3,Continuing
64,16,1328.3,1384.54682819475,145.78202877680448,2510.3,Continuing
65,205,1730.2,1313.5754781131802,160.71236598014096,2510.3,Continuing
66,192,1674.6,1444.8849428439728,155.24589383767375,2510.3,Continuing
67,252,1730.2,1488.595519203059,151.16972324242926,2510.3,Continuing
68,127,1737.2,1506.7299273048247,148.5640480935593,2510.3,Continuing
69,224,1792.2,1524.2207112564436,154.07813687108106,2510.3,Continuing
70,19,1723.2,1563.704820850177,151.66104298256454,2510.3,Continuing
71,275,1392.4,1589.1000308484715,145.70303992200485,2510.3,Continuing
72,204,2005.5,1542.8879892158857,154.97601413958208,2510.3,Continuing
73,68,2006.0,1602.6465571629117,174.5696807197119,2510.3,Continuing
74,185,1998.6,1623.283272366279,186.16265427652138,2510.3,Continuing
75,34,1730.2,1651.9298751133658,188.40922137231826,2510.3,Continuing
