Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,Max Yield Strength in Dataset,Stopping Reason
1,264,1288.4,119.00701304849683,1044.466087699854,2510.3,Continuing
2,5,1164.4,216.41936921940726,1040.835889789452,2510.3,Continuing
3,261,1287.3,289.23464217660404,1037.7600272067236,2510.3,Continuing
4,154,1123.1,910.628014972257,194.28381284964206,2510.3,Continuing
5,78,1580.1,1198.1985103621073,89.4909407392744,2510.3,Continuing
6,87,1393.5,1230.8593756430444,185.95700118789082,2510.3,Continuing
7,298,1040.4,1261.2650590651933,168.92259148741888,2510.3,Continuing
8,76,1669.3,780.3510003040486,279.82997133399454,2510.3,Continuing
9,118,1603.3,1252.1409871854355,227.4168476947908,2510.3,Continuing
10,210,1580.0,1281.6261163559889,234.24854697880244,2510.3,Continuing
11,240,1267.1,1307.9444538324183,232.71178591940935,2510.3,Continuing
12,289,1571.2,1292.9385240626932,222.57867707628714,2510.3,Continuing
13,293,1123.1,1298.686247764731,216.7525791448999,2510.3,Continuing
14,108,1164.4,1257.2684308144567,211.97494897707088,2510.3,Continuing
15,274,1486.2,1208.3899067769307,212.39644771822609,2510.3,Continuing
16,64,1661.2,1237.005416021187,215.4419819915888,2510.3,Continuing
17,203,1688.1,1335.1619887520396,220.44938762215304,2510.3,Continuing
18,227,1874.6,1352.1043376635978,227.18185284042292,2510.3,Continuing
19,275,1392.4,1371.7333148032787,249.45716910698115,2510.3,Continuing
20,127,1737.2,1374.9765707030167,242.0138843415765,2510.3,Continuing
21,157,1779.7,1390.2906828188306,246.63022219501627,2510.3,Continuing
22,288,1768.0,1405.723839881463,252.53376664785114,2510.3,Continuing
23,93,1755.2,1419.9793659700647,256.0298754423458,2510.3,Continuing
24,166,1091.4,1433.0501843634,257.7095183538695,2510.3,Continuing
25,27,1825.8,1417.9440252004883,263.8007909018272,2510.3,Continuing
26,187,1870.6,1431.822423459894,268.80503392438425,2510.3,Continuing
27,185,1998.6,1445.868860960863,275.0560983769003,2510.3,Continuing
28,201,1586.7,1454.8360180760415,289.3727008556168,2510.3,Continuing
29,147,1736.3,1467.15235263028,282.5382317871502,2510.3,Continuing
30,123,1729.4,1476.3742787232286,280.62208958425913,2510.3,Continuing
31,111,1274.7,1484.867512986015,278.4300942669935,2510.3,Continuing
32,139,1350.4,1478.714732749228,277.19038004601487,2510.3,Continuing
33,205,1730.2,1475.6118839654823,274.0620043703554,2510.3,Continuing
34,192,1674.6,1483.2956496370682,272.43337991110735,2510.3,Continuing
35,252,1730.2,1489.2601557868118,269.57972335312496,2510.3,Continuing
36,80,1125.0,1497.5435740806888,267.9004868834918,2510.3,Continuing
37,224,1792.2,1485.358270883402,272.39268884861946,2510.3,Continuing
38,19,1723.2,1493.255289406515,272.42589559130573,2510.3,Continuing
39,204,2005.5,1499.4996272791002,270.6374583118261,2510.3,Continuing
40,68,2006.0,1521.3902251697511,276.3775237320831,2510.3,Continuing
41,280,1730.2,1540.3139531877373,278.4841831008716,2510.3,Continuing
42,180,1182.0,1539.517582727271,276.5063910467481,2510.3,Continuing
43,239,1144.8,1525.594171854364,278.94317017171835,2510.3,Continuing
44,45,1716.3,1513.5289009977764,283.59275944874383,2510.3,Continuing
45,309,1212.0,1511.8147170715063,280.7118433047058,2510.3,Continuing
46,42,1350.3,1502.2038401827826,285.07693020566546,2510.3,Continuing
47,39,1071.4,1496.7876076799723,278.90133960699063,2510.3,Continuing
48,194,1233.3,1482.635908813166,285.1265580094731,2510.3,Continuing
49,56,1357.9,1476.7560006853616,286.38746741311263,2510.3,Continuing
50,58,1276.5,1472.6793474876858,283.2982440135137,2510.3,Continuing
51,300,1164.4,1467.5059051888506,277.84107986312455,2510.3,Continuing
52,91,1136.8,1457.6784556433513,277.73147925881403,2510.3,Continuing
53,95,1277.7,1446.8744502904046,282.2552075019603,2510.3,Continuing
