Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,Max Yield Strength in Dataset,Stopping Reason
1,295,1276.7,117.8181543409816,1044.4659377640799,2510.3,Continuing
2,307,1344.0,214.390503285416,1040.8330949197707,2510.3,Continuing
3,72,1317.0,301.28222291785534,1037.7492429107808,2510.3,Continuing
4,114,1269.0,410.03748541771546,972.1353412022415,2510.3,Continuing
5,137,1308.0,971.4255114719754,178.03486447020217,2510.3,Continuing
6,160,1309.1,1024.1283585385008,197.21190765972057,2510.3,Continuing
7,208,1153.4,1283.1638824790407,60.26049911030126,2510.3,Continuing
8,207,1019.0,1158.4582965318095,162.2519661184493,2510.3,Continuing
9,169,1250.5,877.9804807380983,215.42681909402336,2510.3,Continuing
10,65,1362.9,1344.0337801604992,52.026190487578155,2510.3,Continuing
11,181,1801.8,1349.1756418715677,46.041986137086596,2510.3,Continuing
12,44,1474.4,1436.60875152332,149.6176947468446,2510.3,Continuing
13,235,1419.4,1410.8474501052801,134.4042380036163,2510.3,Continuing
14,80,1125.0,1127.3948159625136,198.88558052983515,2510.3,Continuing
15,245,1298.8,1360.1760767413436,123.58591366246942,2510.3,Continuing
16,132,1478.4,1338.9808991133068,119.12725015621919,2510.3,Continuing
17,55,1463.0,1370.1082429010385,107.85974905322087,2510.3,Continuing
18,140,1521.3,1365.918258208954,99.9707246977455,2510.3,Continuing
19,26,1236.6,1285.9218675395657,125.87141925487596,2510.3,Continuing
20,42,1350.3,1346.270524132222,98.45377752563627,2510.3,Continuing
21,284,1348.6,1345.6835598818107,93.00314302960169,2510.3,Continuing
22,286,1297.5,1346.158353399985,87.16967581658021,2510.3,Continuing
23,131,1391.2,1341.2513424888402,84.03977161349826,2510.3,Continuing
24,145,1285.0,1344.3029998618422,80.44074701382046,2510.3,Continuing
25,58,1276.5,1337.4889999321294,78.05036212754577,2510.3,Continuing
26,95,1277.7,1331.0116539540277,76.57832598577485,2510.3,Continuing
27,88,1294.9,1326.8297445512737,73.9987431773062,2510.3,Continuing
28,133,1312.0,1321.3891816740365,71.52223768461295,2510.3,Continuing
29,303,1221.6,1276.687938269532,83.93848081560236,2510.3,Continuing
30,56,1357.9,1273.338978982466,80.22367140904576,2510.3,Continuing
31,7,1306.9,1287.9765418989932,74.75984695743946,2510.3,Continuing
32,81,1280.8,1300.8743531656155,66.19973531499473,2510.3,Continuing
33,242,1305.4,1299.8170612363765,63.18589875142028,2510.3,Continuing
34,255,1280.2,1294.6258260768427,61.62535416193203,2510.3,Continuing
35,238,1188.5,1256.4941858775856,70.62591346737555,2510.3,Continuing
36,51,1462.7,1220.9613490434804,75.34845654493641,2510.3,Continuing
37,272,1555.8,1315.6034173068738,75.39200433290308,2510.3,Continuing
38,221,1506.8,1344.64795990234,77.49228864915419,2510.3,Continuing
39,253,1414.5,1362.7931570199062,74.78609519593208,2510.3,Continuing
40,230,1475.8,1388.6336131552735,64.39708215128496,2510.3,Continuing
41,204,2005.5,1333.178276897499,134.509743128745,2510.3,Continuing
42,64,1661.2,1898.9142329486494,97.29138112759625,2510.3,Continuing
43,68,2006.0,1840.871573353432,93.21543671497949,2510.3,Continuing
44,224,1792.2,1762.1141606064116,100.29059459813708,2510.3,Continuing
45,19,1723.2,1805.9481306324383,66.28772993862577,2510.3,Continuing
46,252,1730.2,1705.008998745282,74.89658485095526,2510.3,Continuing
47,227,1874.6,1732.2143139164182,60.739630752384166,2510.3,Continuing
48,275,1392.4,1752.5811336954512,66.92613581522764,2510.3,Continuing
49,79,1641.2,1633.7947301548884,118.5155657347911,2510.3,Continuing
50,127,1737.2,1626.0535045805918,107.95067525440554,2510.3,Continuing
51,45,1716.3,1615.8972027002887,114.60137400322616,2510.3,Continuing
52,260,1599.4,1635.032962251099,110.82830033922562,2510.3,Continuing
53,192,1674.6,1621.1589357082594,109.74706654962206,2510.3,Continuing
54,124,1600.0,1434.9252155300205,140.77317200515898,2510.3,Continuing
55,75,1471.1,1309.1595602703428,171.49441609488719,2510.3,Continuing
56,15,1136.9,1410.779069862708,144.25651981806453,2510.3,Continuing
57,30,1194.0,1344.0975572635527,160.96490775247642,2510.3,Continuing
58,241,1218.8,1419.894649992029,128.01244118943458,2510.3,Continuing
59,297,1404.2,1408.5921024374188,126.83201192759634,2510.3,Continuing
