Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,0.0,1048.8088481701514,2510.3,Continuing
2,33,1819.0,237.92978227867962,1040.8339516337342,2510.3,Continuing
3,142,1340.1,359.5518903489768,1037.749983169499,2510.3,Continuing
4,193,1784.5,429.59058417198145,1035.0993166649903,2510.3,Continuing
5,158,1688.1,519.8915748440618,1032.7982731470922,2510.3,Continuing
6,119,1736.3,592.9200851265875,1030.7781205327221,2510.3,Continuing
7,279,1805.2,660.1812725894508,1028.9930212449533,2510.3,Continuing
8,285,1812.1,1579.931672122165,229.92048621203148,2510.3,Continuing
9,77,1653.6,1636.2984946179702,199.15140113153203,2510.3,Continuing
10,246,1564.0,1634.3410602021538,185.46008713116922,2510.3,Continuing
11,21,1860.3,1600.9064904033285,186.58275674933742,2510.3,Continuing
12,188,1681.2,1659.347865153632,172.2458893390259,2510.3,Continuing
13,146,1722.5,1627.020252212655,173.0802184228577,2510.3,Continuing
14,150,1846.5,1666.2708480515116,154.5337799147092,2510.3,Continuing
15,46,1798.3,1558.5801405902912,175.2487158382913,2510.3,Continuing
16,291,1577.8,1589.885430933143,182.97145860265562,2510.3,Continuing
17,251,1369.5,1530.6040102739348,189.6578070043505,2510.3,Continuing
18,266,1667.4,1526.5212405334835,173.39202940626208,2510.3,Continuing
19,197,1348.9,1530.5344305187075,171.4600789058266,2510.3,Continuing
20,304,1302.8,1531.9656366090444,154.72021955271182,2510.3,Continuing
21,301,1359.7,1477.0720903812253,159.51450090277658,2510.3,Continuing
22,3,1341.7,1412.457522697851,172.06137714420728,2510.3,Continuing
23,13,1299.8,1456.4794055391087,148.03270454709616,2510.3,Continuing
24,92,1280.7,1429.7875245259636,147.92018744084916,2510.3,Continuing
25,52,1332.7,1417.977888173605,142.0254574357176,2510.3,Continuing
26,281,1338.0,1366.2890855140777,152.09635182460505,2510.3,Continuing
27,216,1371.1,1129.5098422131,227.3862646177901,2510.3,Continuing
28,167,1731.7,1288.1198836246294,177.33888448568197,2510.3,Continuing
29,126,1391.8,1420.129146445673,165.00143750019794,2510.3,Continuing
30,287,1615.8,1431.2835379176236,150.1685590647186,2510.3,Continuing
31,14,1564.0,1478.8607407121704,144.98936532672337,2510.3,Continuing
32,173,1522.7,1491.468713706502,138.84413333848656,2510.3,Continuing
33,35,1357.3,1475.781759181536,137.9751426836487,2510.3,Continuing
34,54,1429.7,1459.047749484434,135.13631073871568,2510.3,Continuing
35,305,1139.7,1226.9725874304902,204.72070702263292,2510.3,Continuing
36,102,1575.5,1342.0447368333234,162.4882134364743,2510.3,Continuing
37,213,1405.6,1451.0802307674753,130.2367049144161,2510.3,Continuing
38,8,1683.0,1281.576567071119,178.70059795785104,2510.3,Continuing
39,49,1550.3,1438.5312687271362,136.55695718780436,2510.3,Continuing
40,262,1309.1,1429.4865707019803,137.5313306217132,2510.3,Continuing
41,91,1136.8,1294.1506336571426,165.9025535034217,2510.3,Continuing
42,38,1426.2,1400.1477234425065,128.2943328636559,2510.3,Continuing
43,134,1282.2,1388.743157348224,130.18792068504817,2510.3,Continuing
44,199,1369.5,1396.1665224117016,121.62010232510522,2510.3,Continuing
45,67,1438.6,1379.7243800312547,121.64665466586634,2510.3,Continuing
46,308,1258.6,1382.4126126194494,117.05000167062711,2510.3,Continuing
47,103,1314.2,1366.521035391408,115.57261791831547,2510.3,Continuing
48,63,1423.8,1356.6344516770364,115.90891067742578,2510.3,Continuing
49,223,1412.5,1359.7518756732245,114.79902555982804,2510.3,Continuing
50,50,1371.4,1353.5039784669202,113.58692009818634,2510.3,Continuing
51,219,1804.2,1268.712291221072,140.2519534940455,2510.3,Continuing
52,189,1818.0,1477.553591673585,140.63150320576057,2510.3,Continuing
53,186,1741.8,1579.6432076986766,136.64183184143948,2510.3,Continuing
54,299,1777.6,1623.0012978766922,130.25682187779583,2510.3,Continuing
55,82,1746.6,1658.1163345779432,125.01527670248002,2510.3,Continuing
56,117,1810.0,1666.9622839068452,121.29850424562831,2510.3,Continuing
57,278,1743.5,1689.7894425099262,118.37104326068726,2510.3,Continuing
58,222,1792.1,1689.4171151056212,115.57424918063404,2510.3,Continuing
59,121,1795.5,1702.5785815104907,113.18813381168371,2510.3,Continuing
60,276,1629.9,1652.8828112372507,117.73541048430914,2510.3,Continuing
61,6,1605.4,1520.836890297212,151.00159306732758,2510.3,Continuing
62,240,1267.1,1434.5200835930136,157.10494649550384,2510.3,Continuing
63,231,1547.3,1470.8097045973948,131.06054162680266,2510.3,Continuing
64,18,1592.9,1473.2754181581818,123.73984945732934,2510.3,Continuing
65,177,1503.4,1484.61843792011,118.97563218806893,2510.3,Continuing
66,40,2157.3,1390.8830632991642,146.464579977421,2510.3,Continuing
67,176,1026.6,1649.6926739084377,172.6148788299722,2510.3,Continuing
68,115,1536.5,1532.2274496030473,169.09546215900068,2510.3,Continuing
69,239,1144.8,1470.6709313474014,168.05023010319528,2510.3,Continuing
70,12,1455.4,1486.6372003103647,161.29101852588633,2510.3,Continuing
71,236,1019.7,1441.5280149592302,168.43917216565467,2510.3,Continuing
72,259,1463.3,1423.3957310959386,164.29241460121162,2510.3,Continuing
73,203,1688.1,1220.914253216272,229.22540240198182,2510.3,Continuing
74,204,2005.5,1389.8649805236846,175.52849358064176,2510.3,Continuing
75,68,2006.0,1515.477136744003,188.965185594417,2510.3,Continuing
