Iteration,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,143,1216.8,110.23613745086782,1044.4659535929945,2510.3,Continuing
2,51,1462.7,1204.4591377546421,85.9955844036545,2510.3,Continuing
3,310,1390.4,299.39057479221646,1037.7491882346478,2510.3,Continuing
4,294,1390.4,394.03318554870657,1005.3747191821009,2510.3,Continuing
5,29,1254.0,628.3800779248484,784.1121855316333,2510.3,Continuing
6,22,1267.8,1347.8950450196687,106.90094214058674,2510.3,Continuing
7,230,1475.8,1310.6655826470567,102.78501909769317,2510.3,Continuing
8,221,1506.8,1401.651543436473,64.95605671925375,2510.3,Continuing
9,163,1383.5,1434.7997156711187,55.31283056827515,2510.3,Continuing
10,166,1091.4,1142.968079541343,155.32253370786967,2510.3,Continuing
11,109,1437.3,1364.1885673460326,73.45078558794033,2510.3,Continuing
12,297,1404.2,1384.7452159954398,54.16852328497302,2510.3,Continuing
13,253,1414.5,1413.131668078635,35.63916099030119,2510.3,Continuing
14,85,1175.4,532.3114915589842,247.21888687753327,2510.3,Continuing
15,60,1340.8,1191.141352270727,95.81601920404417,2510.3,Continuing
16,260,1599.4,0.613525179151844,317.19795317162584,2510.3,Continuing
17,19,1723.2,1308.351274684219,154.02244350372567,2510.3,Continuing
18,124,1600.0,1360.6435048609662,171.54270700250362,2510.3,Continuing
19,204,2005.5,1444.6645732512375,161.94396364256184,2510.3,Continuing
20,68,2006.0,1666.363087461204,167.90259052317603,2510.3,Continuing
21,64,1661.2,1788.431334046989,111.06293917964322,2510.3,Continuing
22,192,1674.6,1607.316350332758,126.63051090980179,2510.3,Continuing
23,30,1194.0,1322.2850641779266,189.9732392046777,2510.3,Continuing
24,127,1737.2,1678.2537616146988,73.28491016822827,2510.3,Continuing
25,137,1308.0,981.802896179712,212.80320344293216,2510.3,Continuing
26,241,1218.8,1441.614701245359,99.20930516692523,2510.3,Continuing
27,136,1199.0,920.6353044079235,194.27288094108334,2510.3,Continuing
28,275,1392.4,1729.0406843089527,48.49619154860376,2510.3,Continuing
29,252,1730.2,1656.1637719386952,146.33453370522085,2510.3,Continuing
30,224,1792.2,1624.6222625375408,140.33439578295108,2510.3,Continuing
31,227,1874.6,1630.0556890314635,135.0425048940901,2510.3,Continuing
32,79,1641.2,1565.464095290451,151.5908824966345,2510.3,Continuing
33,45,1716.3,1507.2728436502744,151.32657600294868,2510.3,Continuing
34,209,1309.8,1436.911813705814,146.04965362432387,2510.3,Continuing
35,190,1243.6,1397.8240649511038,145.50168136462432,2510.3,Continuing
36,272,1555.8,1375.407891156327,145.31676302028762,2510.3,Continuing
37,180,1182.0,1366.488808355234,143.89693546525396,2510.3,Continuing
38,97,1420.0,1355.629871582847,143.7669500054781,2510.3,Continuing
39,125,1272.6,1376.7375646041419,135.24382634772005,2510.3,Continuing
40,48,1451.7,1361.098797950093,134.4038210795053,2510.3,Continuing
41,140,1521.3,1175.8057350029485,165.31667011906458,2510.3,Continuing
42,42,1350.3,1346.706662129313,138.4050795127295,2510.3,Continuing
43,56,1357.9,1345.4513484113,131.7505128043442,2510.3,Continuing
44,295,1276.7,1269.5159674740553,165.26123724084766,2510.3,Continuing
45,284,1348.6,1341.6134693510435,134.2005031138973,2510.3,Continuing
46,80,1125.0,1275.4305958486284,141.30678425452984,2510.3,Continuing
47,217,1178.9,469.2081164105218,273.19992855901853,2510.3,Continuing
48,55,1463.0,557.890320750522,288.37209588033573,2510.3,Continuing
49,132,1478.4,1316.8595621725367,161.14468073875986,2510.3,Continuing
50,65,1362.9,1251.272865289809,165.12012438712654,2510.3,Continuing
51,15,1136.9,487.34598577345207,297.8219068038243,2510.3,Continuing
