Iteration,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,0,1167.2,0.0,1048.8088481701514,2510.3,Continuing
2,166,1091.4,200.24861400046763,1040.833832560908,2510.3,Continuing
3,85,1175.4,321.3736098134956,927.2194346295978,2510.3,Continuing
4,169,1250.5,1137.9220715974716,89.56973831338374,2510.3,Continuing
5,123,1729.4,1153.0889588409673,92.37466547231737,2510.3,Continuing
6,136,1199.0,1132.6324075799025,294.23596797957583,2510.3,Continuing
7,111,1274.7,1173.8411294736618,246.5734846275325,2510.3,Continuing
8,147,1736.3,1201.157490000572,218.90511152530843,2510.3,Continuing
9,71,2501.1,1226.4231064221094,272.0234042894924,2510.3,Continuing
10,273,2402.3,1092.2721695319985,582.0187406623373,2510.3,Continuing
11,206,2331.1,1063.383974443907,711.7979238707657,2510.3,Continuing
12,45,1716.3,1098.8193975380152,754.1105530820291,2510.3,Continuing
13,201,1586.7,1205.9156569899644,671.1235208524128,2510.3,Continuing
14,254,1324.3,1279.9050668089533,608.2343928263541,2510.3,Continuing
15,48,1451.7,1313.6687156908588,568.0946142001453,2510.3,Continuing
16,191,2411.5,1376.9235240700223,507.7962521794217,2510.3,Continuing
17,212,2249.6,1393.6908450993776,555.8654820719885,2510.3,Continuing
18,31,2487.3,1462.8892867826842,542.8940250677765,2510.3,Continuing
19,99,2411.5,1522.9766560382068,552.5696336600112,2510.3,Continuing
20,73,2381.6,1629.4285970876417,521.7745087624811,2510.3,Continuing
21,306,2510.3,1791.2952322723813,454.363941856419,2510.3,Max Yield Strength reached
