Iteration,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,72,1317.0,115.71664722241968,1044.6197918002042,2510.3,Continuing
2,42,1350.3,217.65606073451124,1040.839970247497,2510.3,Continuing
3,58,1276.5,304.720230445957,1037.759968663352,2510.3,Continuing
4,95,1277.7,408.76135828213285,974.8137034612728,2510.3,Continuing
5,140,1521.3,1031.671710074792,125.5317304052607,2510.3,Continuing
6,180,1182.0,31.2470367266518,315.00794333942855,2510.3,Continuing
7,59,1145.8,953.9372995811275,208.48219222430916,2510.3,Continuing
8,27,1825.8,989.3316346058207,238.02505216083324,2510.3,Continuing
9,187,1870.6,1735.4678143926872,91.90349588813474,2510.3,Continuing
10,39,1071.4,1156.2266503081978,228.30374284179916,2510.3,Continuing
11,132,1478.4,1087.48106802717,223.22835834433263,2510.3,Continuing
12,137,1308.0,1272.5899136590426,201.8033167534006,2510.3,Continuing
13,274,1486.2,1070.0047684654915,227.48820308399004,2510.3,Continuing
14,90,1185.1,637.722609189986,285.0709380638981,2510.3,Continuing
15,41,1169.4,1057.4643900980866,229.37413806964128,2510.3,Continuing
16,16,1328.3,1081.4781061273943,197.15112043219517,2510.3,Continuing
17,262,1309.1,970.1906293821289,191.44404347992136,2510.3,Continuing
18,55,1463.0,1323.8504283030527,175.14499413818683,2510.3,Continuing
19,155,1344.4,1269.8979323090675,177.15625226544918,2510.3,Continuing
20,286,1297.5,1374.1273972824067,131.90539106064523,2510.3,Continuing
21,291,1577.8,704.9116305410166,254.27114007694843,2510.3,Continuing
22,135,1354.2,1344.363942266668,210.63159075895763,2510.3,Continuing
23,169,1250.5,1340.1287051826257,203.43825751457737,2510.3,Continuing
24,123,1729.4,1306.182107380238,210.8786762770241,2510.3,Continuing
25,136,1199.0,1347.335094008241,211.03659240453996,2510.3,Continuing
26,139,1350.4,1346.8604573756438,207.84996199330155,2510.3,Continuing
27,111,1274.7,1349.2770557594163,202.88880869498894,2510.3,Continuing
28,265,1680.6,1347.1204209543266,199.71665541050663,2510.3,Continuing
29,296,1681.2,1357.4100244768133,204.94971964616227,2510.3,Continuing
30,57,1235.9,1367.610706456374,209.0212756645081,2510.3,Continuing
31,215,1688.1,1363.655273562994,207.18607754165396,2510.3,Continuing
32,266,1667.4,1372.9549176800415,211.02418587559515,2510.3,Continuing
33,193,1784.5,1381.3768181439227,213.27194614423206,2510.3,Continuing
34,46,1798.3,1391.882940044552,220.42266911650694,2510.3,Continuing
35,142,1340.1,1417.7899799357,224.18818199073232,2510.3,Continuing
36,119,1736.3,1412.7834980424605,221.8810180516033,2510.3,Continuing
37,21,1860.3,1432.0499223122824,223.01125216453076,2510.3,Continuing
38,285,1812.1,1460.0704042359107,227.38748281454545,2510.3,Continuing
39,279,1805.2,1486.0135350761325,227.32781359320074,2510.3,Continuing
40,158,1688.1,1510.9471693524802,226.16838261346402,2510.3,Continuing
41,77,1653.6,1525.590859141374,222.3837861188496,2510.3,Continuing
42,246,1564.0,1535.0498263692102,218.68746859931582,2510.3,Continuing
43,150,1846.5,1539.3116711767643,214.1330226618979,2510.3,Continuing
44,33,1819.0,1554.9309629222766,213.4319077087843,2510.3,Continuing
45,188,1681.2,1567.440116503832,213.09991014920752,2510.3,Continuing
46,146,1722.5,1563.9099118834756,210.9159713217545,2510.3,Continuing
47,24,1383.7,1517.406892572818,206.89409455745002,2510.3,Continuing
48,301,1359.7,1511.9551682567544,204.96490548321793,2510.3,Continuing
49,251,1369.5,1505.2031970752614,203.7500628889839,2510.3,Continuing
50,304,1302.8,1499.221235034399,202.40889244302846,2510.3,Continuing
51,92,1280.7,1492.7180198241313,201.80493230068583,2510.3,Continuing
52,120,1275.3,1483.7242772297577,202.08045157973032,2510.3,Continuing
53,199,1369.5,1476.8059796512698,202.13559684095958,2510.3,Continuing
54,2,1382.2,1468.7928040984034,202.31591777357113,2510.3,Continuing
55,305,1139.7,1405.570830233884,223.87293315377838,2510.3,Continuing
56,281,1338.0,1467.1865567936557,202.36815688160723,2510.3,Continuing
57,3,1341.7,1459.3473920464385,199.8915625162485,2510.3,Continuing
58,269,1368.5,1458.1602228773509,195.01887692354856,2510.3,Continuing
59,267,1352.2,1452.3588495289741,192.89235174099142,2510.3,Continuing
60,270,1300.3,1448.6032498975806,190.47958925143897,2510.3,Continuing
61,216,1371.1,1403.3200883347026,205.15480232993903,2510.3,Continuing
62,36,1245.4,1442.612150579454,186.59643785613483,2510.3,Continuing
63,103,1314.2,1434.8254004448768,185.8596410794158,2510.3,Continuing
64,171,1837.9,1366.9468309482554,209.422337923558,2510.3,Continuing
65,268,1263.6,1403.6220426741465,210.32258759436073,2510.3,Continuing
66,303,1221.6,1386.840849740243,199.75404974463618,2510.3,Continuing
67,308,1258.6,1424.7667827414452,185.42776319304642,2510.3,Continuing
68,167,1731.7,1402.3949267910666,190.33870936679736,2510.3,Continuing
69,8,1683.0,1372.2137470055004,212.85780043917399,2510.3,Continuing
70,102,1575.5,1419.6893736218963,202.30328152267393,2510.3,Continuing
71,126,1391.8,1417.758249486118,194.6127743774715,2510.3,Continuing
72,4,1322.1,1428.303184850086,188.33060872868762,2510.3,Continuing
73,91,1136.8,1407.1101375409344,192.67014395025888,2510.3,Continuing
74,52,1332.7,1422.517108978137,187.97326427805817,2510.3,Continuing
75,94,1376.3,1418.1119910311272,185.33781764224426,2510.3,Continuing
