Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Yield Strength in Dataset,Stopping Reason
0,195,1296.0,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),2510.3,Initial selection
1,72,1317.0,1299.4199086934273,1293.3070007697997,20.376359745424804,316**2 * RBF(length_scale=0.978) + WhiteKernel(noise_level=10),2510.3,Continuing
2,42,1350.3,1332.4612727655235,1326.3519065859095,20.36455393204648,316**2 * RBF(length_scale=1.07) + WhiteKernel(noise_level=0.000596),2510.3,Continuing
3,284,1348.6,1364.9773801805277,1356.6173604156804,27.86673254949108,316**2 * RBF(length_scale=1.24) + WhiteKernel(noise_level=0.000106),2510.3,Continuing
4,131,1391.2,1343.5772671950897,1342.106535511226,4.9024389462126114,316**2 * RBF(length_scale=0.403) + WhiteKernel(noise_level=10),2510.3,Continuing
5,58,1276.5,1353.3861580833673,1345.915673906547,24.901613922734096,316**2 * RBF(length_scale=0.306) + WhiteKernel(noise_level=10),2510.3,Continuing
6,307,1344.0,1316.3290077893992,1304.1610967146285,40.559703582568645,316**2 * RBF(length_scale=0.306) + WhiteKernel(noise_level=10),2510.3,Continuing
7,88,1294.9,1334.980962471003,1321.8501597797313,43.7693423042395,316**2 * RBF(length_scale=0.315) + WhiteKernel(noise_level=10),2510.3,Continuing
8,133,1312.0,1328.4266905685618,1321.2099761755962,24.05571464321836,316**2 * RBF(length_scale=0.317) + WhiteKernel(noise_level=10),2510.3,Continuing
9,145,1285.0,1317.2698782562152,1311.502685340985,19.223976384100744,316**2 * RBF(length_scale=0.299) + WhiteKernel(noise_level=10),2510.3,Continuing
10,286,1297.5,1277.949571422064,1270.150253334224,25.997726959466327,316**2 * RBF(length_scale=0.324) + WhiteKernel(noise_level=10),2510.3,Continuing
11,95,1277.7,1256.7955818750609,1253.4167992435423,11.26260877172871,316**2 * RBF(length_scale=0.328) + WhiteKernel(noise_level=10),2510.3,Continuing
12,137,1308.0,1123.1089348811852,1098.4209692787263,82.29321867486298,316**2 * RBF(length_scale=0.324) + WhiteKernel(noise_level=10),2510.3,Continuing
13,242,1305.4,602.3382022034555,515.5063183036157,289.439612999466,316**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=10),2510.3,Continuing
14,0,1167.2,94.87307310296215,0.0,316.24357700987383,316**2 * RBF(length_scale=0.364) + WhiteKernel(noise_level=10),2510.3,Continuing
15,255,1280.2,1140.4224640347559,1107.2051636654166,110.72433456446392,316**2 * RBF(length_scale=0.379) + WhiteKernel(noise_level=10),2510.3,Continuing
16,81,1280.8,1254.5728174121093,1238.3161591589233,54.188860843953286,316**2 * RBF(length_scale=0.383) + WhiteKernel(noise_level=10),2510.3,Continuing
17,182,1150.6,784.4562183936919,709.0974231360003,251.19598419230508,316**2 * RBF(length_scale=0.401) + WhiteKernel(noise_level=10),2510.3,Continuing
18,85,1175.4,1064.1064804088994,1009.1557584484362,183.16907320154388,316**2 * RBF(length_scale=0.408) + WhiteKernel(noise_level=10),2510.3,Continuing
19,168,1258.8,1131.6989191843845,1083.457772524451,160.80382219977812,316**2 * RBF(length_scale=0.413) + WhiteKernel(noise_level=10),2510.3,Continuing
20,258,1224.7,1085.8582035734505,1050.5243833656925,117.77940069252662,316**2 * RBF(length_scale=0.418) + WhiteKernel(noise_level=10),2510.3,Continuing
21,66,1157.5,1142.556804979221,1096.5231111035384,153.44564625227503,316**2 * RBF(length_scale=0.427) + WhiteKernel(noise_level=10),2510.3,Continuing
22,60,1340.8,1098.090037241458,1059.2137391722222,129.58766023078633,316**2 * RBF(length_scale=0.43) + WhiteKernel(noise_level=10),2510.3,Continuing
23,23,1207.8,1017.6948116401338,966.2349810401927,171.53276866647064,316**2 * RBF(length_scale=0.436) + WhiteKernel(noise_level=10),2510.3,Continuing
24,164,1282.2,1055.1903245418346,1007.2459190568233,159.8146849500379,316**2 * RBF(length_scale=0.455) + WhiteKernel(noise_level=10),2510.3,Continuing
25,211,1243.0,1122.7126156080164,1087.1400455557643,118.57523350750714,316**2 * RBF(length_scale=0.464) + WhiteKernel(noise_level=10),2510.3,Continuing
26,70,1087.0,1093.0470667289756,1052.1221953783852,136.41623783530136,316**2 * RBF(length_scale=0.47) + WhiteKernel(noise_level=10),2510.3,Continuing
27,243,1194.0,1035.400726096611,1002.749457816431,108.8375609339328,316**2 * RBF(length_scale=0.488) + WhiteKernel(noise_level=10),2510.3,Continuing
28,128,1172.0,1012.7286192446106,960.398083012884,174.43512077242247,316**2 * RBF(length_scale=0.501) + WhiteKernel(noise_level=10),2510.3,Continuing
29,180,1182.0,984.2412646304638,915.3018437538461,229.79806958872547,316**2 * RBF(length_scale=0.522) + WhiteKernel(noise_level=10),2510.3,Continuing
30,290,1005.9,982.4421815855762,924.429117479229,193.3768803544906,316**2 * RBF(length_scale=0.529) + WhiteKernel(noise_level=10),2510.3,Continuing
31,104,1032.1,924.6270777970559,885.3698638159864,130.8573799368983,316**2 * RBF(length_scale=0.53) + WhiteKernel(noise_level=10),2510.3,Continuing
32,129,1173.8,878.285283338966,845.9149363505494,107.90115662805528,316**2 * RBF(length_scale=0.505) + WhiteKernel(noise_level=10),2510.3,Continuing
33,303,1221.6,1003.0185357052806,969.6301878960797,111.29449269733622,316**2 * RBF(length_scale=0.517) + WhiteKernel(noise_level=10),2510.3,Continuing
34,217,1178.9,863.4962379461056,807.4524500280023,186.81262639367753,316**2 * RBF(length_scale=0.528) + WhiteKernel(noise_level=10),2510.3,Continuing
35,152,1163.0,1099.840216084445,1073.6291711556528,87.37014976264106,316**2 * RBF(length_scale=0.539) + WhiteKernel(noise_level=10),2510.3,Continuing
36,17,1188.6,1127.9852364219691,1096.229789667019,105.85148918316726,316**2 * RBF(length_scale=0.547) + WhiteKernel(noise_level=10),2510.3,Continuing
37,56,1357.9,901.9100070041414,827.1738727269903,249.12044759050372,316**2 * RBF(length_scale=0.561) + WhiteKernel(noise_level=10),2510.3,Continuing
38,295,1276.7,1350.2956485386808,1339.89842123253,34.65742435383602,316**2 * RBF(length_scale=0.553) + WhiteKernel(noise_level=10),2510.3,Continuing
39,114,1269.0,1242.9399658169941,1235.0323503898808,26.358718090377508,316**2 * RBF(length_scale=0.554) + WhiteKernel(noise_level=10),2510.3,Continuing
40,7,1306.9,1232.342284500962,1228.5139123624685,12.761240461644954,316**2 * RBF(length_scale=0.472) + WhiteKernel(noise_level=10),2510.3,Continuing
41,166,1091.4,782.4803276181012,708.3701873668127,247.03380083762838,316**2 * RBF(length_scale=0.479) + WhiteKernel(noise_level=10),2510.3,Continuing
42,22,1267.8,770.110139188452,707.7548789159717,207.85086757493403,316**2 * RBF(length_scale=0.482) + WhiteKernel(noise_level=10),2510.3,Continuing
43,241,1218.8,773.6700179265332,700.2125218398999,244.8583202887778,316**2 * RBF(length_scale=0.49) + WhiteKernel(noise_level=10),2510.3,Continuing
44,268,1263.6,849.5044606634622,775.0629380373655,248.1384087536555,316**2 * RBF(length_scale=0.497) + WhiteKernel(noise_level=10),2510.3,Continuing
45,218,1169.2,979.5133106995862,912.0424518701757,224.9028627647018,316**2 * RBF(length_scale=0.504) + WhiteKernel(noise_level=10),2510.3,Continuing
46,196,1150.6,1016.1813832946423,955.4958128830032,202.28523470546358,316**2 * RBF(length_scale=0.509) + WhiteKernel(noise_level=10),2510.3,Continuing
47,271,1061.7,943.4848417131648,874.5109295224088,229.91304063585338,316**2 * RBF(length_scale=0.513) + WhiteKernel(noise_level=10),2510.3,Continuing
48,247,1036.9,1044.3559835404662,1018.2141817552751,87.13933928397041,316**2 * RBF(length_scale=0.516) + WhiteKernel(noise_level=10),2510.3,Continuing
49,116,1010.8,975.7665069203262,920.2432218012392,185.07761706362305,316**2 * RBF(length_scale=0.519) + WhiteKernel(noise_level=10),2510.3,Continuing
50,140,1521.3,732.3410527241099,666.4596304103444,219.60474104588516,316**2 * RBF(length_scale=0.54) + WhiteKernel(noise_level=10),2510.3,Continuing
51,253,1414.5,750.7713615368936,676.0535363286258,249.05941736089238,316**2 * RBF(length_scale=0.541) + WhiteKernel(noise_level=10),2510.3,Continuing
52,163,1383.5,1083.5966668093781,1018.4009534202371,217.31904463047002,316**2 * RBF(length_scale=0.547) + WhiteKernel(noise_level=10),2510.3,Continuing
53,221,1506.8,1015.591709838779,949.8211960114079,219.2350460912372,316**2 * RBF(length_scale=0.558) + WhiteKernel(noise_level=10),2510.3,Continuing
54,230,1475.8,1338.2355242302099,1294.3762575031328,146.19755575692318,316**2 * RBF(length_scale=0.562) + WhiteKernel(noise_level=10),2510.3,Continuing
55,297,1404.2,938.2685863097374,867.3430876584911,236.4183288374878,316**2 * RBF(length_scale=0.571) + WhiteKernel(noise_level=10),2510.3,Continuing
56,310,1390.4,1164.3520077632131,1114.9040752956766,164.82644155845512,316**2 * RBF(length_scale=0.577) + WhiteKernel(noise_level=10),2510.3,Continuing
57,109,1437.3,1342.600194330023,1315.3381809298337,90.87337800063098,316**2 * RBF(length_scale=0.577) + WhiteKernel(noise_level=10),2510.3,Continuing
58,48,1451.7,1378.5498705363211,1346.0321683574673,108.39234059617932,316**2 * RBF(length_scale=0.582) + WhiteKernel(noise_level=10),2510.3,Continuing
59,294,1390.4,1165.1196463777885,1132.6730038652545,108.15547504177987,316**2 * RBF(length_scale=0.587) + WhiteKernel(noise_level=10),2510.3,Continuing
60,254,1324.3,1341.9988230841793,1312.9873082631457,96.70504940344527,316**2 * RBF(length_scale=0.59) + WhiteKernel(noise_level=10),2510.3,Continuing
61,125,1272.6,1314.2046626725762,1291.4013947424528,76.01089310041137,316**2 * RBF(length_scale=0.592) + WhiteKernel(noise_level=10),2510.3,Continuing
62,190,1243.6,1267.021180097352,1240.1083753613705,89.7093491199383,316**2 * RBF(length_scale=0.594) + WhiteKernel(noise_level=10),2510.3,Continuing
63,209,1309.8,1217.7007287052024,1193.0229907209182,82.2591266142805,316**2 * RBF(length_scale=0.597) + WhiteKernel(noise_level=10),2510.3,Continuing
64,29,1254.0,1246.0788170207713,1228.6814088682581,57.991360508377696,316**2 * RBF(length_scale=0.6) + WhiteKernel(noise_level=10),2510.3,Continuing
65,234,1212.6,1183.7738160604658,1166.9170167132947,56.18933115723699,316**2 * RBF(length_scale=0.601) + WhiteKernel(noise_level=10),2510.3,Continuing
66,143,1216.8,1208.4180390835747,1192.2189424993,53.996988614249084,316**2 * RBF(length_scale=0.604) + WhiteKernel(noise_level=10),2510.3,Continuing
67,97,1420.0,1133.7132838140012,1087.0571520469127,155.52043922362807,316**2 * RBF(length_scale=0.608) + WhiteKernel(noise_level=10),2510.3,Continuing
68,149,1304.3,1212.9342323365677,1178.867371850822,113.55620161915182,316**2 * RBF(length_scale=0.615) + WhiteKernel(noise_level=10),2510.3,Continuing
