Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Max Yield Strength in Dataset,Stopping Reason
0,234,1212.6,,,,2510.3,Initial selection
1,143,1216.8,1193.784237942682,1190.7995557049808,5.969364475402462,2510.3,Continuing
2,209,1309.8,1213.430869371192,1212.1507232640329,2.5602922143183924,2510.3,Continuing
3,29,1254.0,1238.442661491187,1233.6992336260341,9.48685573030559,2510.3,Continuing
4,254,1324.3,1216.4648524538618,1212.5731036555917,7.783497596540061,2510.3,Continuing
5,125,1272.6,1267.5578452976497,1264.7883927644004,5.538905066498343,2510.3,Continuing
6,190,1243.6,1249.5025220925756,1247.2168674085572,4.571309368037163,2510.3,Continuing
7,294,1390.4,1184.0480372851941,1181.0282572356944,6.039560098999749,2510.3,Continuing
8,310,1390.4,1236.2758971449598,1230.6205462396358,11.310701810648172,2510.3,Continuing
9,109,1437.3,1336.554480199389,1332.7878280820719,7.533304234634007,2510.3,Continuing
10,48,1451.7,1302.9108839880666,1298.6771451053166,8.467477765499975,2510.3,Continuing
11,297,1404.2,1263.6976117250474,1259.0402056913576,9.314812067379574,2510.3,Continuing
12,97,1420.0,1150.9754145562556,1144.923640522411,12.103548067689186,2510.3,Continuing
13,149,1304.3,1198.391198406441,1194.2345695736028,8.313257665676137,2510.3,Continuing
14,163,1383.5,1207.3895620720925,1198.5911227150505,17.596878714083967,2510.3,Continuing
15,230,1475.8,1333.9363302170932,1328.5717299375963,10.729200558994064,2510.3,Continuing
16,221,1506.8,1299.1957276594349,1294.0417539283735,10.307947462122808,2510.3,Continuing
17,253,1414.5,1392.8356209909664,1389.048466909052,7.574308163828993,2510.3,Continuing
18,161,1167.2,1081.55132469934,1078.7163026643457,5.670044069988559,2510.3,Continuing
19,28,1230.6,1087.9746149020887,1085.4671070150266,5.015015774124236,2510.3,Continuing
20,153,1194.0,1126.037122915077,1122.330691134226,7.412863561701618,2510.3,Continuing
21,241,1218.8,1113.9703146937104,1106.6544456053587,14.63173817670345,2510.3,Continuing
22,268,1263.6,1048.5895766676003,1041.6568559725174,13.865441390165802,2510.3,Continuing
23,271,1061.7,1093.694601081181,1085.0796519493013,17.229898263759328,2510.3,Continuing
24,116,1010.8,1066.2886535039136,1060.1834238113877,12.21045938505194,2510.3,Continuing
25,247,1036.9,1048.686161705545,1045.8090685974826,5.754186216124902,2510.3,Continuing
