Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Yield Strength in Dataset,Stopping Reason
0,234,1212.6,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),2510.3,Initial selection
1,149,1304.3,1752.1894833335512,829.1959627684798,230.74838014126783,316**2 * RBF(length_scale=3.35) + WhiteKernel(noise_level=10),2510.3,Continuing
2,39,1071.4,1822.02432376024,938.382953493028,220.91034256680297,316**2 * RBF(length_scale=4.25) + WhiteKernel(noise_level=10),2510.3,Continuing
3,65,1362.9,1825.1608046931183,870.3991469873594,238.69041442643976,316**2 * RBF(length_scale=5.68) + WhiteKernel(noise_level=10),2510.3,Continuing
4,136,1199.0,1833.399954625224,964.7456425061246,217.1635780297748,316**2 * RBF(length_scale=6.31) + WhiteKernel(noise_level=10),2510.3,Continuing
5,146,1722.5,1805.412013886019,999.6827240349314,201.43232246277185,316**2 * RBF(length_scale=6.33) + WhiteKernel(noise_level=10),2510.3,Continuing
6,142,1340.1,2090.024299134915,1243.956466621639,211.51695812831903,316**2 * RBF(length_scale=6.65) + WhiteKernel(noise_level=10),2510.3,Continuing
7,246,1564.0,1962.538563232847,1577.1221799238015,96.35409582726139,316**2 * RBF(length_scale=6.77) + WhiteKernel(noise_level=10),2510.3,Continuing
8,215,1688.1,1945.72169703811,1638.6902381645423,76.75786471839194,316**2 * RBF(length_scale=6.89) + WhiteKernel(noise_level=10),2510.3,Continuing
9,175,1074.9,1909.6776245348724,1246.3291173484404,165.83712679660798,316**2 * RBF(length_scale=6.85) + WhiteKernel(noise_level=10),2510.3,Continuing
10,285,1812.1,1905.9402864029407,1696.763474895853,52.294202876771905,316**2 * RBF(length_scale=7.15) + WhiteKernel(noise_level=10),2510.3,Continuing
11,266,1667.4,1863.3877382431701,1636.523108059451,56.716157545929775,316**2 * RBF(length_scale=7.29) + WhiteKernel(noise_level=10),2510.3,Continuing
12,119,1736.3,1812.4775043503455,1734.298418243608,19.54477152668437,316**2 * RBF(length_scale=7.49) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
13,33,1819.0,1790.6023546408462,1720.1232010095196,17.61978840783167,316**2 * RBF(length_scale=5.28) + WhiteKernel(noise_level=10),2510.3,Continuing
14,291,1577.8,1922.4543792988889,1681.4721683412831,60.245552739401454,316**2 * RBF(length_scale=4.92) + WhiteKernel(noise_level=10),2510.3,Continuing
15,77,1653.6,1907.6728120527332,1689.486839533367,54.546493129841544,316**2 * RBF(length_scale=5.05) + WhiteKernel(noise_level=10),2510.3,Continuing
16,188,1681.2,1884.5847261653055,1825.7073251480815,14.719350254306015,316**2 * RBF(length_scale=3.55) + WhiteKernel(noise_level=10),2510.3,Continuing
17,89,1021.0,1974.0036237702693,1331.6466629936244,160.58924019416125,316**2 * RBF(length_scale=3.48) + WhiteKernel(noise_level=10),2510.3,Continuing
18,8,1683.0,1975.0368621069633,1289.7241215274043,171.32818514488977,316**2 * RBF(length_scale=3.47) + WhiteKernel(noise_level=10),2510.3,Continuing
19,141,1273.3,1985.5676878554827,1180.7303407489399,201.20933677663572,316**2 * RBF(length_scale=3.49) + WhiteKernel(noise_level=10),2510.3,Continuing
20,30,1194.0,1955.9961772234278,1508.0146355206325,111.99538542569886,316**2 * RBF(length_scale=3.43) + WhiteKernel(noise_level=10),2510.3,Continuing
21,305,1139.7,1882.7143684752973,1327.2952035998499,138.8547912188619,316**2 * RBF(length_scale=3.37) + WhiteKernel(noise_level=10),2510.3,Continuing
22,7,1306.9,1899.3558923434964,1407.0888437130043,123.06676215762302,316**2 * RBF(length_scale=3.36) + WhiteKernel(noise_level=10),2510.3,Continuing
23,219,1804.2,1858.9823187632753,1370.560494162984,122.10545615007281,316**2 * RBF(length_scale=3.22) + WhiteKernel(noise_level=10),2510.3,Continuing
24,239,1144.8,1997.3193859316143,1288.421870472882,177.22437886468308,316**2 * RBF(length_scale=3.2) + WhiteKernel(noise_level=10),2510.3,Continuing
25,262,1309.1,1953.0596780527433,1601.0604357881057,87.99981056615938,316**2 * RBF(length_scale=2.99) + WhiteKernel(noise_level=10),2510.3,Continuing
26,177,1503.4,1990.0029516664056,1710.5242513806725,69.86967507143328,316**2 * RBF(length_scale=3.01) + WhiteKernel(noise_level=10),2510.3,Continuing
27,236,1019.7,1852.5466084585923,1150.4704386276717,175.51904245773017,316**2 * RBF(length_scale=2.99) + WhiteKernel(noise_level=10),2510.3,Continuing
28,46,1798.3,1822.604432398436,1772.0361046490543,12.642081937345411,316**2 * RBF(length_scale=2.86) + WhiteKernel(noise_level=10),2510.3,Continuing
29,216,1371.1,1837.381870310087,1295.3061939915149,135.51891907964304,316**2 * RBF(length_scale=2.87) + WhiteKernel(noise_level=10),2510.3,Continuing
