Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,190,1243.6,927.2526774952497,203.790055639632,209,1309.8,1153.093963436147,97.85070138070968,2510.3,Continuing
2,288,1768.0,1050.0824510610826,178.10785751281196,28,1230.6,1200.7849039607738,131.74350429109217,2510.3,Continuing
3,115,1536.5,1443.2491019176928,181.5332571488732,161,1167.2,1182.68280529314,103.15422117443141,2510.3,Continuing
4,262,1309.1,1433.123556506901,164.82089496383247,294,1390.4,1170.1191396121876,84.18008765821565,2510.3,Continuing
5,157,1779.7,1721.1956575755657,40.52286466823428,297,1404.2,1109.3472482403208,163.9391692725918,2510.3,Continuing
6,185,1998.6,1496.8938264668318,119.18859263674196,310,1390.4,1347.4650063069448,46.36280382923418,2510.3,Continuing
7,280,1730.2,1839.309779010704,90.29486918399033,163,1383.5,937.8024454371798,221.79391638756908,2510.3,Continuing
8,34,1730.2,1871.0660245074632,52.33573578438379,253,1414.5,1330.2755321576278,96.28181045978991,2510.3,Continuing
9,108,1164.4,1424.6479728048794,191.9503633617289,230,1475.8,1311.0305245430743,76.59964216742758,2510.3,Continuing
10,205,1730.2,1688.4442632415721,94.3391035540277,221,1506.8,1398.7626404887455,58.48802886816278,2510.3,Continuing
11,204,2005.5,1854.4384739114948,35.20528430733735,272,1555.8,1359.4550705954048,100.32588949674012,2510.3,Continuing
12,68,2006.0,2000.7453850647396,5.0221053884792495,51,1462.7,1123.8444824569956,168.62624345543225,2510.3,Continuing
13,64,1661.2,1654.9923801418186,103.04217876968043,39,1071.4,726.3321648440581,268.74634069425673,2510.3,Continuing
14,93,1755.2,1692.8534395721254,73.86926838134504,88,1294.9,821.6082285185412,228.35888756898214,2510.3,Continuing
15,275,1392.4,1710.8710242537527,65.66529129859494,255,1280.2,1170.0371104606743,134.89794609675775,2510.3,Continuing
16,86,1453.8,1338.7438152208033,181.61278775571026,27,1825.8,664.519903962688,274.85237478108934,2510.3,Continuing
17,60,1340.8,1246.4708109537305,169.49954653695497,187,1870.6,1790.8414568175103,19.59957239296219,2510.3,Continuing
18,106,2381.6,1137.204236518132,194.05638746964217,80,1125.0,658.5340145179664,254.51717260312867,2510.3,Continuing
19,306,2510.3,2100.242679140272,146.3737927003093,223,1412.5,657.9646130707329,250.03424679447343,2510.3,Max yield strength reached
