Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,48,171.00469374345903,,,,171**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=8.44),296.35081017123304,Initial selection
1,47,188.55697291016554,172.187531214864,170.9553624495137,4.107229217834409,180**2 * RBF(length_scale=0.339) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
2,50,174.66437205644556,55.446904581811324,1.5103500500034317,179.78851510602632,178**2 * RBF(length_scale=55.4) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
3,68,65.48719407925006,184.92507849743023,180.33258605344707,15.308308146610518,128**2 * RBF(length_scale=6.63) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
4,8,242.7128680778461,179.75048409519675,163.64829148018725,53.67397538336497,169**2 * RBF(length_scale=8.43) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
5,9,233.72437240576676,243.82889256790466,242.48829043411786,4.468673779289316,166**2 * RBF(length_scale=8.52) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
6,0,81.74085575257114,227.79366354605438,214.39032033133094,44.67781071574481,141**2 * RBF(length_scale=3.93) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
7,7,117.40631603510326,178.89349223705864,160.99426622480962,59.66408670749677,132**2 * RBF(length_scale=3.77) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
8,51,181.925661105008,175.7304931013123,174.39410617655267,4.45462308253215,130**2 * RBF(length_scale=3.62) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,44,159.30709474405634,173.50261754618876,171.35578209827574,7.156118159710079,114**2 * RBF(length_scale=2.82) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,49,242.91509227554656,135.47577546495137,108.38505394678941,90.30240506053985,130**2 * RBF(length_scale=3.11) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,45,224.5706110108938,243.07161418611474,241.5578212671544,5.045976396534503,152**2 * RBF(length_scale=2.46) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
12,46,242.41091008794928,230.64419492556112,229.40057303889898,4.1454062888738035,132**2 * RBF(length_scale=3.01) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
13,52,231.07458974395303,232.93433796414294,231.55061106446297,4.612422998933212,132**2 * RBF(length_scale=3.04) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
14,27,141.45379911190125,184.19288751897054,155.12483908949616,96.8934947649146,124**2 * RBF(length_scale=3.05) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
15,53,228.31076155204596,145.1800492186989,111.50201637846249,112.26010946745478,131**2 * RBF(length_scale=3.32) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
16,57,296.35081017123304,175.61925970424275,147.9388206953954,92.26813002949118,143**2 * RBF(length_scale=3.43) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
