Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,163,220.57,,,,221**2 * RBF(length_scale=507) + WhiteKernel(noise_level=10),1243.67,Initial selection
1,13,215.37,225.0794010876411,220.49556538531348,5.729794627909499,218**2 * RBF(length_scale=631) + WhiteKernel(noise_level=9.47),1243.67,Continuing
2,10,45.97,222.53803112321503,218.8593698494694,4.598326592182023,174**2 * RBF(length_scale=8.76) + WhiteKernel(noise_level=10),1243.67,Continuing
3,11,140.7,267.36824771143455,236.27573790333406,38.865637260125595,166**2 * RBF(length_scale=4.78) + WhiteKernel(noise_level=10),1243.67,Continuing
4,16,490.06,258.9606566007013,226.58631009535057,40.46793313168847,252**2 * RBF(length_scale=1.51) + WhiteKernel(noise_level=10),1243.67,Continuing
5,22,766.85,514.743789133055,433.64347106460883,101.37539758555764,316**2 * RBF(length_scale=0.923) + WhiteKernel(noise_level=10),1243.67,Continuing
6,124,554.41,818.7710722935559,757.0269631335358,77.18013645002515,316**2 * RBF(length_scale=0.635) + WhiteKernel(noise_level=10),1243.67,Continuing
7,115,325.56,820.0056645844062,760.182017520045,74.77955883045159,316**2 * RBF(length_scale=0.226) + WhiteKernel(noise_level=10),1243.67,Continuing
8,104,580.44,846.6525119361784,762.1825467456008,105.58745648822203,316**2 * RBF(length_scale=0.171) + WhiteKernel(noise_level=10),1243.67,Continuing
9,24,800.58,770.293898980617,766.7165582019364,4.471675973350674,316**2 * RBF(length_scale=0.161) + WhiteKernel(noise_level=10),1243.67,Continuing
10,222,602.48,786.750914748863,783.6526210506854,3.872867122721994,316**2 * RBF(length_scale=0.229) + WhiteKernel(noise_level=10),1243.67,Continuing
11,227,695.67,726.1576267154146,723.2365364481229,3.6513628341145936,316**2 * RBF(length_scale=0.25) + WhiteKernel(noise_level=10),1243.67,Continuing
12,100,433.78,656.1261011641307,584.4900447169784,89.54507055894028,316**2 * RBF(length_scale=0.198) + WhiteKernel(noise_level=10),1243.67,Continuing
13,101,484.36,591.2559119583841,561.1095808309666,37.682913909271875,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
14,108,659.36,583.9595811329349,580.3819618038191,4.472024161394791,316**2 * RBF(length_scale=0.161) + WhiteKernel(noise_level=10),1243.67,Continuing
15,110,770.35,553.5373166172809,447.9002157000556,132.04637614653163,316**2 * RBF(length_scale=0.139) + WhiteKernel(noise_level=10),1243.67,Continuing
16,112,904.29,695.8154472356039,640.0385965092564,69.7210634079343,316**2 * RBF(length_scale=0.0798) + WhiteKernel(noise_level=10),1243.67,Continuing
17,220,546.79,907.691964018915,904.114847793782,4.471395281416233,316**2 * RBF(length_scale=0.134) + WhiteKernel(noise_level=10),1243.67,Continuing
18,226,658.86,728.5562942836282,725.4584013254938,3.8723661976679598,316**2 * RBF(length_scale=0.14) + WhiteKernel(noise_level=10),1243.67,Continuing
19,113,226.22,508.7146549399475,449.1614515990043,74.44150417617897,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
20,19,634.35,493.5886182292253,490.0109989001095,4.472024161394791,316**2 * RBF(length_scale=0.103) + WhiteKernel(noise_level=10),1243.67,Continuing
21,103,562.06,593.1370938939793,522.7116168842055,88.03184626221731,316**2 * RBF(length_scale=0.11) + WhiteKernel(noise_level=10),1243.67,Continuing
22,105,607.72,565.588665495953,562.0124033557934,4.470327675199549,316**2 * RBF(length_scale=0.11) + WhiteKernel(noise_level=10),1243.67,Continuing
23,232,824.47,565.3217436097151,562.223511695629,3.8727898926075777,316**2 * RBF(length_scale=0.114) + WhiteKernel(noise_level=10),1243.67,Continuing
24,20,688.74,652.5431773822386,649.6220675881486,3.651387242612498,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
25,21,725.7933279,662.2169353410003,659.3885152871525,3.5355250673097927,316**2 * RBF(length_scale=0.114) + WhiteKernel(noise_level=10),1243.67,Continuing
26,23,788.8326479,675.448250025129,672.6769981922116,3.4640647911467903,316**2 * RBF(length_scale=0.114) + WhiteKernel(noise_level=10),1243.67,Continuing
