Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,53,16.69,,,,16.7**2 * RBF(length_scale=116) + WhiteKernel(noise_level=0.167),1243.67,Initial selection
1,57,28.51,16.67999941625021,16.67999941625021,0.5776845752724363,23.3**2 * RBF(length_scale=0.358) + WhiteKernel(noise_level=0.606),1243.67,Continuing
2,48,10.37,26.085243219504818,26.085243219504818,10.655788586691068,17.7**2 * RBF(length_scale=0.206) + WhiteKernel(noise_level=10),1243.67,Continuing
3,58,31.24,12.50478517897567,12.50478517897567,14.542409002644362,22.5**2 * RBF(length_scale=0.315) + WhiteKernel(noise_level=10),1243.67,Continuing
4,12,179.53,28.573740215769092,28.573740215769092,13.865255380429746,104**2 * RBF(length_scale=0.264) + WhiteKernel(noise_level=0.604),1243.67,Continuing
5,14,218.67,179.5110431197862,179.5110431197862,1.0986113621427347,112**2 * RBF(length_scale=0.248) + WhiteKernel(noise_level=10),1243.67,Continuing
6,88,9.71,15.051193236660094,15.051193236660094,90.57200939451009,107**2 * RBF(length_scale=0.266) + WhiteKernel(noise_level=10),1243.67,Continuing
7,81,6.31,18.010253021860088,18.010253021860088,72.92858514249848,102**2 * RBF(length_scale=0.275) + WhiteKernel(noise_level=10),1243.67,Continuing
8,68,13.99,8.036185004182187,8.036185004182187,76.08164554192247,99.2**2 * RBF(length_scale=0.291) + WhiteKernel(noise_level=10),1243.67,Continuing
9,33,7.72,10.387484399470472,10.387484399470472,39.67635401230176,103**2 * RBF(length_scale=0.326) + WhiteKernel(noise_level=10),1243.67,Continuing
10,35,10.32,7.746813055013622,7.746813055013622,4.463461241327174,103**2 * RBF(length_scale=0.327) + WhiteKernel(noise_level=10),1243.67,Continuing
11,30,6.44,8.381664261883039,8.381664261883039,15.003768860313421,114**2 * RBF(length_scale=0.381) + WhiteKernel(noise_level=10),1243.67,Continuing
12,133,215.93,13.150597750796805,13.150597750796805,112.57365100615132,146**2 * RBF(length_scale=0.45) + WhiteKernel(noise_level=10),1243.67,Continuing
13,198,195.33,130.14032133563913,130.14032133563913,116.40811338854712,150**2 * RBF(length_scale=0.477) + WhiteKernel(noise_level=10),1243.67,Continuing
14,201,213.5,195.28981259056357,195.28981259056357,4.471285089041066,153**2 * RBF(length_scale=0.482) + WhiteKernel(noise_level=10),1243.67,Continuing
15,195,179.12,187.54264050592545,187.54264050592545,54.38544401103903,146**2 * RBF(length_scale=0.48) + WhiteKernel(noise_level=10),1243.67,Continuing
16,15,411.82,178.48155913925075,178.48155913925075,25.17991256875518,154**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
17,85,7.67,6.3073421872230195,6.3073421872230195,4.4716650070729385,154**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
18,0,12.77,0.0,0.0,154.08315504748845,149**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
19,4,16.94,12.764239932245292,12.764239932245292,4.471631623400632,149**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
20,1,13.19,0.0,0.0,148.90732279646195,144**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
21,2,14.78,0.0,0.0,144.21712719138492,140**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
