Iteration,Experiment Index,Observed Instability Index,LCB Score,Mean Prediction,Standard Deviation,Min Instability Index in Dataset,Stopping Reason
0,117,38370,,,,23707,Initial selection
1,26,1267615,-1264.19676209846,0.7775456813066655,316.2435769449417,23707,Continuing
2,7,144556,-1264.6654197191535,0.30888827945904507,316.24357699965316,23707,Continuing
3,0,480185,1062.3502408168374,1602.5045666324938,135.03858145391413,23707,Continuing
4,110,794499,-1264.974295673986,1.2365468100764426e-05,316.24357700986354,23707,Continuing
5,2,144074,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
6,34,287734,-1264.9743080392104,2.8482761495115577e-10,316.24357700987383,23707,Continuing
7,81,489801,-1264.9743059856046,2.0538907994960544e-06,316.24357700987383,23707,Continuing
8,3,239852,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
9,103,145224,-12661.021126193518,-11684.540885467195,244.12006018158084,23707,Continuing
10,17,1103450,-1240.0674324483928,24.906874969612932,316.24357685450144,23707,Continuing
11,25,876981,-1201.7685205976925,63.20578587258646,316.2435766175697,23707,Continuing
12,28,57484,21364.055808029254,21502.548263391946,34.62311384067295,23707,Continuing
13,116,26197,39105.41275006701,39123.216008857155,4.450814697536863,23707,Continuing
14,118,107494,32643.58914617829,32659.060186855495,3.8677601693018193,23707,Continuing
15,67,227835,53383.051226992204,53400.44581955671,4.348648141126507,23707,Continuing
16,84,24723,-1607.062097752154,-342.6814811435761,316.09515415214446,23707,Continuing
17,5,253423,-1264.9743080394953,4.4868774120773085e-263,316.24357700987383,23707,Continuing
18,9,914156,-1264.9743080394953,1.0014216375276966e-32,316.24357700987383,23707,Continuing
19,11,284710,-1264.9743080394953,1.4164233044419501e-50,316.24357700987383,23707,Continuing
20,13,714735,-1264.9743080394953,8.021057665511101e-55,316.24357700987383,23707,Continuing
21,19,446747,-1264.9743080394953,3.080107075854557e-14,316.24357700987383,23707,Continuing
22,21,1167261,-1264.9743080394953,1.5978619021631404e-94,316.24357700987383,23707,Continuing
23,23,1281399,-1264.9743080394953,3.728525714186433e-102,316.24357700987383,23707,Continuing
24,15,102012,-1264.9743080394953,4.596801565617879e-53,316.24357700987383,23707,Continuing
25,30,209698,-1264.9743080394953,1.5178481541290413e-181,316.24357700987383,23707,Continuing
26,38,224858,-1264.9743080394953,2.0219443344839488e-20,316.24357700987383,23707,Continuing
27,44,299002,-1264.9743080394953,1.2321292742829831e-14,316.24357700987383,23707,Continuing
28,45,481313,-1264.9743080394953,1.1172653886696842e-16,316.24357700987383,23707,Continuing
29,32,207474,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
30,36,190636,-1264.9743080394953,6.139208210061486e-36,316.24357700987383,23707,Continuing
31,41,370439,-1264.9743080394953,1.1937135932849817e-42,316.24357700987383,23707,Continuing
32,43,228347,-1264.9743080394953,1.8223789984361117e-128,316.24357700987383,23707,Continuing
33,47,416405,-1264.9743080394953,3.6207023518402234e-161,316.24357700987383,23707,Continuing
34,98,147202,-14278.42635485655,-13234.168218284845,261.0645341429262,23707,Continuing
35,49,234879,-1264.9743080394953,1.5256877910429314e-22,316.24357700987383,23707,Continuing
36,33,132665,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
37,39,98773,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
38,50,199330,-1264.9743080394953,9.57418179416175e-51,316.24357700987383,23707,Continuing
39,54,376516,-1264.9743080394953,1.1383218220158988e-37,316.24357700987383,23707,Continuing
40,77,476197,-1264.9743080331327,6.36256046538114e-09,316.24357700987383,23707,Continuing
41,79,548909,-1264.9743008809196,7.158575671284062e-06,316.24357700987383,23707,Continuing
42,40,343647,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
43,42,482218,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
44,56,133495,-1264.9743080394953,1.5551208725629051e-25,316.24357700987383,23707,Continuing
45,48,404845,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
46,51,293210,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
47,53,374938,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
48,57,237318,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
49,106,437082,-1190.1201534718873,74.85414901277073,316.2435756211645,23707,Continuing
50,58,221696,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
51,59,123157,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
52,60,38893,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
53,61,449878,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
54,76,272660,-1264.5728635448606,0.4014444902977184,316.2435770087896,23707,Continuing
55,128,258154,-1263.469156020938,1.5051519917788785,316.2435770031792,23707,Continuing
56,62,40621,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
57,63,300244,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
58,64,269180,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
59,65,349707,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
60,66,284939,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
61,68,180293,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
62,69,252077,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
63,70,286563,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
64,71,87667,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
65,72,339668,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
66,73,96638,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
67,74,140574,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
68,75,59256,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
69,78,127394,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
70,80,438903,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
71,82,252642,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
72,85,27122,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
73,86,91681,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
74,88,132641,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
75,89,120257,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
76,90,318600,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
77,91,225170,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
78,92,261756,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
79,93,211852,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
80,94,136004,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
81,95,163985,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
82,96,383479,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
83,97,206695,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
84,99,192477,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
85,100,175885,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
86,101,239057,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
87,102,129483,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
88,104,208028,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
89,105,141683,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
90,107,701140,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
91,108,719564,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
92,109,452558,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
93,111,375241,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
94,120,91655,-1264.9743080394953,0.0,316.24357700987383,23707,Continuing
95,132,503950,-1264.9743080394953,1.2267590776969128e-212,316.24357700987383,23707,Continuing
96,112,23707,24702.639850559677,24720.527947205257,4.472024161394791,23707,Min instability reached
